,Low,High,Close,Volume
2021-05-24,18.985,19.177,19.108,11300
2021-05-25,19.031,19.108,19.069,12700
2021-05-26,19.014,19.607,19.184,37900
2021-05-27,18.993,19.215,19.177,13900
2021-05-28,19.046,19.223,19.184,7300
2021-06-01,19.146,19.223,19.146,9900
2021-06-02,19.115,19.261,19.261,25500
2021-06-03,19.215,19.254,19.246,39400
2021-06-04,19.161,19.3,19.223,22300
2021-06-07,19.154,19.3,19.215,21000
2021-06-08,19.146,19.476,19.196,23500
2021-06-09,19.169,19.254,19.246,6500
2021-06-10,19.3,19.3,19.3,200
2021-06-11,19.184,19.261,19.2,5400
2021-06-14,19.261,19.292,19.269,3700
2021-06-15,19.192,19.338,19.338,12200
2021-06-16,19.337,19.376,19.337,6500
2021-06-17,19.231,19.33,19.269,10400
2021-06-18,19.277,19.376,19.3,5500
2021-06-21,19.369,19.392,19.369,19500
2021-06-22,19.369,19.415,19.384,3900
2021-06-23,19.25,19.415,19.415,4000
2021-06-24,19.376,19.415,19.396,4200
2021-06-25,19.338,19.491,19.491,16400
2021-06-28,19.38,19.453,19.415,11300
2021-06-29,19.307,19.422,19.414,11600
2021-06-30,19.338,19.373,19.338,2700
2021-07-01,19.346,19.429,19.353,900
2021-07-02,19.376,19.415,19.376,3400
2021-07-06,19.376,19.43,19.43,1300
2021-07-07,19.43,19.491,19.491,1800
2021-07-08,19.43,19.53,19.43,2600
2021-07-09,19.338,19.411,19.376,23900
2021-07-12,19.389,19.491,19.389,2500
2021-07-13,19.338,19.399,19.338,4800
2021-07-14,19.393,19.509,19.463,3400
2021-07-15,19.412,19.502,19.471,3800
2021-07-16,19.378,19.409,19.396,11300
2021-07-19,19.37,19.502,19.432,23900
2021-07-20,19.447,19.548,19.54,5900
2021-07-21,19.44,19.564,19.474,8300
2021-07-22,19.416,19.432,19.42,6400
2021-07-23,19.459,19.548,19.525,800
2021-07-26,19.486,19.587,19.569,1900
2021-07-27,19.437,19.471,19.463,3100
2021-07-28,19.401,19.564,19.432,22700
2021-07-29,19.37,19.432,19.378,6600
2021-07-30,19.378,19.463,19.378,2100
2021-08-02,19.442,19.455,19.442,1300
2021-08-03,19.393,19.455,19.432,2700
