,Low,High,Close,Volume
2013-10-16,26.499,27.74,26.511,19753200
2013-10-17,25.909,26.632,26.571,5887125
2013-10-18,26.27,26.764,26.391,1165200
2013-10-21,26.21,26.511,26.27,943650
2013-10-22,25.909,26.487,25.921,725325
2013-10-23,25.909,26.33,25.969,898350
2013-10-24,26.077,27.343,27.174,782925
2013-10-25,26.668,27.957,27.475,667838
2013-10-28,26.837,27.548,26.921,545850
2013-10-29,26.584,27.319,26.933,780713
2013-10-30,26.74,27.102,26.849,634575
2013-10-31,26.812,27.174,26.861,505013
2013-11-01,26.825,27.499,27.343,530663
2013-11-04,27.174,27.945,27.909,289650
2013-11-05,27.282,28.078,27.608,320813
2013-11-06,27.295,27.969,27.897,512588
2013-11-07,27.355,28.174,28.018,688500
2013-11-08,27.945,28.427,28.042,734813
2013-11-11,27.427,28.741,27.62,378450
2013-11-12,27.511,28.126,27.608,383213
2013-11-13,27.295,27.584,27.523,181238
2013-11-14,27.355,27.752,27.536,404213
2013-11-15,27.029,27.704,27.09,416325
2013-11-18,26.813,27.463,27.15,571575
2013-11-19,26.547,27.041,26.776,338400
2013-11-20,26.62,27.258,26.981,540675
2013-11-21,26.849,27.523,27.331,372825
2013-11-22,27.15,27.837,27.584,369413
2013-11-25,27.403,27.957,27.644,788850
2013-11-26,27.56,27.837,27.62,292463
2013-11-27,27.656,28.102,28.102,342038
2013-11-29,28.018,28.415,28.319,175238
2013-12-02,28.174,28.451,28.331,247013
2013-12-03,28.198,28.765,28.5,348113
2013-12-04,28.174,28.873,28.548,441038
2013-12-05,28.343,29.006,28.849,375750
2013-12-06,28.777,29.596,29.343,412200
2013-12-09,29.174,30.066,29.403,670050
2013-12-10,28.632,29.488,29.355,200438
2013-12-11,28.885,29.524,29.367,213188
2013-12-12,29.054,29.415,29.355,231788
2013-12-13,29.211,29.656,29.584,380250
2013-12-16,29.054,29.873,29.138,183263
2013-12-17,28.741,29.102,28.994,213413
2013-12-18,28.753,29.644,29.608,625613
2013-12-19,29.427,29.994,29.922,332438
2013-12-20,29.656,30.584,30.428,447000
2013-12-23,30.729,31.633,30.97,328388
2013-12-24,30.898,31.5,31.368,132675
2013-12-26,31.476,32.139,32.018,203813
2013-12-27,32.03,32.5,32.091,234750
2013-12-30,32.054,32.368,32.151,118350
2013-12-31,32.067,32.585,32.259,177525
2014-01-02,31.5,32.537,31.572,359138
2014-01-03,31.006,31.826,31.331,187913
2014-01-06,31.042,31.765,31.331,252563
2014-01-07,31.151,31.524,31.247,190163
2014-01-08,31.042,31.464,31.464,151763
