,Low,High,Close,Volume
2021-01-22,15.342,16.876,16.126,15585200
2021-01-25,14.137,15.296,14.575,2064600
2021-01-26,14.206,15.15,14.521,1226600
2021-01-27,13.424,14.383,13.761,2206000
2021-01-28,13.236,14.452,14.114,2246000
2021-01-29,13.213,14.114,13.692,1525700
2021-02-01,13.439,14.651,14.375,477300
2021-02-02,14.122,15.618,15.342,920800
2021-02-03,14.996,16.162,16.04,426500
2021-02-04,15.595,16.3,16.116,369000
2021-02-05,16.17,16.96,16.937,363700
2021-02-08,16.446,17.85,17.397,493700
2021-02-09,16.699,17.628,17.068,446700
2021-02-10,16.07,17.121,16.676,507100
2021-02-11,15.51,17.259,16.692,388400
2021-02-12,16.621,17.858,17.16,178300
2021-02-16,17.075,17.858,17.167,227000
2021-02-17,15.925,17.39,16.646,576700
2021-02-18,15.748,16.738,16.109,393500
2021-02-19,15.825,16.822,16.27,212300
2021-02-22,13.823,15.833,15.042,928800
2021-02-23,14.191,15.273,15.042,680100
2021-02-24,14.766,16.205,15.909,322400
2021-02-25,14.927,16.561,15.15,407000
2021-02-26,14.582,15.345,14.843,270400
2021-03-01,14.835,16.139,16.032,461800
2021-03-02,15.211,16.876,15.487,303600
2021-03-03,14.874,15.756,15.165,148100
2021-03-04,14.344,15.587,14.958,288900
2021-03-05,14.206,15.311,14.881,441700
2021-03-08,13.639,15.127,13.984,511200
2021-03-09,13.063,14.371,13.286,693100
2021-03-10,13.102,13.784,13.163,167000
2021-03-11,13.282,13.869,13.554,311700
2021-03-12,13.424,13.953,13.593,110600
2021-03-15,13.34,14.038,13.738,274600
2021-03-16,13.102,13.992,13.685,368400
2021-03-17,13.048,14.183,13.992,589600
2021-03-18,13.35,13.969,13.531,367700
2021-03-19,12.726,13.654,13.148,1182300
2021-03-22,12.473,13.447,12.657,442300
2021-03-23,12.473,13.122,12.557,561800
2021-03-24,11.982,12.903,12.327,433300
2021-03-25,12.043,12.595,12.434,578100
2021-03-26,12.35,13.14,13.04,736500
2021-03-29,12.711,13.639,13.117,547500
2021-03-30,12.795,13.336,13.071,299700
2021-03-31,13.048,13.6,13.363,356100
2021-04-01,12.895,13.754,13.163,215900
2021-04-05,12.641,13.351,12.664,212700
2021-04-06,12.181,12.833,12.197,337700
2021-04-07,11.905,12.273,12.105,463900
2021-04-08,12.005,12.365,12.365,311400
2021-04-09,12.012,12.542,12.427,197000
2021-04-12,12.124,12.726,12.243,176000
2021-04-13,11.89,12.35,12.105,220100
2021-04-14,11.943,12.273,12.043,177300
2021-04-15,11.92,12.396,11.92,196000
2021-04-16,11.836,12.197,11.89,275900
2021-04-19,11.736,12.059,11.928,254100
2021-04-20,11.437,11.989,11.537,297900
2021-04-21,11.468,11.851,11.545,608100
2021-04-22,11.46,12.112,11.713,382300
2021-04-23,11.602,12.012,11.782,513200
2021-04-26,11.598,12.312,11.667,1017100
2021-04-27,11.092,11.79,11.107,352900
2021-04-28,10.777,11.437,10.816,450400
2021-04-29,10.578,11.015,10.754,285600
2021-04-30,10.532,10.831,10.624,169600
2021-05-03,10.455,10.847,10.509,198800
2021-05-04,10.279,10.601,10.547,248600
2021-05-05,10.463,10.931,10.724,261300
2021-05-06,10.67,11.414,11.399,371600
2021-05-07,11.245,11.721,11.69,226300
2021-05-10,11.476,11.775,11.652,149900
2021-05-11,11.383,11.759,11.621,212700
2021-05-12,10.877,11.629,11.115,227100
2021-05-13,10.662,11.196,10.716,261700
2021-05-14,10.662,11.069,11.031,201700
2021-05-17,10.674,11.506,11.015,147400
2021-05-18,10.777,11.161,11.1,180500
2021-05-19,10.739,11.13,11.092,168800
2021-05-20,10.731,11.721,11.468,535100
2021-05-21,11.36,11.591,11.445,277500
2021-05-24,11.429,12.035,11.92,627200
2021-05-25,11.775,12.273,12.135,576500
2021-05-26,12.035,12.373,12.181,205500
2021-05-27,12.197,12.718,12.611,331500
2021-05-28,12.396,13.04,12.971,341400
2021-06-01,12.779,13.13,12.953,248100
2021-06-02,12.822,13.231,13.069,386600
2021-06-03,12.93,13.246,13.208,350400
2021-06-04,13.161,13.717,13.717,300700
2021-06-07,13.447,13.81,13.794,496100
2021-06-08,13.184,13.856,13.208,145700
2021-06-09,13.123,13.74,13.431,293900
2021-06-10,13.308,13.609,13.547,164100
2021-06-11,13.455,13.856,13.817,334200
2021-06-14,13.64,13.925,13.709,294900
2021-06-15,13.439,13.759,13.516,209300
2021-06-16,13.323,13.671,13.617,296700
2021-06-17,13.238,13.686,13.323,247300
2021-06-18,12.93,13.269,13.007,247100
2021-06-21,12.779,13.053,13.053,210600
2021-06-22,12.698,13.246,13.177,174200
2021-06-23,12.937,13.601,13.416,300300
2021-06-24,13.316,13.624,13.393,223400
2021-06-25,13.3,13.578,13.547,207600
2021-06-28,13.292,13.771,13.709,516100
2021-06-29,13.555,13.871,13.725,177000
2021-06-30,13.323,13.848,13.601,398700
2021-07-01,13.354,13.732,13.385,299200
2021-07-02,13.099,13.447,13.254,163500
2021-07-06,12.806,13.269,12.891,264500
2021-07-07,12.737,13.007,12.775,415400
2021-07-08,12.165,12.482,12.204,197400
2021-07-09,12.034,12.351,12.212,104600
2021-07-12,12.212,12.497,12.351,121600
2021-07-13,12.219,12.42,12.351,173800
2021-07-14,12.189,12.389,12.212,209500
2021-07-15,12.104,12.366,12.173,138100
2021-07-16,12.158,12.563,12.189,105900
2021-07-19,11.88,12.443,11.957,133900
2021-07-20,11.81,12.219,12.119,140400
2021-07-21,12.081,12.644,12.459,256300
2021-07-22,12.135,12.582,12.204,96000
2021-07-23,12.165,12.297,12.219,145400
2021-07-26,12.027,12.883,12.073,96200
2021-07-27,11.965,12.227,12.073,136900
2021-07-28,12.05,12.436,12.104,67500
2021-07-29,12.011,12.397,12.065,71700
2021-07-30,11.988,12.397,12.081,145600
2021-08-02,11.972,12.366,12.096,146800
2021-08-03,11.895,12.26,11.965,139100
2021-08-04,11.911,12.189,11.996,414400
2021-08-05,11.772,12.181,11.926,363800
2021-08-06,11.957,12.675,12.389,228100
2021-08-09,12.274,12.667,12.428,217400
2021-08-10,12.405,12.644,12.428,42800
2021-08-11,12.397,12.629,12.397,100100
2021-08-12,12.25,12.551,12.536,58400
2021-08-13,12.389,12.648,12.521,54900
2021-08-16,12.027,12.428,12.274,92100
2021-08-17,11.934,12.293,12.042,124800
2021-08-18,11.849,12.135,11.849,220000
2021-08-19,11.888,12.69,12.621,855100
2021-08-20,12.165,12.676,12.266,346000
2021-08-23,11.949,12.312,12.104,285600
2021-08-24,12.173,12.466,12.366,320000
2021-08-25,12.328,12.497,12.382,96800
2021-08-26,12.351,12.768,12.389,105800
2021-08-27,12.351,12.567,12.544,122600
2021-08-30,12.389,12.621,12.497,92100
2021-08-31,12.428,12.945,12.721,549000
2021-09-01,12.557,13.017,12.89,222200
2021-09-02,12.747,12.946,12.906,144000
2021-09-03,12.779,12.898,12.867,39400
2021-09-07,12.938,13.605,13.16,445800
2021-09-08,13.081,13.518,13.494,282900
2021-09-09,13.462,14.082,13.883,230300
2021-09-10,13.732,14.026,13.804,325000
2021-09-13,13.454,13.914,13.621,260100
2021-09-14,13.359,13.653,13.43,125500
2021-09-15,13.164,13.621,13.573,171600
2021-09-16,13.438,13.701,13.653,162700
2021-09-17,13.605,13.955,13.947,285600
2021-09-20,13.288,13.796,13.351,313200
2021-09-21,13.025,13.558,13.121,197800
2021-09-22,13.168,13.43,13.24,117100
2021-09-23,13.24,13.891,13.605,199500
2021-09-24,13.252,13.645,13.534,139700
2021-09-27,13.438,13.788,13.74,111900
2021-09-28,13.176,13.677,13.335,229900
2021-09-29,13.113,13.415,13.145,198700
2021-09-30,12.946,13.264,12.97,115100
2021-10-01,13.01,13.331,13.2,245200
2021-10-04,12.906,13.208,12.962,153000
2021-10-05,12.946,13.129,12.986,94600
2021-10-06,12.739,13.081,12.819,337100
2021-10-07,12.882,13.057,12.946,187000
2021-10-08,12.867,13.113,13.002,85100
2021-10-11,12.835,13.2,12.898,117100
2021-10-12,12.803,13.327,13.327,163200
2021-10-13,13.256,13.502,13.367,189200
2021-10-14,13.145,13.502,13.407,76000
2021-10-15,13.2,13.629,13.55,90600
2021-10-18,13.383,13.716,13.661,89700
2021-10-19,13.51,13.786,13.565,556300
2021-10-20,13.486,13.661,13.573,272500
2021-10-21,13.355,13.597,13.486,193900
2021-10-22,13.224,13.542,13.327,694500
2021-10-25,13.383,13.78,13.589,637100
2021-10-26,13.565,13.828,13.693,506800
2021-10-27,13.573,13.828,13.653,287800
2021-10-28,13.629,13.701,13.681,118800
2021-10-29,13.629,13.716,13.629,267200
2021-11-01,13.677,14.495,14.487,452500
2021-11-02,14.376,14.804,14.789,298200
2021-11-03,14.733,14.987,14.94,173900
2021-11-04,14.558,14.955,14.614,185100
2021-11-05,14.519,14.701,14.685,133400
2021-11-08,14.534,14.805,14.638,122600
2021-11-09,14.491,14.797,14.638,105500
2021-11-10,14.495,14.765,14.55,110500
2021-11-11,14.376,14.677,14.495,63700
2021-11-12,14.495,14.725,14.693,130100
2021-11-15,14.685,14.872,14.757,114200
2021-11-16,14.439,14.765,14.503,182300
2021-11-17,14.256,14.812,14.28,173400
2021-11-18,14.789,15.48,15.146,265200
2021-11-19,14.701,15.098,14.955,191300
2021-11-22,14.527,15.305,14.582,247600
2021-11-23,14.137,14.566,14.415,254900
2021-11-24,14.177,14.511,14.407,102100
2021-11-26,13.899,14.217,14.106,128300
2021-11-29,13.899,14.384,13.955,281900
2021-11-30,13.494,14.114,13.565,275500
2021-12-01,13.342,13.674,13.397,406100
2021-12-02,13.349,13.674,13.509,235200
2021-12-03,13.201,13.774,13.261,234500
2021-12-06,13.157,13.533,13.381,183000
2021-12-07,13.133,13.834,13.469,231800
2021-12-08,13.125,13.766,13.525,388800
2021-12-09,13.221,13.485,13.293,100000
2021-12-10,12.893,13.397,12.965,538100
2021-12-13,13.045,13.445,13.173,308500
2021-12-14,13.109,13.453,13.189,158200
2021-12-15,12.801,13.517,13.477,257500
2021-12-16,13.237,13.646,13.253,195200
2021-12-17,12.821,13.477,13.293,669100
2021-12-20,12.685,13.157,12.749,266800
2021-12-21,12.629,12.917,12.829,233800
2021-12-22,12.813,13.077,13.005,159100
2021-12-23,12.981,13.237,13.189,89900
2021-12-27,13.181,13.325,13.261,97200
2021-12-28,13.013,13.437,13.085,57800
2021-12-29,12.945,13.221,13.141,190700
2021-12-30,13.045,13.325,13.093,114500
2021-12-31,12.949,13.433,12.973,75400
2022-01-03,13.021,13.277,13.125,140000
2022-01-04,13.013,13.173,13.101,230500
2022-01-05,12.749,13.193,12.837,229600
2022-01-06,12.468,13.381,12.508,164400
2022-01-07,12.492,13.269,13.165,396200
2022-01-10,12.893,13.341,13.061,185800
2022-01-11,13.093,13.57,13.541,252300
2022-01-12,13.574,13.91,13.67,207600
2022-01-13,13.341,13.742,13.525,84500
2022-01-14,13.269,13.549,13.501,148600
2022-01-18,13.141,13.445,13.157,138000
2022-01-19,13.133,13.465,13.213,179800
2022-01-20,13.173,13.83,13.373,243200
2022-01-21,13.197,13.59,13.413,264400
2022-01-24,12.717,13.409,12.965,221200
2022-01-25,12.621,13.221,13.205,190900
2022-01-26,13.173,13.549,13.253,156700
2022-01-27,13.053,13.473,13.173,139600
2022-01-28,12.965,13.365,13.125,100000
2022-01-31,13.133,13.646,13.614,190400
2022-02-01,13.373,13.718,13.614,128300
2022-02-02,13.493,13.814,13.79,158500
2022-02-03,13.365,13.774,13.397,218200
2022-02-04,13.221,13.672,13.598,141300
2022-02-07,13.477,13.654,13.541,78700
2022-02-08,13.469,13.75,13.71,95300
2022-02-09,13.79,13.978,13.958,116800
2022-02-10,13.854,14.338,14.054,107200
