,Low,High,Close,Volume
2010-12-09,21.781,22.016,22.0,3896850
2010-12-10,21.918,22.243,22.184,2592600
2010-12-13,21.961,22.297,22.051,4993800
2010-12-14,22.082,22.473,22.383,3286800
2010-12-15,22.372,22.635,22.474,4057650
2010-12-16,22.379,22.71,22.568,3916500
2010-12-17,22.195,22.592,22.218,7587600
2010-12-20,22.018,22.399,22.309,4329000
2010-12-21,22.379,22.619,22.466,2718300
2010-12-22,22.352,22.537,22.486,2552700
2010-12-23,22.301,22.474,22.458,1351500
2010-12-27,22.179,22.474,22.427,1597200
2010-12-28,22.269,22.553,22.462,1619700
2010-12-29,22.458,22.741,22.608,2211300
2010-12-30,22.474,22.627,22.553,1170300
2010-12-31,22.368,22.619,22.549,1948500
2011-01-03,22.69,23.103,22.745,3661950
2011-01-04,22.108,22.792,22.466,4027350
2011-01-05,22.356,22.808,22.663,3975000
2011-01-06,22.533,22.8,22.604,3146850
2011-01-07,22.041,22.737,22.309,3976950
2011-01-10,22.088,22.592,22.521,2986500
2011-01-11,22.513,22.785,22.592,2818800
2011-01-12,22.494,22.808,22.576,2775150
2011-01-13,22.022,22.376,22.179,4286400
2011-01-14,22.049,22.226,22.171,2704500
2011-01-18,22.108,22.505,22.258,3574800
2011-01-19,21.892,22.199,21.963,2502000
2011-01-20,21.605,22.171,21.707,3394800
2011-01-21,21.632,22.124,21.668,2840550
2011-01-24,21.562,22.037,21.837,2521350
2011-01-25,21.664,22.12,21.955,3344400
2011-01-26,21.88,22.313,22.147,2677650
2011-01-27,21.974,22.368,22.242,1612350
2011-01-28,21.349,22.368,21.558,4061850
2011-01-31,21.565,22.242,22.214,3952800
2011-02-01,20.079,21.628,20.429,17144850
2011-02-02,19.847,20.598,19.922,8153700
2011-02-03,19.544,19.902,19.859,8490750
2011-02-04,19.682,20.032,19.898,5153100
2011-02-07,19.827,20.209,20.044,4430700
2011-02-08,19.937,20.323,20.248,4866450
2011-02-09,19.875,20.166,19.993,4681050
2011-02-10,19.875,20.358,20.24,3522150
2011-02-11,20.142,20.728,20.653,3815250
2011-02-14,20.519,20.834,20.748,3518100
2011-02-15,20.499,20.712,20.708,3418500
2011-02-16,20.684,21.004,20.882,3474750
2011-02-17,20.523,20.909,20.657,2522550
2011-02-18,20.547,20.751,20.751,2773500
2011-02-22,20.066,20.842,20.105,3326400
2011-02-23,19.482,20.18,19.644,4872300
2011-02-24,19.415,19.841,19.672,3824250
2011-02-25,19.628,19.841,19.754,2738850
2011-02-28,19.518,19.991,19.758,3111150
2011-03-01,19.147,19.865,19.309,4124550
2011-03-02,19.128,19.573,19.266,3348300
2011-03-03,19.486,19.92,19.802,3175500
2011-03-04,19.238,19.774,19.392,3200850
2011-03-07,18.871,19.94,19.088,6285450
2011-03-08,18.962,19.404,19.171,4211100
2011-03-09,18.867,19.25,19.151,3736050
2011-03-10,18.54,18.978,18.769,5039100
2011-03-11,18.643,19.297,19.222,4694250
2011-03-14,18.773,19.128,19.088,3754050
2011-03-15,18.328,19.124,18.934,4649850
2011-03-16,18.505,18.927,18.769,5115600
2011-03-17,18.832,19.285,19.001,2978850
2011-03-18,19.033,19.36,19.1,4741950
2011-03-21,19.648,20.018,19.928,5110050
2011-03-22,19.266,19.857,19.415,4276650
2011-03-23,19.068,19.486,19.348,2908350
2011-03-24,19.195,19.691,19.561,2780100
2011-03-25,19.419,19.798,19.652,4076850
2011-03-28,19.222,19.742,19.273,4809150
2011-03-29,19.163,19.904,19.829,3546000
2011-03-30,20.003,20.684,20.452,6471750
2011-03-31,20.44,20.744,20.637,3802800
2011-04-01,20.807,21.351,21.063,6528000
2011-04-04,20.822,21.26,20.925,3442800
2011-04-05,20.633,21.24,20.807,3964800
2011-04-06,20.657,21.031,20.822,2609250
2011-04-07,20.59,20.968,20.807,2975400
2011-04-08,20.137,20.889,20.211,4223100
2011-04-11,19.9,20.353,19.991,3245250
2011-04-12,19.545,19.892,19.829,3133800
2011-04-13,19.597,20.046,19.758,2756700
2011-04-14,19.396,19.75,19.707,2633400
2011-04-15,19.64,20.302,20.271,5666550
2011-04-18,19.471,19.959,19.829,4234050
2011-04-19,20.282,20.905,20.57,7679550
2011-04-20,20.787,21.173,21.142,5322900
2011-04-21,20.945,21.224,20.996,4004550
2011-04-25,20.621,21.086,20.712,3842850
2011-04-26,20.787,21.512,21.268,5700000
2011-04-27,21.004,21.441,21.406,3102900
2011-04-28,21.075,21.512,21.185,3459900
2011-04-29,20.878,21.37,20.933,8527950
2011-05-02,20.799,21.153,20.921,2622600
2011-05-03,20.779,21.031,20.893,3300000
2011-05-04,20.98,21.26,21.0,5533200
2011-05-05,20.46,21.071,20.771,3007800
2011-05-06,20.811,21.284,20.893,2427900
2011-05-09,20.779,21.008,20.885,2367750
2011-05-10,20.945,21.153,21.142,2000400
2011-05-11,20.7,21.146,21.023,3900000
2011-05-12,20.617,21.086,20.992,2400000
2011-05-13,20.31,21.114,20.365,3580950
2011-05-16,20.046,20.42,20.093,3395550
2011-05-17,19.663,20.109,19.813,3999300
2011-05-18,19.663,20.216,20.153,2304000
2011-05-19,20.077,20.358,20.291,2285100
2011-05-20,19.793,20.251,19.971,2129250
2011-05-23,19.351,19.663,19.56,3300000
2011-05-24,19.418,19.686,19.592,2614200
2011-05-25,19.398,19.931,19.829,2025600
2011-05-26,19.56,19.809,19.71,2313600
2011-05-27,19.532,19.753,19.536,2269350
2011-05-31,19.556,19.813,19.753,2878950
2011-06-01,18.801,19.761,18.817,4690200
2011-06-02,18.643,19.086,18.813,3946200
2011-06-03,18.442,18.963,18.714,3947250
2011-06-06,18.501,18.92,18.849,4947600
2011-06-07,18.778,19.082,18.963,4006050
2011-06-08,18.529,19.121,18.529,5058000
2011-06-09,18.517,18.734,18.545,3445200
2011-06-10,17.976,18.501,18.082,5280150
2011-06-13,17.853,18.26,17.976,2254950
2011-06-14,18.157,18.596,18.525,3868350
2011-06-15,18.031,18.442,18.074,4560900
2011-06-16,18.003,18.343,18.221,3848400
2011-06-17,18.339,19.031,18.833,7827000
2011-06-20,18.738,19.003,18.912,2928300
2011-06-21,18.948,19.343,19.339,3391050
2011-06-22,19.212,19.422,19.244,2760750
2011-06-23,18.786,19.469,19.394,4312650
2011-06-24,19.102,19.516,19.145,3094800
2011-06-27,18.849,19.418,19.327,2117550
2011-06-28,19.339,19.659,19.647,2270100
2011-06-29,19.41,19.746,19.734,3188250
2011-06-30,19.615,20.267,20.184,3440250
2011-07-01,19.998,20.611,20.563,2989800
2011-07-05,20.251,20.623,20.532,3556650
2011-07-06,20.299,20.595,20.405,3823500
2011-07-07,20.615,21.207,21.093,5204250
2011-07-08,20.508,20.84,20.642,4406400
2011-07-11,19.75,20.476,19.931,6192000
2011-07-12,19.943,20.22,19.967,3949500
2011-07-13,19.765,20.255,19.856,4116450
2011-07-14,19.335,20.066,19.398,6465750
2011-07-15,19.299,19.58,19.469,3803550
2011-07-18,18.967,19.374,19.117,3873450
2011-07-19,19.185,19.694,19.619,3576300
2011-07-20,19.627,19.935,19.671,4241250
2011-07-21,19.607,19.967,19.813,4006200
2011-07-22,19.497,19.876,19.84,3195300
2011-07-25,19.607,20.046,19.912,3584100
2011-07-26,17.482,18.343,17.786,16547100
2011-07-27,17.209,17.849,17.324,9625500
2011-07-28,16.992,17.509,17.059,5958300
2011-07-29,16.692,17.118,16.913,5368800
2011-08-01,16.518,17.249,16.652,5269350
2011-08-02,15.929,16.656,15.941,5287350
2011-08-03,15.281,16.036,15.838,9002250
2011-08-04,15.186,15.609,15.404,12213450
2011-08-05,14.807,15.759,15.487,13637250
2011-08-08,14.108,15.447,14.112,12255900
2011-08-09,13.622,14.748,14.74,13370550
2011-08-10,13.784,14.562,14.183,16255500
2011-08-11,14.1,14.681,14.495,11422950
2011-08-12,14.337,14.716,14.554,8041650
2011-08-15,14.582,15.107,15.044,4706250
2011-08-16,14.739,15.147,14.957,5819400
2011-08-17,14.528,15.298,14.79,5077800
2011-08-18,13.726,14.437,13.845,6801150
2011-08-19,13.425,14.123,13.504,7726650
2011-08-22,13.349,13.893,13.572,5169150
2011-08-23,13.496,14.242,14.242,5066400
2011-08-24,13.996,14.481,14.461,5027850
2011-08-25,13.976,14.643,14.036,5195400
2011-08-26,13.647,14.334,14.211,6156900
2011-08-29,14.322,15.092,15.084,5445900
2011-08-30,14.838,15.326,15.132,6181200
2011-08-31,14.691,15.521,14.937,6970800
2011-09-01,14.616,15.108,14.671,5378550
2011-09-02,14.008,14.401,14.159,4695450
2011-09-06,13.611,14.195,14.08,4655850
2011-09-07,14.266,14.683,14.616,4013850
2011-09-08,14.405,14.743,14.496,6604800
2011-09-09,13.889,14.362,14.044,8922900
2011-09-12,13.679,14.135,14.119,6482550
2011-09-13,14.08,14.528,14.314,7827300
2011-09-14,14.195,14.945,14.739,5763900
2011-09-15,14.925,15.405,15.235,6590400
2011-09-16,14.929,15.632,15.124,6334350
2011-09-19,14.624,15.048,14.945,4317150
2011-09-20,14.715,15.132,14.751,4529250
2011-09-21,14.064,14.885,14.068,6370050
2011-09-22,13.155,13.746,13.266,10333350
2011-09-23,13.099,13.631,13.52,6304950
2011-09-26,13.306,13.917,13.885,6120150
2011-09-27,14.167,14.798,14.377,4954500
2011-09-28,13.849,14.493,13.917,4842900
2011-09-29,13.834,14.369,14.167,4946250
2011-09-30,13.318,14.024,13.425,9192750
2011-10-03,12.936,13.492,12.952,5734500
2011-10-04,12.532,13.679,13.659,7729200
2011-10-05,13.54,14.159,14.131,5399400
2011-10-06,13.988,14.496,14.496,3248850
2011-10-07,14.151,14.635,14.362,3624300
2011-10-10,14.334,14.846,14.838,4267800
2011-10-11,14.731,15.12,15.096,3981900
2011-10-12,15.076,15.552,15.437,5794650
2011-10-13,15.044,15.465,15.398,4077450
2011-10-14,15.362,15.914,15.814,4370400
2011-10-17,15.259,15.818,15.35,4191150
2011-10-18,15.195,16.08,16.009,6334650
2011-10-19,15.787,16.164,15.914,3945600
2011-10-20,15.421,16.06,15.882,5419050
2011-10-21,15.953,16.35,16.18,5795400
2011-10-24,16.191,16.938,16.823,6918900
2011-10-25,16.156,17.223,16.465,8814900
2011-10-26,16.128,16.858,16.477,7233750
2011-10-27,16.755,17.601,17.422,8685900
2011-10-28,17.247,17.549,17.541,4251300
2011-10-31,17.069,17.533,17.164,5194050
2011-11-01,16.473,17.081,16.751,8057700
2011-11-02,16.811,17.239,16.977,5428050
2011-11-03,16.787,17.474,17.402,5372850
2011-11-04,16.95,17.351,17.291,3775800
2011-11-07,16.918,17.406,17.259,3215100
2011-11-08,17.14,17.509,17.462,3236850
2011-11-09,16.461,16.997,16.592,7736100
2011-11-10,16.477,16.934,16.612,4871100
2011-11-11,16.807,17.132,16.934,2668500
2011-11-14,16.215,16.934,16.394,5122350
2011-11-15,15.922,16.449,16.362,5053050
2011-11-16,16.047,16.422,16.063,4033800
2011-11-17,15.617,16.207,15.712,5761200
2011-11-18,15.525,15.824,15.613,3321000
2011-11-21,15.078,15.377,15.306,4059600
2011-11-22,14.847,15.29,15.098,3929550
2011-11-23,14.7,14.971,14.771,4453200
2011-11-25,14.688,15.202,14.863,2671050
2011-11-28,15.222,15.621,15.357,4446900
2011-11-29,15.214,15.597,15.278,2271600
2011-11-30,15.844,16.243,16.175,4909800
2011-12-01,16.027,16.43,16.087,3484800
2011-12-02,16.059,16.462,16.083,3096600
2011-12-05,16.023,16.402,16.163,5185200
2011-12-06,15.995,16.278,16.091,3225150
2011-12-07,15.617,16.039,15.856,4108200
2011-12-08,15.405,15.983,15.445,3742350
2011-12-09,15.553,16.051,15.987,4149300
2011-12-12,15.066,15.864,15.421,5353050
2011-12-13,14.855,15.724,14.991,4178700
2011-12-14,14.572,14.979,14.863,4674750
2011-12-15,14.753,15.123,14.782,3642000
2011-12-16,14.672,15.156,14.717,6146550
2011-12-19,14.375,14.944,14.416,3185700
2011-12-20,14.636,15.241,15.152,3814350
2011-12-21,14.818,15.237,15.054,3246750
2011-12-22,15.066,15.318,15.257,2248650
2011-12-23,15.229,15.432,15.432,1942950
2011-12-27,15.298,15.509,15.428,1218450
2011-12-28,14.908,15.412,14.965,2537250
2011-12-29,14.973,15.237,15.221,1466850
2011-12-30,15.135,15.375,15.225,1721700
2012-01-03,15.586,16.001,15.765,4205700
2012-01-04,15.607,15.846,15.704,3803100
2012-01-05,15.745,16.509,16.399,6280650
2012-01-06,16.232,16.484,16.31,3596400
2012-01-09,16.269,16.545,16.505,2697900
2012-01-10,16.708,17.138,17.086,5169150
2012-01-11,17.025,17.216,17.143,3049950
2012-01-12,16.992,17.394,17.191,4195200
2012-01-13,16.984,17.268,17.244,3569100
2012-01-17,17.366,17.715,17.431,4376400
2012-01-18,17.22,17.581,17.476,4004100
2012-01-19,17.435,17.943,17.841,4080600
2012-01-20,17.683,17.878,17.837,4459500
2012-01-23,17.756,18.093,17.996,2768400
2012-01-24,17.667,18.288,18.284,5347200
2012-01-25,18.073,18.556,18.508,4298100
2012-01-26,18.061,18.768,18.101,5047500
2012-01-27,17.939,18.252,18.118,4485900
2012-01-30,17.821,18.122,17.951,9935250
2012-01-31,17.776,18.947,17.959,15517350
2012-02-01,17.809,18.357,17.919,7580550
2012-02-02,17.374,17.959,17.569,7063500
2012-02-03,17.764,18.069,17.98,9258600
2012-02-06,17.736,18.008,17.801,3367950
2012-02-07,17.671,17.866,17.825,5073000
2012-02-08,17.614,17.858,17.793,4542150
2012-02-09,17.634,17.858,17.78,3201600
2012-02-10,17.313,17.626,17.581,2957250
2012-02-13,17.569,17.915,17.894,3566700
2012-02-14,17.472,17.801,17.642,2319900
2012-02-15,17.597,18.291,18.091,7754700
2012-02-16,18.287,19.176,18.976,11156850
2012-02-17,18.666,19.029,18.842,4835700
2012-02-21,18.691,18.997,18.85,4014300
2012-02-22,18.597,18.854,18.67,3079050
2012-02-23,18.381,18.834,18.723,3633600
2012-02-24,18.666,19.017,18.703,2837550
2012-02-27,18.332,18.919,18.874,4160850
2012-02-28,18.793,19.005,18.976,3453000
2012-02-29,18.658,19.038,18.772,4197600
2012-03-01,18.687,19.017,18.781,2503950
2012-03-02,18.234,18.744,18.324,4664100
2012-03-05,18.116,18.397,18.364,3404850
2012-03-06,17.899,18.25,18.009,3358200
2012-03-07,18.026,18.332,18.209,2558400
2012-03-08,18.364,18.658,18.471,3040350
2012-03-09,18.426,18.817,18.707,2487150
2012-03-12,18.54,18.793,18.723,2293800
2012-03-13,18.793,19.238,19.225,3140850
2012-03-14,19.144,19.499,19.319,2890350
2012-03-15,19.107,19.519,19.482,3102600
2012-03-16,19.291,19.584,19.327,3987600
2012-03-19,19.209,19.486,19.315,2621100
2012-03-20,18.919,19.233,19.136,2712150
2012-03-21,18.94,19.164,19.095,1761450
2012-03-22,18.601,18.985,18.858,2785950
2012-03-23,18.617,19.013,18.952,2029650
2012-03-26,19.111,19.401,19.393,2679900
2012-03-27,19.299,19.58,19.319,2261550
2012-03-28,18.785,19.376,19.017,2749800
2012-03-29,18.768,19.148,19.115,1956900
2012-03-30,18.968,19.319,19.107,2663550
2012-04-02,18.87,19.327,19.234,3054600
2012-04-03,18.895,19.674,19.034,5880450
2012-04-04,18.593,18.854,18.732,4157100
2012-04-05,18.609,18.858,18.752,3024000
2012-04-09,18.152,18.479,18.189,3801150
2012-04-10,17.708,18.181,17.801,3580500
2012-04-11,16.994,18.063,17.32,12617700
2012-04-12,17.234,17.736,17.663,3473850
2012-04-13,17.402,17.606,17.442,3335100
2012-04-16,17.373,17.663,17.569,3746550
2012-04-17,17.483,17.924,17.765,4027800
2012-04-18,17.357,17.638,17.418,5079300
2012-04-19,17.21,17.757,17.344,3937800
2012-04-20,17.193,17.516,17.226,4757550
2012-04-23,16.753,17.144,17.116,5785650
2012-04-24,17.067,17.601,17.23,5966700
2012-04-25,17.23,17.475,17.373,4533000
2012-04-26,17.271,17.659,17.593,4086600
2012-04-27,17.622,17.903,17.842,2954700
2012-04-30,17.389,17.81,17.524,3124500
2012-05-01,17.226,17.618,17.32,4896000
2012-05-02,17.153,17.597,17.569,4827150
2012-05-03,17.079,17.487,17.132,4890150
2012-05-04,16.634,17.1,16.761,3706950
2012-05-07,16.618,16.863,16.749,3055500
2012-05-08,16.484,16.794,16.773,4056900
2012-05-09,16.414,16.732,16.516,4001250
2012-05-10,15.692,16.83,16.096,14250000
2012-05-11,15.704,16.43,16.059,7382100
2012-05-14,15.806,16.255,16.071,3875250
2012-05-15,15.859,16.165,15.892,3678150
2012-05-16,15.855,16.208,15.941,4656000
2012-05-17,15.437,15.962,15.543,5624100
2012-05-18,15.379,15.629,15.416,3908250
2012-05-21,15.424,15.855,15.793,3981300
2012-05-22,15.716,15.953,15.843,2911800
2012-05-23,15.519,16.003,15.953,3183750
2012-05-24,15.609,16.011,15.789,3333300
2012-05-25,15.691,15.876,15.728,2231850
2012-05-29,15.818,16.175,16.015,3484050
2012-05-30,15.408,15.867,15.519,3561000
2012-05-31,15.174,15.588,15.408,4509450
2012-06-01,14.899,15.195,14.965,3741000
2012-06-04,14.58,15.088,14.735,3664500
2012-06-05,14.67,15.096,15.018,3973350
2012-06-06,15.146,15.535,15.519,3388200
2012-06-07,15.474,15.917,15.494,3133500
2012-06-08,15.346,15.88,15.839,3116700
2012-06-11,15.535,16.007,15.576,3526800
2012-06-12,15.552,16.236,16.175,6671250
2012-06-13,15.777,16.191,15.859,3274200
2012-06-14,15.716,16.097,15.999,3680700
2012-06-15,15.966,16.216,16.158,3519750
2012-06-18,16.011,16.236,16.167,2172600
2012-06-19,16.204,16.667,16.523,2936700
2012-06-20,16.298,16.585,16.405,2697750
2012-06-21,15.711,16.528,15.744,3999150
2012-06-22,15.584,15.884,15.769,16064100
2012-06-25,15.232,15.625,15.371,3162600
2012-06-26,15.174,15.506,15.433,2267250
2012-06-27,15.42,15.679,15.449,2515050
2012-06-28,15.211,15.543,15.441,3130950
2012-06-29,15.662,16.072,16.072,3829650
2012-07-02,15.609,16.158,15.711,3500850
2012-07-03,15.662,15.917,15.917,1838700
2012-07-05,15.556,15.925,15.736,3144150
2012-07-06,15.256,15.654,15.486,2724600
2012-07-09,15.219,15.58,15.342,2415750
2012-07-10,14.682,15.675,14.879,10162950
2012-07-11,14.657,14.904,14.727,6969750
2012-07-12,14.44,14.912,14.813,5534700
2012-07-13,14.817,15.334,15.264,4265850
2012-07-16,14.94,15.248,15.051,2044500
2012-07-17,14.703,15.133,15.002,3573000
2012-07-18,14.858,15.58,15.424,3352350
2012-07-19,15.383,15.67,15.478,2880450
2012-07-20,15.187,15.511,15.264,3363300
2012-07-23,14.534,15.584,15.49,5579400
2012-07-24,15.424,16.704,15.576,8281800
2012-07-25,15.392,15.917,15.453,4836600
2012-07-26,15.629,15.937,15.843,3689700
2012-07-27,16.052,16.835,16.733,5633100
2012-07-30,16.495,16.815,16.589,2800800
2012-07-31,16.343,16.655,16.409,3325200
2012-08-01,16.339,16.655,16.359,2338200
2012-08-02,15.449,16.327,15.818,6485700
2012-08-03,16.089,16.462,16.29,3190950
2012-08-06,16.364,16.593,16.421,1832400
2012-08-07,16.478,16.782,16.626,2363550
2012-08-08,16.429,16.679,16.626,2359200
2012-08-09,16.56,16.839,16.737,2862900
2012-08-10,16.552,16.954,16.954,2215200
2012-08-13,16.663,16.934,16.909,2341050
2012-08-14,16.79,17.036,16.856,1786200
2012-08-15,16.744,17.004,16.934,2172300
2012-08-16,16.983,17.284,17.194,2505900
2012-08-17,17.058,17.284,17.26,2364750
2012-08-20,16.938,17.169,16.996,3074100
2012-08-21,16.885,17.231,16.967,1817700
2012-08-22,16.617,16.979,16.699,2291850
2012-08-23,16.477,16.843,16.497,3236400
2012-08-24,16.431,16.823,16.596,2677350
2012-08-27,16.382,16.666,16.419,1465800
2012-08-28,16.283,16.551,16.332,2476050
2012-08-29,16.205,16.419,16.357,1265400
2012-08-30,16.163,16.324,16.229,1541100
2012-08-31,16.237,16.592,16.448,2219700
2012-09-04,15.974,16.464,16.134,2737350
2012-09-05,16.056,16.427,16.163,3256350
2012-09-06,16.324,16.901,16.901,3591900
2012-09-07,16.988,17.305,17.189,2599800
2012-09-10,16.971,17.268,17.115,1821150
2012-09-11,17.066,17.264,17.189,2352300
2012-09-12,16.72,17.247,17.078,5557200
2012-09-13,16.736,17.482,17.235,3816000
2012-09-14,17.189,17.878,17.742,5353200
2012-09-17,17.474,17.721,17.548,2534850
2012-09-18,17.297,17.556,17.363,2844300
2012-09-19,17.28,17.511,17.424,3661200
2012-09-20,17.074,17.342,17.293,3087600
2012-09-21,17.086,17.391,17.095,4658850
2012-09-24,16.95,17.14,17.07,2246100
2012-09-25,16.678,17.144,16.711,3880500
2012-09-26,16.25,16.604,16.444,3839850
2012-09-27,16.386,16.67,16.547,2107050
2012-09-28,16.32,16.567,16.493,2825850
2012-10-01,16.505,16.827,16.732,3125100
2012-10-02,16.65,16.889,16.819,3141450
2012-10-03,16.72,16.942,16.897,3216750
2012-10-04,16.654,17.177,17.157,4784250
2012-10-05,16.971,17.342,17.058,2987550
2012-10-08,16.93,17.173,17.07,1886700
2012-10-09,16.843,17.157,16.852,3374250
2012-10-10,16.287,16.621,16.477,7560450
2012-10-11,16.415,16.65,16.444,4321500
2012-10-12,16.481,16.711,16.547,3105450
2012-10-15,16.501,16.691,16.6,2691000
2012-10-16,16.707,16.876,16.831,1921950
2012-10-17,16.744,16.885,16.86,3004050
2012-10-18,16.753,16.889,16.831,4068150
2012-10-19,16.571,16.852,16.654,6589950
2012-10-22,16.567,16.967,16.938,3512700
2012-10-23,16.493,16.711,16.695,3863100
2012-10-24,16.299,16.749,16.308,5239650
2012-10-25,16.913,17.746,17.63,15723600
2012-10-26,17.569,17.927,17.861,6953700
2012-10-31,17.676,17.931,17.874,3730350
2012-11-01,17.808,18.776,18.677,7191900
2012-11-02,18.261,18.826,18.549,8160900
2012-11-05,18.409,18.657,18.566,3749550
2012-11-06,18.562,18.768,18.595,4100250
2012-11-07,17.964,18.574,17.973,5574750
2012-11-08,17.779,18.133,17.808,3575700
2012-11-09,17.705,17.935,17.725,2861550
2012-11-12,17.651,17.845,17.738,1870950
2012-11-13,17.548,17.915,17.635,2384850
2012-11-14,17.175,17.8,17.212,3880500
2012-11-15,17.047,17.37,17.299,4312650
2012-11-16,17.125,17.419,17.324,4717050
2012-11-19,17.374,17.606,17.527,3188700
2012-11-20,17.382,17.585,17.539,2338050
2012-11-21,17.415,17.734,17.618,2573100
2012-11-23,17.523,17.891,17.825,1371300
2012-11-26,17.742,17.974,17.916,2340600
2012-11-27,17.808,18.09,17.875,2716350
2012-11-28,17.738,18.281,18.276,2926800
2012-11-29,18.227,18.421,18.293,2193300
2012-11-30,18.136,18.33,18.194,2679750
2012-12-03,17.941,18.322,18.003,2809650
2012-12-04,17.751,18.181,17.982,5270850
2012-12-05,17.937,18.442,18.235,4299450
2012-12-06,17.924,18.239,17.924,4565550
2012-12-07,17.991,18.181,18.152,2656800
2012-12-10,18.111,18.45,18.43,2218650
2012-12-11,18.471,18.773,18.736,3588600
2012-12-12,18.719,19.023,18.816,2571900
2012-12-13,18.479,18.888,18.504,3072450
2012-12-14,18.487,18.736,18.508,2962200
2012-12-17,18.479,18.694,18.677,2946450
2012-12-18,18.669,18.968,18.959,3037950
2012-12-19,18.829,19.153,18.943,3522900
2012-12-20,18.778,18.985,18.959,2843100
2012-12-21,18.407,18.913,18.9,6066450
2012-12-24,18.69,18.947,18.829,806100
2012-12-26,18.841,19.031,18.871,1946850
2012-12-27,18.454,18.921,18.808,2516250
2012-12-28,18.61,18.9,18.728,2519400
2012-12-31,18.639,19.056,19.056,2871450
2013-01-02,19.457,19.878,19.617,4159350
2013-01-03,19.372,19.748,19.528,3604800
2013-01-04,19.545,19.794,19.727,2782350
2013-01-07,19.465,19.663,19.512,1938900
2013-01-08,19.174,19.457,19.343,2397600
2013-01-09,19.145,19.301,19.233,3159000
2013-01-10,19.17,19.406,19.394,2942550
2013-01-11,19.229,19.562,19.402,2091600
2013-01-14,19.267,19.482,19.469,2091600
