,Low,High,Close,Volume
2010-12-09,15.001,15.233,15.015,315400
2010-12-10,15.015,15.262,15.224,334100
2010-12-13,15.157,15.29,15.181,322600
2010-12-14,15.162,15.29,15.233,371500
2010-12-15,15.153,15.319,15.176,408200
2010-12-16,15.138,15.352,15.252,224900
2010-12-17,15.19,15.375,15.347,760800
2010-12-20,15.285,15.541,15.39,672700
2010-12-21,15.385,15.541,15.423,366300
2010-12-22,15.39,15.508,15.413,320700
2010-12-23,15.413,15.579,15.461,233400
2010-12-27,15.461,15.622,15.532,216300
2010-12-28,15.489,15.684,15.603,119100
2010-12-29,15.48,15.717,15.489,142900
2010-12-30,15.437,15.632,15.527,113800
2010-12-31,15.437,15.603,15.437,187400
2011-01-03,15.518,15.783,15.641,231900
2011-01-04,15.428,15.779,15.47,362700
2011-01-05,15.428,15.798,15.66,325300
2011-01-06,15.636,15.973,15.769,334300
2011-01-07,15.447,15.954,15.807,335700
2011-01-10,15.537,15.992,15.826,266500
2011-01-11,15.84,16.144,15.94,177400
2011-01-12,15.897,16.144,16.035,518400
2011-01-13,15.902,16.125,16.035,361700
2011-01-14,15.949,16.277,16.172,279400
2011-01-18,16.068,16.476,16.447,418600
2011-01-19,16.092,16.386,16.21,344000
2011-01-20,16.101,16.59,16.295,379400
2011-01-21,16.243,16.48,16.367,347500
2011-01-24,16.367,17.016,17.002,445200
2011-01-25,16.931,17.173,17.173,285100
2011-01-26,17.178,17.68,17.652,342300
2011-01-27,17.548,17.851,17.775,262300
2011-01-28,17.358,17.884,17.429,350500
2011-01-31,17.457,17.761,17.619,216500
2011-02-01,17.472,17.97,17.903,231500
2011-02-02,17.709,18.027,17.766,119800
2011-02-03,17.329,17.728,17.424,205900
2011-02-04,17.168,17.638,17.348,239300
2011-02-07,17.192,17.585,17.538,297700
2011-02-08,17.467,18.027,17.936,241000
2011-02-09,17.666,17.989,17.837,347200
2011-02-10,17.685,18.226,18.117,313800
2011-02-11,17.97,18.259,18.23,164900
2011-02-14,18.017,18.302,18.079,213400
2011-02-15,18.022,18.254,18.235,280900
2011-02-16,18.164,18.373,18.297,161000
2011-02-17,18.268,18.6,18.539,190900
2011-02-18,18.359,18.657,18.496,254100
2011-02-22,17.856,18.487,17.913,312500
2011-02-23,17.538,18.031,17.548,305400
2011-02-24,17.382,17.799,17.709,374400
2011-02-25,17.652,18.278,18.278,248300
2011-02-28,18.079,18.439,18.211,274300
2011-03-01,17.695,18.306,17.728,278900
2011-03-02,17.665,17.992,17.886,229100
2011-03-03,18.055,18.247,18.16,155300
2011-03-04,17.694,18.136,17.968,196500
2011-03-07,17.579,18.074,17.742,188200
2011-03-08,17.574,18.367,18.17,186100
2011-03-09,17.915,18.271,18.112,129200
2011-03-10,17.463,18.04,17.636,284600
2011-03-11,17.622,18.271,18.213,205000
2011-03-14,18.011,18.507,18.43,326100
2011-03-15,18.031,18.742,18.377,606100
2011-03-16,17.92,18.415,18.011,320900
2011-03-17,17.959,18.334,18.002,231800
2011-03-18,18.002,18.406,18.098,603900
2011-03-21,18.156,18.536,18.377,296200
2011-03-22,18.151,18.497,18.18,171800
2011-03-23,17.963,18.319,18.213,212000
2011-03-24,18.165,18.742,18.617,293000
2011-03-25,18.444,19.026,18.569,214500
2011-03-28,18.584,18.877,18.79,146200
2011-03-29,18.646,19.088,19.016,227600
2011-03-30,19.016,19.213,19.088,336900
2011-03-31,19.127,19.406,19.329,372900
2011-04-01,19.382,19.68,19.497,256000
2011-04-04,19.449,19.675,19.497,208500
2011-04-05,19.396,19.593,19.483,210500
2011-04-06,19.435,19.675,19.468,189600
2011-04-07,19.348,19.584,19.483,253600
2011-04-08,18.891,19.564,19.016,246500
2011-04-11,18.757,19.266,19.103,180000
2011-04-12,18.636,19.132,18.641,197200
2011-04-13,18.31,18.867,18.531,219300
2011-04-14,18.175,18.733,18.641,166300
2011-04-15,18.531,18.757,18.757,305500
2011-04-18,18.271,18.531,18.487,185200
2011-04-19,18.386,18.766,18.579,109900
2011-04-20,18.608,18.92,18.713,164800
2011-04-21,18.627,19.103,18.737,140200
2011-04-25,18.526,18.752,18.752,126300
2011-04-26,18.651,19.209,19.117,306600
2011-04-27,18.516,19.04,18.728,411700
2011-04-28,18.54,18.814,18.646,233000
2011-04-29,18.396,18.824,18.588,205000
2011-05-02,18.199,18.713,18.295,167000
2011-05-03,17.973,18.459,18.16,191000
2011-05-04,17.752,18.247,17.776,224800
2011-05-05,17.502,18.002,17.8,204900
2011-05-06,17.555,18.069,17.68,142000
2011-05-09,17.531,17.886,17.862,123000
2011-05-10,17.934,18.42,18.353,335200
2011-05-11,17.843,18.382,18.05,212500
2011-05-12,17.834,18.242,18.204,161600
