,Low,High,Close,Volume
2010-12-09,8.295,8.42,8.408,847600
2010-12-10,8.331,8.47,8.441,600000
2010-12-13,8.249,8.487,8.317,919200
2010-12-14,8.226,8.491,8.405,1598400
2010-12-15,8.309,8.752,8.372,1252800
2010-12-16,8.326,8.549,8.537,446800
2010-12-17,8.36,8.57,8.511,1712400
2010-12-20,8.513,8.925,8.889,1305600
2010-12-21,8.781,9.009,8.93,544400
2010-12-22,8.738,9.054,8.769,626400
2010-12-23,8.657,8.894,8.764,638800
2010-12-27,8.661,8.841,8.824,203600
2010-12-28,8.721,8.877,8.807,280800
2010-12-29,8.752,8.977,8.776,196400
2010-12-30,8.75,8.903,8.795,266400
2010-12-31,8.728,8.848,8.779,288800
2011-01-03,8.776,9.138,8.827,709200
2011-01-04,8.587,8.93,8.736,462000
2011-01-05,8.568,8.839,8.772,442000
2011-01-06,8.697,8.915,8.755,618000
2011-01-07,8.453,8.829,8.69,568800
2011-01-10,8.434,8.64,8.453,871200
2011-01-11,8.434,8.666,8.589,344000
2011-01-12,8.383,8.784,8.649,251200
2011-01-13,8.589,8.764,8.63,153600
2011-01-14,8.609,8.896,8.764,528400
2011-01-18,8.616,8.812,8.647,817200
2011-01-19,8.448,8.702,8.479,540000
2011-01-20,8.096,8.434,8.141,532800
2011-01-21,7.921,8.244,7.921,876000
2011-01-24,7.854,8.124,8.0,547200
2011-01-25,7.698,7.952,7.772,474800
2011-01-26,7.729,8.021,7.933,885600
2011-01-27,7.839,8.156,8.05,493600
2011-01-28,7.894,8.204,8.048,1306800
2011-01-31,8.098,8.28,8.192,994000
2011-02-01,8.199,8.462,8.41,583600
2011-02-02,8.39,8.807,8.628,642400
2011-02-03,8.599,8.903,8.8,573600
2011-02-04,8.712,8.903,8.894,383600
2011-02-07,8.879,9.39,9.248,880400
2011-02-08,9.105,9.256,9.253,520400
2011-02-09,9.006,9.313,9.035,328400
2011-02-10,8.86,9.189,9.124,328400
2011-02-11,9.081,9.313,9.299,295600
2011-02-14,9.27,9.399,9.342,214400
2011-02-15,9.224,9.368,9.248,362800
2011-02-16,9.119,9.34,9.296,313600
2011-02-17,9.203,9.359,9.299,475200
2011-02-18,9.268,9.435,9.294,558400
2011-02-22,8.97,9.502,9.006,1187600
2011-02-23,8.704,9.083,8.76,708800
2011-02-24,8.769,9.289,9.107,820800
2011-02-25,8.985,9.665,9.661,725200
2011-02-28,9.591,9.862,9.653,736400
2011-03-01,9.272,9.804,9.411,783600
2011-03-02,9.241,9.455,9.313,554800
2011-03-03,9.354,9.538,9.459,486800
2011-03-04,9.332,9.61,9.359,454800
2011-03-07,8.942,9.641,9.117,381200
2011-03-08,8.992,9.347,9.04,511600
2011-03-09,8.97,9.117,9.021,441600
2011-03-10,8.395,8.932,8.652,851200
2011-03-11,8.307,8.68,8.589,521600
2011-03-14,8.304,8.582,8.503,487200
2011-03-15,8.249,8.484,8.386,424000
2011-03-16,7.887,8.57,7.89,1944400
2011-03-17,7.386,8.218,7.679,2272800
2011-03-18,7.789,8.117,7.964,1052400
2011-03-21,7.928,8.187,8.146,685200
2011-03-22,8.096,8.297,8.194,544800
2011-03-23,8.062,8.328,8.242,638400
2011-03-24,8.088,8.438,8.412,864800
2011-03-25,8.417,8.625,8.527,524000
2011-03-28,8.376,8.621,8.594,745600
2011-03-29,8.458,8.676,8.553,531600
2011-03-30,8.508,8.616,8.541,322000
2011-03-31,8.347,9.23,9.108,822000
2011-04-01,9.225,9.69,9.376,1035600
2011-04-04,9.232,9.453,9.335,314000
2011-04-05,9.213,9.379,9.261,499600
2011-04-06,9.0,9.331,9.22,365600
2011-04-07,9.146,9.326,9.187,325200
2011-04-08,9.033,9.266,9.129,278400
2011-04-11,8.959,9.148,9.04,318000
2011-04-12,8.709,9.036,8.748,433600
2011-04-13,8.776,8.884,8.82,425200
2011-04-14,8.741,8.887,8.848,431600
2011-04-15,8.8,8.947,8.932,440400
2011-04-18,8.649,8.889,8.875,344800
2011-04-19,8.765,9.093,8.82,450000
2011-04-20,8.923,9.139,9.052,504800
2011-04-21,8.997,9.295,9.055,483200
2011-04-25,8.882,9.055,8.947,380000
2011-04-26,8.884,8.992,8.904,324800
2011-04-27,8.772,8.966,8.87,308000
2011-04-28,8.827,9.086,9.043,292000
2011-04-29,8.872,9.093,8.904,400000
2011-05-02,8.882,9.455,8.911,924000
