,Low,High,Close,Volume
2010-12-09,41.049,41.375,41.33,6173400
2010-12-10,41.247,41.509,41.445,5426900
2010-12-13,41.381,41.969,41.847,9261700
2010-12-14,41.72,42.064,41.886,5751600
2010-12-15,41.573,41.815,41.662,4526400
2010-12-16,41.63,42.013,41.988,4830000
2010-12-17,41.803,42.147,42.128,7334800
2010-12-20,41.988,42.371,42.345,5549500
2010-12-21,41.585,42.473,41.764,7830800
2010-12-22,41.643,41.969,41.943,3977600
2010-12-23,41.835,42.096,41.949,3297400
2010-12-27,41.771,41.962,41.777,2358500
2010-12-28,41.624,41.847,41.688,3071200
2010-12-29,41.72,42.001,41.72,3248600
2010-12-30,41.566,41.905,41.585,3507400
2010-12-31,41.528,41.86,41.72,2977400
2011-01-03,41.892,42.205,41.988,6787300
2011-01-04,41.585,42.269,41.771,7897100
2011-01-05,41.866,42.709,42.524,10381900
2011-01-06,42.39,42.754,42.684,7648900
2011-01-07,42.307,42.671,42.396,4899100
2011-01-10,42.045,42.352,42.179,5220500
2011-01-11,42.154,42.626,42.358,4686400
2011-01-12,42.499,42.831,42.614,5265100
2011-01-13,42.563,43.08,42.729,7943000
2011-01-14,42.511,42.888,42.646,5986100
2011-01-18,42.403,42.882,42.511,6066000
2011-01-19,41.949,42.588,42.084,7872400
2011-01-20,42.026,42.358,42.084,7131000
2011-01-21,41.937,42.352,42.064,5564400
2011-01-24,41.892,42.262,42.262,4713700
2011-01-25,41.988,42.307,42.001,4986100
2011-01-26,41.841,42.173,42.058,6797600
2011-01-27,41.796,42.116,41.866,6819700
2011-01-28,40.947,42.045,41.126,10455700
2011-01-31,40.928,41.305,41.068,8666100
2011-02-01,41.062,41.598,41.541,7138100
2011-02-02,40.896,41.419,41.285,8221000
2011-02-03,40.877,41.304,40.985,6693300
2011-02-04,40.653,41.049,40.768,8423900
2011-02-07,40.398,40.857,40.666,8157900
2011-02-08,40.557,41.043,40.979,6064800
2011-02-09,40.851,41.356,41.138,6132000
2011-02-10,40.193,40.992,40.462,15759300
2011-02-11,39.951,40.883,40.787,9016500
2011-02-14,40.34,41.081,40.449,9108700
2011-02-15,40.27,41.158,41.094,9487900
2011-02-16,40.768,41.177,40.845,8043300
2011-02-17,40.372,41.324,41.317,10851000
2011-02-18,40.359,41.196,40.493,14023700
2011-02-22,39.957,40.57,40.327,9637500
2011-02-23,40.168,40.723,40.187,9527000
2011-02-24,40.046,40.359,40.251,9120900
2011-02-25,40.161,40.8,40.615,6523300
2011-02-28,40.468,40.845,40.5,8022500
2011-03-01,40.353,40.838,40.366,8086400
2011-03-02,40.243,40.533,40.501,7061400
2011-03-03,40.539,41.17,41.022,8445800
2011-03-04,40.559,41.099,40.797,7662000
2011-03-07,40.668,40.919,40.842,7018900
2011-03-08,40.739,41.119,41.048,7520000
2011-03-09,40.9,41.717,41.601,7746100
2011-03-10,41.26,41.736,41.46,8663100
2011-03-11,41.395,41.756,41.601,6875600
2011-03-14,40.919,41.46,41.273,5896600
2011-03-15,40.346,40.951,40.546,8730100
2011-03-16,39.928,40.488,40.096,8406300
2011-03-17,40.256,40.707,40.591,6753400
2011-03-18,40.475,40.932,40.694,8427000
2011-03-21,40.861,41.376,41.247,6524500
2011-03-22,41.074,41.215,41.144,5038200
2011-03-23,41.022,41.415,41.312,3908000
2011-03-24,41.292,41.492,41.312,4146500
2011-03-25,41.151,41.485,41.17,5048600
2011-03-28,41.17,41.672,41.402,4971000
2011-03-29,41.202,41.576,41.286,5163800
2011-03-30,41.46,42.039,41.859,5794900
2011-03-31,41.408,41.974,41.447,7403500
2011-04-01,41.485,42.097,41.968,6350000
2011-04-04,41.736,41.904,41.884,4210300
2011-04-05,41.775,42.27,42.2,5762300
2011-04-06,42.155,42.393,42.309,3815300
2011-04-07,42.18,42.496,42.418,6105100
2011-04-08,42.052,42.47,42.296,4076700
2011-04-11,42.258,42.695,42.496,4385100
2011-04-12,42.187,42.927,42.837,7492900
2011-04-13,42.676,43.004,42.76,4203200
2011-04-14,42.547,43.03,42.92,4207700
2011-04-15,42.753,43.204,43.184,5398300
2011-04-18,42.753,43.326,43.21,5668400
2011-04-19,42.792,43.274,42.991,4973900
2011-04-20,43.101,43.429,43.326,4292200
2011-04-21,43.146,43.454,43.377,3876100
2011-04-25,43.01,43.287,43.133,4197500
2011-04-26,43.017,43.66,43.57,6600000
2011-04-27,43.538,43.918,43.712,5939200
2011-04-28,43.673,44.992,44.864,12755900
2011-04-29,44.175,45.005,44.33,8034200
2011-05-02,44.42,44.709,44.6,6235200
2011-05-03,44.323,44.78,44.78,6107500
2011-05-04,44.593,44.999,44.934,8129500
2011-05-05,44.053,44.844,44.291,7642700
2011-05-06,44.516,45.012,44.574,6792600
2011-05-09,44.709,45.031,44.928,5763100
