,Low,High,Close,Volume
2010-12-09,40.993,43.659,43.129,40100
2010-12-10,43.046,44.305,43.394,18300
2010-12-13,42.517,43.783,43.204,25400
2010-12-14,42.864,43.866,43.576,9800
2010-12-15,43.088,45.257,43.129,19900
2010-12-16,42.633,43.742,43.535,153100
2010-12-17,43.129,45.737,45.737,60000
2010-12-20,46.308,52.152,51.349,34900
2010-12-21,50.77,51.805,51.391,16800
2010-12-22,50.389,51.449,51.349,20200
2010-12-23,49.056,52.434,49.553,27500
2010-12-27,48.427,49.967,49.909,10000
2010-12-28,49.843,52.773,51.043,27700
2010-12-29,50.538,51.788,51.44,2000
2010-12-30,48.102,51.648,49.605,16100
2010-12-31,48.418,49.522,48.609,4700
2011-01-03,49.314,50.71,50.71,9300
2011-01-04,49.431,50.402,49.804,9000
2011-01-05,49.29,52.313,51.49,19100
2011-01-06,50.353,52.088,50.685,5300
2011-01-07,50.826,51.723,51.49,4900
2011-01-10,50.336,50.834,50.685,4900
2011-01-11,50.818,53.284,53.143,17400
2011-01-12,52.578,53.899,53.417,8500
2011-01-13,52.919,53.741,52.944,2500
2011-01-14,52.62,53.151,52.944,3000
2011-01-18,51.075,52.944,52.063,24800
2011-01-19,50.66,52.445,50.66,20800
2011-01-20,49.065,51.025,49.115,15900
2011-01-21,48.999,50.602,49.248,10200
2011-01-24,48.31,49.979,49.979,14300
2011-01-25,49.447,50.427,50.427,8100
2011-01-26,50.701,53.243,52.902,15500
2011-01-27,53.135,54.256,53.442,9700
2011-01-28,51.083,53.392,51.083,13400
2011-01-31,50.477,51.515,50.751,27400
2011-02-01,50.776,53.467,53.467,12700
2011-02-02,52.329,54.48,54.43,8800
2011-02-03,53.99,57.719,57.071,20000
2011-02-04,56.988,60.46,58.583,22400
2011-02-07,57.511,59.313,57.736,12200
2011-02-08,57.304,58.051,57.503,9900
2011-02-09,56.299,57.578,57.071,2800
2011-02-10,56.423,57.42,57.021,4600
2011-02-11,56.681,58.674,58.666,3700
2011-02-14,57.877,59.114,58.383,3000
2011-02-15,57.677,59.114,58.458,8800
2011-02-16,58.342,59.521,59.496,3600
2011-02-17,58.84,60.161,60.011,3700
2011-02-18,59.662,60.46,59.853,3800
2011-02-22,57.354,60.086,57.428,14800
2011-02-23,56.199,57.437,56.199,10100
2011-02-24,54.953,57.163,55.751,14500
2011-02-25,55.742,57.885,57.628,6400
2011-02-28,57.702,60.019,58.948,8800
2011-03-01,57.171,59.114,57.628,8700
2011-03-02,56.374,58.134,56.814,38400
2011-03-03,55.717,57.752,56.947,16700
2011-03-04,55.078,56.847,55.809,50400
2011-03-07,53.209,55.859,53.575,10400
2011-03-08,53.326,56.432,54.223,53800
2011-03-09,53.982,54.522,54.189,6500
2011-03-10,49.705,53.218,49.954,68600
2011-03-11,49.057,51.034,50.519,18700
2011-03-14,49.414,49.921,49.439,6100
2011-03-15,47.944,49.24,49.032,6300
2011-03-16,48.667,49.447,48.791,9500
2011-03-17,48.683,49.829,48.974,15000
2011-03-18,48.467,50.535,50.377,27700
2011-03-21,50.867,52.163,52.163,8000
2011-03-22,51.308,52.005,51.424,11700
2011-03-23,51.349,52.321,52.263,15900
2011-03-24,52.163,55.178,54.131,18900
2011-03-25,53.683,55.045,54.397,32100
2011-03-28,54.214,55.078,54.355,9200
2011-03-29,54.397,54.688,54.663,3000
2011-03-30,55.071,56.32,56.029,5200
2011-03-31,55.596,57.72,57.62,17200
2011-04-01,57.928,59.861,59.861,25800
2011-04-04,59.986,64.467,64.268,30200
2011-04-05,62.768,65.167,63.443,26100
2011-04-06,61.935,66.225,62.493,18200
2011-04-07,61.852,66.108,63.251,24500
2011-04-08,59.661,63.559,59.811,27200
2011-04-11,59.369,61.385,59.586,4700
2011-04-12,57.753,59.636,57.995,9900
2011-04-13,57.17,58.92,57.228,13100
2011-04-14,56.77,57.895,57.812,16800
2011-04-15,57.045,59.311,57.678,15400
2011-04-18,55.313,57.162,56.171,27500
2011-04-19,55.587,56.454,55.637,14600
2011-04-20,54.413,58.811,55.771,8400
2011-04-21,55.029,55.446,55.171,5000
2011-04-25,55.396,58.361,55.912,15000
2011-04-26,55.562,57.104,56.937,22200
2011-04-27,56.662,58.445,58.32,4100
