,Low,High,Close,Volume
2010-12-09,22.8,23.519,23.25,171200
2010-12-10,22.945,23.853,23.802,80100
2010-12-13,23.04,23.802,23.105,99500
2010-12-14,22.982,23.301,23.199,82100
2010-12-15,22.916,23.475,23.381,122000
2010-12-16,23.149,23.504,23.199,94900
2010-12-17,22.786,23.294,23.236,289300
2010-12-20,23.185,23.497,23.352,50900
2010-12-21,23.294,23.584,23.454,42400
2010-12-22,23.316,23.947,23.548,69500
2010-12-23,23.228,23.679,23.345,41400
2010-12-27,23.127,23.446,23.316,43700
2010-12-28,23.127,23.548,23.424,47100
2010-12-29,23.25,23.751,23.671,49600
2010-12-30,23.49,24.158,24.093,19000
2010-12-31,23.875,24.318,23.875,54400
2011-01-03,23.94,25.218,25.051,133600
2011-01-04,24.63,25.327,25.291,86200
2011-01-05,25.196,25.821,25.799,109500
2011-01-06,25.429,26.351,26.307,119300
2011-01-07,26.017,26.452,26.278,174700
2011-01-10,26.169,26.503,26.329,98400
2011-01-11,26.336,27.113,27.033,99100
2011-01-12,27.171,27.796,27.665,95100
2011-01-13,27.483,27.905,27.614,265700
2011-01-14,27.287,28.101,27.926,99600
2011-01-18,27.716,28.377,28.362,72700
2011-01-19,27.934,28.486,27.984,70400
2011-01-20,27.389,27.984,27.723,58900
2011-01-21,27.767,28.108,28.006,56000
2011-01-24,27.767,28.326,28.282,185500
2011-01-25,27.345,28.239,27.788,86400
2011-01-26,27.796,28.326,28.05,47600
2011-01-27,27.694,28.057,28.014,71400
2011-01-28,27.266,28.028,27.375,64000
2011-01-31,27.418,27.948,27.527,61300
2011-02-01,27.578,28.827,28.188,42200
2011-02-02,26.714,28.231,27.375,98100
2011-02-03,27.433,28.239,27.883,54300
2011-02-04,27.563,27.832,27.694,44700
2011-02-07,27.52,28.122,28.072,30800
2011-02-08,27.919,28.391,28.355,33900
2011-02-09,28.239,28.769,28.689,51300
2011-02-10,28.478,29.081,28.74,62100
2011-02-11,28.645,29.059,29.016,80800
2011-02-14,28.551,28.987,28.841,18700
2011-02-15,28.188,28.885,28.275,54800
2011-02-16,28.231,29.684,28.689,130000
2011-02-17,28.558,29.197,28.696,29500
2011-02-18,28.602,29.451,28.79,23900
2011-02-22,27.738,28.841,28.05,79700
2011-02-23,26.692,28.246,26.721,125400
2011-02-24,26.387,27.316,27.215,51400
2011-02-25,26.903,27.687,27.6,62100
2011-02-28,26.874,27.614,27.149,83400
2011-03-01,26.191,27.425,26.605,221700
2011-03-02,25.922,26.699,26.322,40100
2011-03-03,26.576,26.975,26.656,79900
2011-03-04,26.358,27.135,26.561,63800
2011-03-07,25.777,26.685,26.256,22100
2011-03-08,26.176,27.404,27.113,56200
2011-03-09,26.874,27.149,26.932,22300
2011-03-10,26.227,26.895,26.445,43200
2011-03-11,25.443,26.75,26.314,28600
2011-03-14,25.922,26.452,26.249,13300
2011-03-15,25.421,26.068,25.922,18700
2011-03-16,24.935,25.893,25.4,69800
2011-03-17,25.276,25.951,25.545,70400
2011-03-18,25.32,25.915,25.567,74000
2011-03-21,25.726,26.481,26.358,74100
2011-03-22,26.14,26.939,26.852,167000
2011-03-23,26.452,27.142,26.961,54900
2011-03-24,26.866,27.476,27.251,23300
2011-03-25,27.338,28.202,27.926,33400
2011-03-28,27.999,28.26,28.181,26300
2011-03-29,28.05,28.536,28.268,30300
2011-03-30,28.319,28.95,28.718,88300
2011-03-31,28.522,28.827,28.638,34700
2011-04-01,28.384,28.907,28.558,39200
2011-04-04,28.333,28.711,28.653,45300
2011-04-05,28.493,29.64,28.907,76600
2011-04-06,28.776,29.095,28.885,12000
2011-04-07,28.028,28.856,28.057,34300
2011-04-08,27.338,28.21,27.527,12000
2011-04-11,27.004,27.52,27.411,62800
2011-04-12,26.844,27.505,26.859,36500
2011-04-13,26.583,27.404,26.786,19300
2011-04-14,26.358,27.128,26.975,44000
2011-04-15,26.728,27.295,27.062,52400
2011-04-18,26.213,26.765,26.358,21300
2011-04-19,26.503,27.157,26.598,23700
2011-04-20,26.169,27.324,26.765,64600
2011-04-21,26.51,27.048,27.033,47100
2011-04-25,26.489,28.369,28.064,202400
2011-04-26,27.825,28.471,28.159,21200
2011-04-27,27.977,28.754,28.486,47000
2011-04-28,28.348,29.248,28.406,61000
2011-04-29,28.544,28.892,28.696,20000
2011-05-02,28.224,28.936,28.442,53000
2011-05-03,28.093,28.5,28.456,38000
2011-05-04,27.367,29.408,27.367,83600
2011-05-05,25.908,27.955,26.031,62300
2011-05-06,25.806,26.844,26.089,31000
2011-05-09,25.45,26.235,25.625,30000
2011-05-10,25.574,26.075,26.06,62900
2011-05-11,25.269,25.901,25.559,58800
2011-05-12,24.913,25.683,25.632,49200
2011-05-13,24.332,26.031,24.499,77000
2011-05-16,24.151,24.753,24.332,21000
2011-05-17,24.23,24.702,24.412,24700
2011-05-18,24.434,24.913,24.906,13600
2011-05-19,24.325,25.109,24.644,19400
2011-05-20,24.23,24.666,24.296,32200
2011-05-23,23.926,24.644,24.485,26200
2011-05-24,23.889,24.659,23.889,27000
2011-05-25,23.882,24.673,24.652,24300
2011-05-26,24.296,24.978,24.811,31300
2011-05-27,24.761,25.254,25.058,21600
2011-05-31,24.811,25.966,24.942,118300
2011-06-01,23.679,25.305,23.817,55000
2011-06-02,23.758,24.194,24.122,21400
2011-06-03,23.737,24.608,23.962,40000
2011-06-06,23.461,24.027,23.722,35900
2011-06-07,23.468,24.063,23.468,27300
2011-06-08,23.243,23.584,23.352,45700
2011-06-09,23.345,23.599,23.417,16400
2011-06-10,23.366,24.339,23.584,34900
2011-06-13,23.25,23.969,23.715,35900
2011-06-14,23.65,24.492,24.281,50800
2011-06-15,23.41,23.984,23.918,36500
2011-06-16,23.78,24.615,24.209,17500
2011-06-17,24.042,24.564,24.354,49900
2011-06-20,24.1,24.637,24.405,20100
2011-06-21,23.933,24.695,24.201,106700
2011-06-22,24.129,24.448,24.201,35500
2011-06-23,23.889,24.731,24.427,18400
2011-06-24,24.427,24.942,24.92,67300
2011-06-27,25.298,25.654,25.501,33400
2011-06-28,24.993,25.567,25.501,27900
2011-06-29,25.276,25.574,25.53,71400
2011-06-30,25.552,26.598,26.503,20000
2011-07-01,26.503,27.128,27.004,30800
2011-07-05,26.786,27.12,26.946,79500
2011-07-06,26.895,27.229,27.091,28100
2011-07-07,27.106,27.665,27.629,19300
2011-07-08,27.52,27.926,27.817,34800
2011-07-11,27.28,27.709,27.607,27400
2011-07-12,27.215,27.847,27.723,21600
2011-07-13,27.65,28.369,28.086,25200
2011-07-14,27.774,28.304,27.847,21000
