,Low,High,Close,Volume
2010-12-09,32.53,33.843,32.767,165000
2010-12-10,32.564,33.055,32.767,212400
2010-12-13,32.852,33.708,32.979,140300
2010-12-14,32.411,33.572,32.657,111600
2010-12-15,31.835,32.767,32.216,131200
2010-12-16,31.436,32.513,32.428,86400
2010-12-17,31.801,32.911,32.072,980100
2010-12-20,31.657,32.191,31.775,128400
2010-12-21,31.08,31.996,31.648,197600
2010-12-22,31.284,31.792,31.351,73100
2010-12-23,31.165,32.191,31.911,76900
2010-12-27,31.877,32.284,32.25,59100
2010-12-28,32.148,32.538,32.275,26200
2010-12-29,32.123,32.606,32.174,42100
2010-12-30,32.004,32.572,32.394,26900
2010-12-31,32.216,32.631,32.233,56300
2011-01-03,32.292,32.826,32.394,49500
2011-01-04,31.335,32.597,31.614,115000
2011-01-05,31.385,32.267,32.191,90500
2011-01-06,31.58,32.335,31.852,98600
2011-01-07,32.148,33.572,32.606,181100
2011-01-10,32.114,32.733,32.521,147600
2011-01-11,32.708,33.843,33.843,190300
2011-01-12,33.097,33.826,33.318,120100
2011-01-13,33.225,33.86,33.674,72700
2011-01-14,33.648,34.148,34.115,132800
2011-01-18,33.903,34.352,34.242,105000
2011-01-19,33.411,34.343,33.564,129800
2011-01-20,33.25,33.826,33.53,99500
2011-01-21,33.326,33.801,33.462,94000
2011-01-24,33.284,33.606,33.318,87100
2011-01-25,32.386,33.14,32.555,117700
2011-01-26,32.504,33.377,33.055,117500
2011-01-27,32.352,33.165,32.402,84500
2011-01-28,31.106,32.394,31.19,121600
2011-01-31,30.792,31.487,30.928,153700
2011-02-01,30.597,31.368,31.021,115200
2011-02-02,29.885,31.182,30.097,170000
2011-02-03,29.775,30.47,30.224,101100
2011-02-04,30.063,31.046,30.962,97200
2011-02-07,31.097,32.021,31.97,103900
2011-02-08,31.674,32.055,32.055,82800
2011-02-09,31.911,32.326,32.326,69300
2011-02-10,32.063,32.733,32.191,67200
2011-02-11,31.994,32.609,32.191,78300
2011-02-14,31.857,32.823,31.857,36800
2011-02-15,31.798,32.302,31.9,73300
2011-02-16,31.968,32.908,32.789,102100
2011-02-17,32.455,33.207,33.019,140400
2011-02-18,32.131,33.139,32.25,72900
2011-02-22,30.969,32.045,31.106,74700
2011-02-23,29.269,31.106,29.722,167500
2011-02-24,29.072,30.405,30.32,105400
2011-02-25,30.251,30.653,30.576,63300
2011-02-28,30.191,30.832,30.405,47100
2011-03-01,29.833,30.567,29.978,72500
2011-03-02,29.687,30.157,29.816,64400
2011-03-03,29.764,30.414,29.892,81500
2011-03-04,29.747,30.132,29.961,53100
2011-03-07,29.491,30.32,29.593,144000
2011-03-08,29.551,30.268,29.952,150900
