,Low,High,Close,Volume
2010-12-09,16.669,17.146,16.83,1830300
2010-12-10,16.676,16.922,16.815,2312500
2010-12-13,16.876,17.154,17.023,3096100
2010-12-14,16.576,17.401,16.63,3074100
2010-12-15,16.298,16.876,16.321,3584300
2010-12-16,16.213,16.537,16.522,2316800
2010-12-17,16.329,16.745,16.468,2535000
2010-12-20,16.206,16.599,16.483,2001800
2010-12-21,16.522,16.915,16.722,2240100
2010-12-22,16.576,16.938,16.653,1523300
2010-12-23,16.553,16.938,16.807,1342400
2010-12-27,16.514,16.784,16.699,778200
2010-12-28,16.445,16.745,16.622,1028400
2010-12-29,16.529,16.969,16.846,908100
2010-12-30,16.661,16.9,16.715,891300
2010-12-31,16.514,16.799,16.614,1640900
2011-01-03,16.645,16.9,16.761,2030000
2011-01-04,16.075,16.768,16.152,4246500
2011-01-05,15.589,16.175,16.021,7119100
2011-01-06,15.35,16.19,15.612,5888000
2011-01-07,15.142,15.705,15.412,5349700
2011-01-10,15.111,15.697,15.558,4312100
2011-01-11,15.581,16.09,15.843,2765100
2011-01-12,15.658,15.998,15.735,1782400
2011-01-13,15.404,15.805,15.535,2774300
2011-01-14,15.427,15.812,15.812,1864600
2011-01-18,15.751,16.26,16.26,2987500
2011-01-19,15.658,16.414,15.797,3637200
2011-01-20,15.419,16.005,15.843,3602900
2011-01-21,15.759,16.352,15.982,3240300
2011-01-24,15.458,16.028,15.728,3587000
2011-01-25,15.481,16.005,15.998,4297100
2011-01-26,15.99,16.63,16.452,3366400
2011-01-27,16.368,17.362,17.262,5211000
2011-01-28,17.27,17.917,17.563,5987700
2011-01-31,17.478,18.025,17.994,3760200
2011-02-01,18.01,18.318,18.195,3235400
2011-02-02,18.071,18.758,18.642,4716700
2011-02-03,18.048,19.467,19.382,6975200
2011-02-04,18.842,19.868,19.521,6714000
2011-02-07,19.652,20.515,20.114,5069800
2011-02-08,19.413,20.13,19.683,4095200
2011-02-09,19.336,20.13,19.798,5384800
2011-02-10,19.559,19.968,19.737,2682000
2011-02-11,19.575,20.007,19.875,2998600
2011-02-14,19.721,20.192,19.814,4208100
2011-02-15,19.374,19.868,19.529,4280900
2011-02-16,19.559,19.983,19.752,4601100
2011-02-17,19.729,20.184,20.061,3404100
2011-02-18,19.852,20.346,20.138,4668300
2011-02-22,20.184,20.831,20.353,4069000
2011-02-23,20.33,20.986,20.785,4002600
2011-02-24,20.284,20.978,20.438,2640200
2011-02-25,20.554,21.271,21.271,2171000
2011-02-28,20.801,21.525,21.078,2978900
2011-03-01,20.323,21.279,20.492,4834400
2011-03-02,20.315,20.885,20.685,2695800
2011-03-03,20.6,21.348,21.217,2424100
2011-03-04,20.731,21.256,21.171,2271200
2011-03-07,20.855,21.548,21.086,2865900
2011-03-08,20.654,21.217,21.047,2281700
2011-03-09,20.693,21.186,20.747,1638500
2011-03-10,19.868,20.431,20.084,1978200
2011-03-11,19.759,20.987,20.825,1867000
2011-03-14,20.431,20.941,20.848,2191700
2011-03-15,19.937,20.74,20.578,2790600
2011-03-16,19.945,20.779,20.2,2440500
2011-03-17,20.339,21.343,21.235,2362800
2011-03-18,20.671,21.737,20.733,2919700
2011-03-21,21.049,21.559,21.536,2427800
2011-03-22,21.057,21.636,21.265,2252200
2011-03-23,20.833,21.366,21.142,1544200
2011-03-24,20.779,21.265,21.196,1757700
2011-03-25,21.134,21.992,21.891,3543400
2011-03-28,21.652,22.084,21.752,2310800
2011-03-29,21.289,21.976,21.783,2103500
2011-03-30,21.922,22.563,22.331,3157900
2011-03-31,22.208,22.779,22.702,3171700
2011-04-01,22.146,23.158,22.362,3501400
2011-04-04,22.2,22.478,22.362,2060800
2011-04-05,22.154,22.463,22.37,1821400
2011-04-06,21.598,22.54,21.829,1755200
2011-04-07,21.497,22.053,21.644,2262000
2011-04-08,22.262,22.919,22.579,3108100
2011-04-11,22.015,22.764,22.162,2340900
2011-04-12,20.879,21.938,21.181,2465000
2011-04-13,20.957,21.744,21.659,3581900
2011-04-14,21.482,22.563,22.471,3376800
2011-04-15,22.471,23.39,23.042,4994200
2011-04-18,22.509,23.158,22.888,3548800
2011-04-19,22.803,23.328,23.312,2834600
2011-04-20,23.251,23.737,23.614,2721700
2011-04-21,23.583,24.185,23.83,3708300
2011-04-25,23.274,23.946,23.822,2788400
2011-04-26,23.83,24.239,24.1,2200000
2011-04-27,23.258,24.162,23.869,3401000
2011-04-28,23.359,24.363,23.923,4300000
2011-04-29,23.954,24.556,24.039,3842000
2011-05-02,22.849,24.077,23.034,4789400
2011-05-03,22.246,23.189,22.555,3800000
2011-05-04,21.814,22.633,21.953,3047200
2011-05-05,21.343,22.061,21.659,4700000
2011-05-06,21.644,22.478,21.791,3119500
2011-05-09,22.169,22.617,22.347,2836200
2011-05-10,22.069,22.895,22.671,2745000
2011-05-11,21.528,22.586,21.598,2700000
