,Low,High,Close,Volume
2015-07-06,35.917,39.658,36.625,5866600
2015-07-07,35.917,37.723,36.536,7359000
2015-07-08,34.45,36.276,34.62,5387700
2015-07-09,33.912,35.438,34.42,3760100
2015-07-10,33.902,35.109,34.61,4472800
2015-07-13,35.418,37.414,36.695,7626000
2015-07-14,36.516,37.653,36.845,4653300
2015-07-15,36.945,38.112,37.423,13072800
2015-07-16,37.992,39.878,38.541,21348500
2015-07-17,38.092,40.107,38.301,45720200
2015-07-20,39.708,42.452,40.377,52286500
2015-07-21,39.03,41.015,39.259,32954600
2015-07-22,38.012,39.628,38.301,25363900
2015-07-23,36.845,38.661,36.925,19250200
2015-07-24,36.825,37.912,36.915,14274300
2015-07-27,36.136,37.294,36.306,16179900
2015-07-28,36.745,37.912,37.513,18986000
2015-07-29,37.533,38.012,37.862,11788400
2015-07-30,37.628,38.92,38.361,13845100
2015-07-31,38.132,39.11,38.611,12480600
2015-08-03,38.81,39.788,39.299,15126600
2015-08-04,38.341,39.818,38.86,10992200
2015-08-05,39.08,39.788,39.179,9463100
2015-08-06,38.461,39.648,38.76,7324100
2015-08-07,38.511,39.14,39.04,8331300
2015-08-10,38.681,39.598,38.96,7998900
2015-08-11,38.631,39.189,38.76,8184000
2015-08-12,36.925,38.491,38.102,21350600
2015-08-13,37.354,38.401,37.533,7863500
2015-08-14,37.294,38.092,38.052,6271100
2015-08-17,37.613,38.661,38.641,4931700
2015-08-18,37.783,38.91,37.902,4678800
2015-08-19,36.945,38.012,37.104,6923400
2015-08-20,35.797,37.254,35.897,10645700
2015-08-21,33.752,36.027,34.171,16824100
2015-08-24,29.931,34.77,33.672,19676600
2015-08-25,32.625,35.378,32.625,15557100
2015-08-26,31.637,33.762,33.093,25350400
2015-08-27,33.084,34.69,34.54,18909600
2015-08-28,34.291,35.179,34.959,8344800
2015-08-31,34.69,35.428,34.919,12123800
2015-09-01,33.333,34.6,33.692,13376000
2015-09-02,33.757,34.999,34.989,7521000
2015-09-03,34.69,35.378,35.229,6683800
2015-09-04,33.702,34.64,34.211,7483100
2015-09-08,34.171,34.81,34.62,7674500
2015-09-09,33.802,34.869,34.291,10946900
2015-09-10,32.874,34.211,33.383,12134500
2015-09-11,32.535,33.513,33.473,9184200
2015-09-14,33.123,33.872,33.692,7897700
2015-09-15,32.595,33.872,33.722,11874900
2015-09-16,33.283,33.981,33.692,7183900
2015-09-17,33.004,33.912,33.243,7846800
2015-09-18,32.475,33.702,32.844,16488100
2015-09-21,33.353,34.54,34.171,12736500
2015-09-22,33.113,34.021,33.273,8538000
2015-09-23,33.183,34.261,34.081,5405500
2015-09-24,33.303,33.991,33.832,6544500
2015-09-25,33.423,34.61,33.692,6566800
2015-09-28,32.081,33.602,32.176,7407300
2015-09-29,30.23,32.595,30.559,12008100
2015-09-30,30.569,31.208,30.968,13672000
2015-10-01,30.679,31.514,31.407,9657000
2015-10-02,30.679,32.784,32.754,7609800
2015-10-05,32.305,32.944,32.595,6119100
2015-10-06,31.707,32.834,31.787,7409800
2015-10-07,31.447,32.396,32.305,6969600
2015-10-08,31.018,32.375,31.597,9281500
2015-10-09,31.338,32.375,31.986,5911400
2015-10-12,32.026,32.595,32.555,3915500
2015-10-13,32.265,33.403,33.143,8787700
2015-10-14,33.323,34.381,33.971,8198300
2015-10-15,34.081,34.64,34.54,9103200
2015-10-16,33.872,34.969,34.211,5390700
2015-10-19,33.712,34.824,34.76,5855700
2015-10-20,34.51,34.909,34.79,6084200
2015-10-21,32.804,34.72,33.752,9054500
2015-10-22,34.181,35.169,34.71,8735500
2015-10-23,34.72,35.668,34.909,8909100
2015-10-26,35.433,36.506,36.356,11554600
2015-10-27,35.229,36.31,35.857,8502400
2015-10-28,35.727,36.565,36.436,11634300
2015-10-29,34.42,36.416,35.827,25137300
2015-10-30,35.159,36.406,35.927,13409200
2015-11-02,35.368,37.324,36.905,11254900
2015-11-03,36.915,38.351,37.813,12025200
2015-11-04,37.244,38.431,37.513,12226800
2015-11-05,36.575,37.892,36.625,9068900
2015-11-06,35.717,36.615,36.156,10256800
2015-11-09,35.568,36.655,36.516,11571500
2015-11-10,36.416,37.114,36.915,36384400
2015-11-11,35.668,37.234,36.246,12762500
2015-11-12,34.75,35.967,35.488,11835900
2015-11-13,34.42,35.418,34.45,7364400
2015-11-16,34.45,35.578,35.528,6734500
2015-11-17,35.628,36.366,36.126,7344900
2015-11-18,35.702,36.865,36.136,8323100
2015-11-19,35.827,36.416,36.107,5041300
2015-11-20,35.837,36.366,36.276,4543400
2015-11-23,35.328,36.565,35.478,6961000
2015-11-24,34.8,35.219,35.039,8390100
2015-11-25,35.049,35.777,35.278,3881800
2015-11-27,34.979,35.618,35.099,2549400
2015-11-30,34.61,35.358,35.179,9357300
2015-12-01,33.772,35.328,35.089,14893900
2015-12-02,34.849,36.087,35.069,5762400
2015-12-03,33.772,35.149,34.151,7311900
2015-12-04,34.141,35.737,35.538,10664300
2015-12-07,34.77,35.717,35.079,4918000
2015-12-08,34.44,35.618,35.518,7420800
2015-12-09,34.75,35.518,34.989,7381700
2015-12-10,35.079,35.827,35.408,6949700
2015-12-11,34.341,35.245,34.61,8309200
2015-12-14,34.251,35.142,34.929,5784400
2015-12-15,35.099,36.426,36.236,11709900
2015-12-16,35.109,36.166,35.897,7076300
2015-12-17,35.428,36.496,35.458,6454100
2015-12-18,34.65,35.678,34.899,13745900
2015-12-21,35.029,36.067,35.997,5856000
2015-12-22,35.697,36.805,36.72,6030900
2015-12-23,36.685,37.593,37.024,7579500
2015-12-24,36.735,37.144,36.985,2133400
2015-12-28,36.166,36.915,36.526,4930100
2015-12-29,36.665,37.364,36.994,3436600
2015-12-30,36.376,37.164,36.396,4106700
2015-12-31,35.968,36.416,36.117,4481900
2016-01-04,34.201,35.478,34.67,12287700
2016-01-05,33.782,34.899,34.231,11227700
2016-01-06,33.133,33.932,33.902,8441300
2016-01-07,32.944,34.082,33.054,11041100
2016-01-08,32.555,33.802,32.615,7848800
2016-01-11,32.395,33.353,32.964,8937400
2016-01-12,32.585,33.493,33.004,7854000
2016-01-13,31.896,33.493,32.046,8069400
2016-01-14,31.632,32.964,32.794,7749500
