,Low,High,Close,Volume
2018-12-14,13.469,14.309,13.469,597900
2018-12-17,13.224,13.845,13.461,199000
2018-12-18,13.281,13.534,13.469,143200
2018-12-19,13.306,13.477,13.306,85500
2018-12-20,12.971,13.428,13.412,158700
2018-12-21,12.645,13.469,13.339,43300
2018-12-24,12.262,13.037,12.367,32600
2018-12-26,12.449,12.612,12.457,8100
2018-12-27,12.245,13.02,12.261,6400
2018-12-28,12.29,12.849,12.849,10700
2018-12-31,12.299,12.792,12.659,11900
2019-01-02,11.698,12.653,12.065,36000
2019-01-03,11.853,12.734,11.894,21000
2019-01-04,11.028,12.163,11.428,30400
2019-01-07,10.863,11.551,11.254,7000
2019-01-08,10.637,11.592,10.759,59200
2019-01-09,9.798,10.767,9.894,67100
2019-01-10,8.988,9.951,9.2,49700
2019-01-11,8.718,9.551,9.045,61100
2019-01-14,8.086,9.02,8.204,84700
2019-01-15,8.408,10.713,10.041,220400
2019-01-16,9.847,11.371,11.02,168200
2019-01-17,10.196,12.081,10.286,162900
2019-01-18,9.877,11.02,10.89,66900
2019-01-22,9.65,10.906,9.959,142500
2019-01-23,9.853,11.086,10.31,37500
2019-01-24,9.902,11.02,11.02,71400
2019-01-25,10.263,10.881,10.318,70600
2019-01-28,9.951,10.571,10.09,45800
2019-01-29,9.967,10.335,10.253,43200
2019-01-30,9.918,10.351,10.294,30200
2019-01-31,10.108,10.408,10.367,38700
2019-02-01,10.206,10.406,10.253,3100
2019-02-04,10.286,10.815,10.612,19300
2019-02-05,10.514,10.898,10.898,14300
2019-02-06,10.171,11.02,10.612,33500
2019-02-07,10.122,10.592,10.13,11100
2019-02-08,10.181,10.686,10.594,20200
2019-02-11,10.22,10.419,10.232,8500
2019-02-12,10.212,10.552,10.351,4500
2019-02-13,10.245,10.514,10.408,59900
2019-02-14,10.253,10.457,10.286,26200
2019-02-15,10.204,10.571,10.408,59800
2019-02-19,10.612,10.841,10.841,60500
2019-02-20,10.832,11.934,11.852,101000
2019-02-21,11.559,12.121,11.845,28300
2019-02-22,11.888,13.305,13.159,112000
2019-02-25,13.436,15.007,13.796,165600
2019-02-26,12.899,13.628,13.363,62800
2019-02-27,13.208,13.861,13.583,33900
2019-02-28,13.327,14.285,13.739,52800
2019-03-01,13.469,14.216,13.82,33000
2019-03-04,13.763,14.317,14.008,56100
2019-03-05,14.13,15.02,14.253,43100
2019-03-06,13.763,14.653,13.869,92100
2019-03-07,12.61,14.4,12.865,53500
2019-03-08,11.592,12.547,11.845,77200
2019-03-11,12.07,12.832,12.318,34000
2019-03-12,12.421,12.792,12.49,15900
2019-03-13,11.828,12.653,11.828,50800
2019-03-14,10.359,12.163,10.449,106100
2019-03-15,10.792,12.0,11.918,103800
2019-03-18,11.918,13.551,13.477,95400
2019-03-19,13.306,14.081,14.081,122000
2019-03-20,12.594,14.547,13.412,178400
2019-03-21,13.246,14.147,13.869,102400
2019-03-22,13.17,13.861,13.673,65300
2019-03-25,12.963,13.6,13.143,53500
2019-03-26,12.857,13.545,13.045,38000
2019-03-27,12.31,12.979,12.653,33600
2019-03-28,12.237,12.597,12.245,29800
2019-03-29,12.465,13.061,12.53,58900
2019-04-01,12.841,13.325,13.02,41600
2019-04-02,12.661,13.077,12.734,28100
2019-04-03,12.351,13.072,12.506,55700
2019-04-04,12.334,13.163,12.653,45000
2019-04-05,12.8,13.077,12.979,24600
2019-04-08,13.11,13.885,13.853,92300
2019-04-09,13.077,14.122,14.098,60600
2019-04-10,13.819,14.269,13.959,49300
2019-04-11,13.6,14.204,14.081,58800
2019-04-12,13.796,14.367,13.902,32600
2019-04-15,13.894,14.212,14.041,40900
2019-04-16,14.155,18.692,18.522,427600
2019-04-17,16.571,18.408,16.898,181900
2019-04-18,16.865,19.959,19.673,292900
2019-04-22,17.6,18.938,18.62,130200
2019-04-23,16.873,18.53,17.208,69600
2019-04-24,16.906,17.8,17.004,37200
2019-04-25,16.367,17.541,16.93,40300
2019-04-26,15.632,17.061,16.0,86700
2019-04-29,15.635,17.333,16.343,159100
2019-04-30,16.118,16.734,16.22,61200
2019-05-01,16.032,16.432,16.147,28800
2019-05-02,15.918,16.571,16.294,36300
2019-05-03,16.514,18.236,18.106,260600
2019-05-06,16.326,17.934,17.33,108200
2019-05-07,17.069,17.714,17.526,42600
2019-05-08,17.061,18.069,17.461,42500
2019-05-09,15.967,17.265,16.93,156800
2019-05-10,16.563,17.796,16.685,59300
2019-05-13,16.179,16.857,16.816,122100
2019-05-14,15.02,17.205,16.163,239300
2019-05-15,15.624,16.343,16.285,83600
2019-05-16,15.102,16.228,15.363,115600
2019-05-17,12.677,15.51,13.29,144500
2019-05-20,13.273,13.918,13.412,76000
2019-05-21,14.147,15.412,14.343,191100
2019-05-22,14.204,15.363,14.416,140300
2019-05-23,13.159,14.37,13.388,141000
2019-05-24,13.281,13.673,13.281,37300
2019-05-28,13.069,14.078,13.281,119000
2019-05-29,12.816,13.396,12.824,84700
2019-05-30,12.824,13.706,13.469,163600
2019-05-31,12.89,13.379,13.118,91400
2019-06-03,11.992,13.469,12.155,198400
2019-06-04,11.983,12.898,12.734,151800
2019-06-05,11.6,12.955,11.796,186300
2019-06-06,11.208,12.164,11.543,152200
2019-06-07,10.849,12.098,11.086,116400
2019-06-10,11.118,12.065,11.837,184800
2019-06-11,11.265,12.521,11.543,194900
2019-06-12,11.183,11.739,11.739,91600
2019-06-13,11.396,12.065,11.861,103600
2019-06-14,11.445,12.653,11.714,229700
2019-06-17,11.094,12.073,11.159,108200
2019-06-18,11.2,11.624,11.412,99400
2019-06-19,11.02,11.796,11.314,65300
2019-06-20,11.485,11.877,11.592,64400
2019-06-21,11.069,11.51,11.257,81200
2019-06-24,8.326,10.775,8.808,2204300
2019-06-25,8.081,8.784,8.735,1891500
2019-06-26,8.547,9.502,9.028,934300
2019-06-27,8.155,9.992,9.714,5559400
2019-06-28,9.077,9.714,9.592,1342800
2019-07-01,9.224,9.837,9.404,1101500
2019-07-02,9.179,9.673,9.559,316500
2019-07-03,9.355,9.637,9.469,354200
2019-07-05,9.224,9.588,9.339,298500
2019-07-08,9.045,9.42,9.404,354700
2019-07-09,9.249,9.404,9.306,348700
2019-07-10,9.143,9.339,9.175,322300
2019-07-11,9.151,9.363,9.232,461200
2019-07-12,9.02,9.306,9.192,301900
2019-07-15,8.857,9.273,8.939,254300
2019-07-16,8.849,9.224,9.118,857500
2019-07-17,8.939,9.184,9.102,1018700
2019-07-18,9.028,9.551,9.42,905800
2019-07-19,8.988,9.584,9.151,2449800
2019-07-22,8.873,9.388,8.89,1026300
2019-07-23,8.906,9.306,9.281,476000
2019-07-24,9.175,9.347,9.322,362000
2019-07-25,8.849,9.355,8.922,498800
2019-07-26,8.816,9.118,8.849,295600
2019-07-29,8.784,9.02,8.857,271600
2019-07-30,8.757,8.947,8.832,352700
2019-07-31,8.588,9.004,8.767,340600
2019-08-01,8.628,8.873,8.824,323000
2019-08-02,8.416,8.784,8.571,231200
2019-08-05,8.163,8.408,8.196,245200
2019-08-06,8.163,8.367,8.302,124600
2019-08-07,8.171,8.351,8.343,68900
2019-08-08,8.245,8.481,8.408,113400
2019-08-09,8.367,8.539,8.392,90500
2019-08-12,7.918,8.367,7.959,295600
2019-08-13,7.877,8.326,8.163,113800
2019-08-14,7.771,8.139,8.057,247600
2019-08-15,7.788,8.49,8.163,126900
2019-08-16,8.179,8.645,8.555,172000
2019-08-19,8.326,8.718,8.4,202800
2019-08-20,8.296,8.555,8.302,95100
2019-08-21,8.359,8.858,8.694,222200
2019-08-22,8.555,8.816,8.653,312800
2019-08-23,8.049,8.653,8.155,318500
2019-08-26,8.0,8.31,8.171,277800
2019-08-27,8.008,8.237,8.033,286000
2019-08-28,7.33,7.84,7.706,512100
2019-08-29,7.363,7.763,7.575,542500
2019-08-30,7.477,8.155,8.13,331500
2019-09-03,7.796,8.269,8.008,220100
2019-09-04,7.796,8.139,7.861,135700
2019-09-05,7.894,8.596,8.547,232400
2019-09-06,8.0,8.53,8.081,348900
2019-09-09,8.024,8.335,8.155,774200
2019-09-10,7.943,8.245,8.106,1180100
2019-09-11,8.041,8.326,8.155,300100
2019-09-12,7.796,8.155,7.837,99900
2019-09-13,7.788,7.959,7.853,80700
2019-09-16,7.763,7.935,7.837,89400
2019-09-17,7.796,8.067,7.869,151300
2019-09-18,7.722,8.0,7.755,187800
