,Low,High,Close,Volume
2010-12-09,14.147,14.472,14.381,21900
2010-12-10,13.892,14.518,14.518,22100
2010-12-13,14.316,14.87,14.837,26500
2010-12-14,14.635,15.046,14.987,31200
2010-12-15,14.95,15.396,15.002,19900
2010-12-16,14.74,15.573,15.514,35200
2010-12-17,15.14,15.625,15.566,46200
2010-12-20,15.304,15.73,15.546,24900
2010-12-21,14.504,15.828,15.822,47100
2010-12-22,15.54,16.045,15.651,14100
2010-12-23,15.442,15.789,15.52,17000
2010-12-27,15.028,15.789,15.717,29100
2010-12-28,15.54,16.196,15.828,65600
2010-12-29,15.71,16.032,15.979,42200
2010-12-30,15.658,15.933,15.802,68100
2010-12-31,15.573,15.809,15.573,17200
2011-01-03,15.632,15.946,15.645,37600
2011-01-04,14.969,15.75,15.048,35300
2011-01-05,14.884,15.074,14.996,27900
2011-01-06,14.596,14.963,14.753,30300
2011-01-07,14.347,14.746,14.425,44700
2011-01-10,14.15,14.484,14.386,20700
2011-01-11,14.261,14.419,14.353,17300
2011-01-12,13.94,14.347,14.006,58500
2011-01-13,13.966,14.137,14.025,22500
2011-01-14,14.006,14.281,14.196,27500
2011-01-18,13.966,14.261,14.176,29400
2011-01-19,13.317,14.176,13.396,49000
2011-01-20,13.376,13.75,13.625,26800
2011-01-21,13.514,13.77,13.514,26600
2011-01-24,13.284,13.481,13.383,31900
2011-01-25,13.212,13.337,13.271,58800
2011-01-26,13.212,13.442,13.435,59900
2011-01-27,13.291,13.501,13.389,29300
2011-01-28,11.914,13.324,12.196,201900
2011-01-31,12.13,12.55,12.517,169400
2011-02-01,12.57,13.166,13.015,55000
2011-02-02,12.766,13.048,12.904,17500
2011-02-03,12.261,12.93,12.268,45000
2011-02-04,12.196,12.622,12.432,51000
2011-02-07,12.419,12.97,12.878,58500
2011-02-08,12.648,12.956,12.956,32500
2011-02-09,12.773,13.061,13.042,47200
2011-02-10,12.688,13.002,12.714,40300
2011-02-11,11.547,12.17,11.802,152400
2011-02-14,11.652,11.927,11.743,43400
2011-02-15,11.475,11.802,11.58,43400
2011-02-16,11.37,11.625,11.494,64600
2011-02-17,11.383,11.488,11.448,35500
2011-02-18,11.186,11.507,11.252,77400
2011-02-22,11.022,11.199,11.062,133800
2011-02-23,11.088,11.271,11.147,105100
2011-02-24,11.042,11.324,11.199,121800
2011-02-25,11.232,11.35,11.284,35000
2011-02-28,11.147,11.481,11.239,26500
2011-03-01,11.507,12.13,11.612,112300
2011-03-02,11.507,11.77,11.698,36900
2011-03-03,11.704,11.966,11.842,30400
2011-03-04,11.56,11.842,11.704,81500
2011-03-07,11.606,11.809,11.678,41300
2011-03-08,11.678,11.947,11.881,38400
2011-03-09,11.737,11.914,11.816,29100
2011-03-10,11.658,11.848,11.796,75500
2011-03-11,11.737,11.953,11.868,31700
2011-03-14,11.77,12.065,12.058,22700
2011-03-15,11.776,12.038,11.999,22900
2011-03-16,11.895,12.206,12.067,28400
2011-03-17,11.981,12.285,12.239,32500
2011-03-18,12.279,12.946,12.854,77000
2011-03-21,12.768,12.966,12.821,31100
2011-03-22,12.206,12.84,12.219,38400
2011-03-23,12.219,12.721,12.688,35000
2011-03-24,12.589,12.933,12.721,25800
2011-03-25,12.735,12.966,12.933,26100
2011-03-28,12.721,13.006,12.721,24800
2011-03-29,12.576,12.721,12.662,24300
2011-03-30,12.662,12.953,12.946,16500
2011-03-31,12.755,12.979,12.873,24400
2011-04-01,12.821,13.21,13.21,33200
2011-04-04,13.111,13.62,13.548,44600
2011-04-05,13.548,14.334,14.222,37500
2011-04-06,13.924,14.493,14.116,30100
2011-04-07,13.733,14.268,13.805,23400
2011-04-08,13.442,13.957,13.442,19200
2011-04-11,13.032,13.462,13.078,18700
2011-04-12,12.86,13.151,13.032,19600
2011-04-13,12.741,13.184,12.741,31600
2011-04-14,12.503,12.88,12.84,65800
2011-04-15,12.827,13.296,13.025,43700
2011-04-18,12.801,13.171,12.893,42700
2011-04-19,12.583,12.959,12.781,21400
2011-04-20,12.431,12.781,12.589,15500
2011-04-21,12.821,13.362,13.244,41600
2011-04-25,12.662,13.217,13.217,47600
2011-04-26,12.629,14.01,13.977,82300
2011-04-27,13.944,14.308,14.063,70000
2011-04-28,14.169,14.466,14.466,42000
2011-04-29,14.354,14.473,14.393,26000
2011-05-02,14.228,14.757,14.327,37000
2011-05-03,14.308,14.506,14.374,18000
2011-05-04,14.334,14.539,14.374,24000
2011-05-05,13.171,14.228,13.27,78300
2011-05-06,12.926,13.594,13.019,37000
2011-05-09,13.025,13.422,13.336,32000
2011-05-10,13.151,13.706,13.647,33300
2011-05-11,13.29,13.752,13.329,22300
2011-05-12,13.29,14.043,13.845,28000
2011-05-13,13.092,13.871,13.171,19000
2011-05-16,13.131,13.594,13.323,35900
2011-05-17,13.217,13.495,13.217,17400
2011-05-18,13.323,13.614,13.521,55100
2011-05-19,13.343,13.818,13.468,27300
2011-05-20,13.171,13.336,13.23,41600
2011-05-23,13.171,13.508,13.177,48900
2011-05-24,12.946,13.415,12.966,79600
2011-05-25,12.92,13.105,13.006,21400
2011-05-26,12.966,13.211,13.118,21600
2011-05-27,13.065,13.382,13.151,30000
2011-05-31,13.151,13.653,13.521,145100
2011-06-01,13.224,13.739,13.316,134000
2011-06-02,13.085,13.396,13.191,45600
2011-06-03,12.992,13.217,12.999,29000
2011-06-06,13.052,13.554,13.171,48600
2011-06-07,13.158,13.514,13.296,82100
2011-06-08,13.158,13.633,13.177,33400
2011-06-09,13.158,13.514,13.184,65700
2011-06-10,12.365,13.184,12.523,75000
2011-06-13,12.371,12.834,12.649,92700
2011-06-14,12.755,13.336,12.88,60300
2011-06-15,12.75,13.003,12.896,47800
2011-06-16,12.816,13.056,12.836,44600
2011-06-17,12.69,13.156,12.716,84400
2011-06-20,12.65,13.083,12.963,60000
2011-06-21,12.909,13.202,13.109,30900
2011-06-22,12.69,13.169,12.696,21700
2011-06-23,12.496,12.889,12.776,47100
2011-06-24,12.603,12.943,12.643,70700
2011-06-27,12.61,12.876,12.823,33400
2011-06-28,12.67,13.302,13.289,34400
2011-06-29,13.196,13.482,13.436,22900
2011-06-30,13.222,13.629,13.256,55000
2011-07-01,13.136,13.575,13.469,36600
2011-07-05,13.276,13.429,13.329,28900
2011-07-06,13.362,13.922,13.922,41200
2011-07-07,13.869,14.468,14.448,29400
2011-07-08,14.175,14.328,14.208,15300
2011-07-11,13.809,14.528,13.855,36100
2011-07-12,13.482,13.988,13.489,39800
2011-07-13,13.389,13.849,13.462,27800
2011-07-14,13.336,13.655,13.496,27200
2011-07-15,12.996,14.188,14.108,44500
2011-07-18,13.476,14.248,13.502,30800
2011-07-19,13.682,14.262,14.262,21500
2011-07-20,13.882,14.322,13.942,23000
2011-07-21,13.442,14.308,14.275,15700
2011-07-22,13.289,14.315,13.369,47200
2011-07-25,12.989,13.655,13.389,30300
2011-07-26,13.156,13.536,13.163,25600
2011-07-27,12.19,13.189,12.257,76900
2011-07-28,11.944,12.61,12.363,50500
2011-07-29,12.057,12.53,12.063,56300
2011-08-01,12.017,12.49,12.243,68700
2011-08-02,11.744,12.323,11.83,60400
2011-08-03,11.93,12.29,12.09,35500
2011-08-04,11.73,12.363,11.824,73100
2011-08-05,11.411,11.963,11.517,77600
