,Low,High,Close,Volume
2023-08-21,18.924,21.142,21.142,1300
2023-08-22,19.416,20.659,20.659,1600
2023-08-23,20.408,20.78,20.78,8000
2023-08-24,20.288,20.918,20.693,5200
2023-08-25,20.495,20.926,20.866,5700
2023-08-28,20.383,21.668,21.038,10700
2023-08-29,20.572,21.435,21.392,7500
2023-08-30,20.711,21.28,21.28,14900
2023-08-31,20.59,21.461,20.59,49500
2023-09-01,20.59,21.099,21.099,2800
2023-09-05,20.516,20.516,20.516,400
2023-09-06,20.358,20.37,20.358,1600
2023-09-07,20.223,20.279,20.279,16600
2023-09-08,20.262,20.417,20.417,600
2023-09-11,20.417,20.555,20.417,7800
2023-09-12,20.417,20.417,20.417,100
2023-09-13,20.222,20.339,20.222,1200
2023-09-14,20.227,20.236,20.227,1100
2023-09-15,20.176,20.253,20.176,9600
2023-09-18,20.219,20.676,20.478,9700
2023-09-19,20.478,20.478,20.478,100
2023-09-20,20.513,20.624,20.521,12400
2023-09-21,20.21,20.452,20.27,5600
2023-09-22,20.141,20.771,20.357,5200
2023-09-25,20.184,20.365,20.184,2300
2023-09-26,20.132,20.296,20.158,6500
2023-09-27,20.132,20.296,20.158,17200
2023-09-28,20.089,20.094,20.089,2800
2023-09-29,20.322,21.461,21.142,87600
2023-10-02,20.46,21.013,20.788,19700
2023-10-03,20.49,20.728,20.547,7000
2023-10-04,20.279,20.279,20.279,300
2023-10-05,20.46,20.711,20.46,1600
2023-10-06,20.478,20.624,20.495,1200
2023-10-09,20.288,20.508,20.374,4300
2023-10-10,20.365,20.374,20.374,5400
2023-10-11,20.374,20.374,20.374,0
2023-10-12,20.439,20.598,20.598,1300
2023-10-13,20.511,20.511,20.511,100
2023-10-16,20.459,20.459,20.459,500
2023-10-17,20.538,20.792,20.538,800
2023-10-18,20.108,20.529,20.266,3200
2023-10-19,20.266,20.266,20.266,0
2023-10-20,20.099,20.371,20.099,800
2023-10-23,20.099,20.099,20.099,0
2023-10-24,20.09,20.09,20.09,700
2023-10-25,20.003,20.003,20.003,600
2023-10-26,19.862,20.24,20.112,900
2023-10-27,20.38,20.38,20.38,900
2023-10-30,19.836,20.152,19.959,2600
2023-10-31,19.915,20.231,20.231,12500
2023-11-01,20.003,20.222,20.082,5400
2023-11-02,19.95,20.389,20.389,6000
2023-11-03,20.323,20.389,20.389,7000
2023-11-06,20.305,20.389,20.354,4400
2023-11-07,20.275,20.31,20.275,1500
2023-11-08,20.112,20.415,20.415,8000
2023-11-09,20.424,20.424,20.424,800
2023-11-10,20.09,20.327,20.327,1400
2023-11-13,20.599,20.634,20.634,1000
2023-11-14,20.476,20.652,20.547,1400
2023-11-15,20.547,20.547,20.547,0
2023-11-16,20.476,20.617,20.485,1900
2023-11-17,19.871,20.371,20.125,6000
2023-11-20,19.915,20.402,20.178,1500
2023-11-21,20.064,20.88,20.09,4400
2023-11-22,19.634,20.178,19.739,5000
2023-11-24,20.073,20.292,20.204,300
2023-11-27,19.862,20.047,20.047,2300
2023-11-28,20.152,20.152,20.152,1300
2023-11-29,20.161,20.222,20.199,1600
2023-11-30,20.099,20.669,20.669,185900
2023-12-01,20.047,20.266,20.266,34500
2023-12-04,20.248,20.248,20.248,1200
2023-12-05,20.266,20.626,20.626,4900
2023-12-06,20.485,20.626,20.503,1300
2023-12-07,20.406,20.705,20.608,3400
2023-12-08,20.608,20.827,20.827,7200
2023-12-11,20.438,20.836,20.836,4800
2023-12-12,20.511,20.81,20.661,2500
2023-12-13,20.836,21.038,21.038,800
2023-12-14,21.055,21.933,21.389,2100
2023-12-15,20.924,21.055,21.055,1900
2023-12-18,21.055,21.564,21.055,1700
2023-12-19,21.003,21.424,21.266,5200
2023-12-20,20.898,20.976,20.898,800
2023-12-21,21.02,21.275,21.275,2500
2023-12-22,21.014,21.81,21.055,4900
2023-12-26,21.248,21.407,21.328,3400
2023-12-27,21.24,21.582,21.582,5800
2023-12-28,21.362,21.801,21.52,5200
2023-12-29,21.564,21.994,21.924,32000
2024-01-02,21.757,21.95,21.906,5100
2024-01-03,21.687,22.152,22.047,3600
2024-01-04,21.67,21.933,21.67,700
2024-01-05,21.67,21.722,21.722,2300
2024-01-08,21.722,21.722,21.722,0
2024-01-09,21.854,22.02,21.854,500
2024-01-10,21.838,21.95,21.942,1900
2024-01-11,21.918,22.073,22.073,3100
2024-01-12,21.584,22.297,22.163,2400
2024-01-16,21.931,22.368,22.074,7400
2024-01-17,22.012,22.101,22.056,900
2024-01-18,21.628,22.074,21.628,1400
2024-01-19,21.887,22.083,22.038,6200
2024-01-22,22.101,22.127,22.101,1200
2024-01-23,22.056,22.101,22.101,9200
2024-01-24,21.842,21.967,21.967,800
2024-01-25,22.083,22.101,22.101,4900
2024-01-26,22.101,22.101,22.101,700
2024-01-29,22.261,22.368,22.279,1800
2024-01-30,21.7,22.279,22.145,4200
2024-01-31,21.833,22.27,21.833,2100
2024-02-01,21.762,22.145,21.762,1000
2024-02-02,22.35,22.35,22.35,1300
2024-02-05,22.243,22.243,22.243,300
2024-02-06,21.833,21.833,21.833,400
2024-02-07,21.635,22.012,22.012,1000
2024-02-08,22.012,22.012,22.012,600
2024-02-09,22.234,22.234,22.234,700
2024-02-12,22.225,22.225,22.225,900
2024-02-13,22.056,22.056,22.056,700
2024-02-14,21.673,21.98,21.735,4600
2024-02-15,21.611,21.833,21.62,4000
2024-02-16,21.62,21.628,21.62,2800
2024-02-20,21.744,21.789,21.789,900
2024-02-21,21.566,21.789,21.7,2300
2024-02-22,21.7,21.7,21.7,0
2024-02-23,21.7,21.833,21.833,3700
2024-02-26,21.655,21.833,21.655,4900
2024-02-27,21.709,21.726,21.709,2800
2024-02-28,21.45,21.566,21.521,9100
2024-02-29,21.459,21.602,21.459,3600
2024-03-01,21.459,21.566,21.459,4400
2024-03-04,21.236,21.468,21.236,2300
2024-03-05,21.361,21.833,21.611,7400
2024-03-06,21.673,21.7,21.673,1100
2024-03-07,21.611,21.664,21.611,1400
2024-03-08,21.566,21.655,21.566,3100
2024-03-11,21.521,21.602,21.521,2600
2024-03-12,21.495,21.793,21.793,11400
2024-03-13,21.624,21.833,21.833,1300
2024-03-14,21.833,21.833,21.833,300
2024-03-15,21.611,21.709,21.62,2400
2024-03-18,21.611,21.655,21.628,8700
2024-03-19,21.655,21.74,21.673,2300
2024-03-20,21.611,21.94,21.611,8800
2024-03-21,21.62,21.851,21.664,2700
2024-03-22,21.611,21.709,21.655,1100
2024-03-25,21.432,21.728,21.432,10200
2024-03-26,21.12,21.521,21.174,11900
2024-03-27,21.218,21.549,21.53,21100
2024-03-28,21.548,21.548,21.548,900
2024-04-01,21.468,21.477,21.468,3700
2024-04-02,21.37,21.611,21.611,2500
2024-04-03,21.611,21.611,21.611,300
2024-04-04,21.521,21.611,21.611,900
2024-04-05,21.388,21.611,21.477,1800
2024-04-08,21.12,21.397,21.388,4100
2024-04-09,21.499,21.646,21.499,1300
2024-04-10,21.272,21.468,21.272,6000
2024-04-11,20.372,21.21,21.161,7800
2024-04-12,21.311,21.397,21.338,12000
2024-04-15,20.722,21.107,20.804,3000
2024-04-16,20.631,20.858,20.84,4500
2024-04-17,20.713,20.921,20.862,5500
2024-04-18,20.695,21.075,20.804,2500
2024-04-19,20.595,20.84,20.695,700
2024-04-22,20.396,20.776,20.767,13700
2024-04-23,20.817,21.021,21.021,1900
2024-04-24,20.813,21.012,20.876,2800
2024-04-25,20.677,20.885,20.677,1200
2024-04-26,20.631,20.876,20.858,4000
2024-04-29,20.722,20.794,20.776,3300
2024-04-30,20.196,20.776,20.396,35700
2024-05-01,20.477,20.776,20.541,7100
2024-05-02,20.578,22.027,21.202,7400
2024-05-03,20.867,21.16,20.976,1100
2024-05-06,20.885,22.054,21.094,1300
2024-05-07,21.112,22.054,21.157,4900
2024-05-08,20.668,21.343,20.804,3900
2024-05-09,20.758,20.858,20.785,4100
2024-05-10,20.477,20.749,20.749,1600
2024-05-13,20.749,20.885,20.749,600
2024-05-14,20.722,20.749,20.722,800
2024-05-15,20.795,20.967,20.93,2500
2024-05-16,20.817,20.84,20.84,800
2024-05-17,20.84,20.885,20.885,1600
2024-05-20,20.885,20.93,20.885,2000
2024-05-21,20.885,20.971,20.971,2800
2024-05-22,20.885,20.967,20.885,3200
2024-05-23,20.84,20.91,20.885,7200
2024-05-24,20.885,20.885,20.885,100
2024-05-28,20.885,20.885,20.885,300
2024-05-29,20.885,20.921,20.886,1200
2024-05-30,20.886,20.886,20.886,0
2024-05-31,20.885,20.967,20.885,3700
2024-06-03,20.885,21.089,20.967,2100
2024-06-04,20.971,21.103,21.103,16500
2024-06-05,21.103,21.103,21.103,600
2024-06-06,21.15,21.488,21.32,2100
