,Low,High,Close,Volume
2020-01-31,22.492,24.451,23.695,26201800
2020-02-03,23.405,24.899,24.575,3814300
2020-02-04,24.691,25.355,24.949,2640700
2020-02-05,24.7,25.48,24.866,1502900
2020-02-06,24.708,26.086,25.862,4197500
2020-02-07,24.949,26.052,25.065,563500
2020-02-10,24.982,26.451,26.135,596500
2020-02-11,25.745,26.55,25.762,381600
2020-02-12,25.403,26.335,25.604,412000
2020-02-13,25.106,25.978,25.969,384400
2020-02-14,25.604,26.144,25.729,212100
2020-02-18,25.218,25.911,25.554,279800
2020-02-19,24.816,25.496,25.09,635600
2020-02-20,24.334,25.795,25.164,574600
2020-02-21,24.754,25.745,25.53,337800
2020-02-24,24.807,25.513,25.081,609800
2020-02-25,24.816,25.604,24.973,697000
2020-02-26,24.716,25.361,24.882,539100
2020-02-27,23.961,25.177,24.069,665900
2020-02-28,22.824,24.451,23.944,1078700
2020-03-02,23.089,25.081,23.43,794100
2020-03-03,22.948,23.841,23.305,568200
2020-03-04,23.33,24.733,24.675,844600
2020-03-05,23.662,25.181,24.89,637900
2020-03-06,24.326,25.056,25.015,326300
2020-03-09,23.143,24.748,24.036,920800
2020-03-10,23.015,24.359,23.264,549900
2020-03-11,22.832,24.143,23.554,2908100
2020-03-12,20.417,22.658,20.807,761000
2020-03-13,20.561,21.751,21.458,788400
2020-03-16,18.043,20.415,20.39,1356000
2020-03-17,20.289,23.738,21.108,666100
2020-03-18,19.279,22.076,21.817,1622000
2020-03-19,21.099,23.387,22.302,350800
2020-03-20,21.776,24.827,23.362,3974900
2020-03-23,21.191,23.5,22.419,828100
2020-03-24,20.874,23.329,22.118,932200
2020-03-25,21.099,23.788,23.404,1286400
2020-03-26,21.454,23.621,22.519,646400
2020-03-27,20.348,22.36,22.101,813000
2020-03-30,21.321,23.295,23.095,608600
2020-03-31,22.662,24.756,24.356,943700
2020-04-01,22.623,23.963,23.629,467500
2020-04-02,23.345,25.249,24.389,637400
2020-04-03,23.721,25.299,25.04,739100
2020-04-06,24.973,25.875,25.399,720500
2020-04-07,24.623,25.884,25.049,435600
2020-04-08,24.539,25.337,25.032,475000
2020-04-09,24.589,25.565,24.965,756100
2020-04-13,24.08,25.024,24.865,369400
2020-04-14,24.381,25.466,24.665,383500
2020-04-15,24.235,26.71,26.109,938400
2020-04-16,24.639,27.737,24.882,1941400
2020-04-17,23.596,25.817,25.466,1111400
2020-04-20,24.957,26.284,25.366,482200
2020-04-21,23.805,25.441,25.182,736700
2020-04-22,25.199,26.218,25.608,807500
2020-04-23,24.857,26.159,25.934,455200
2020-04-24,25.302,27.26,26.076,577000
2020-04-27,25.884,26.952,26.76,421600
2020-04-28,26.593,27.495,26.752,429000
2020-04-29,26.794,27.796,27.361,665700
2020-04-30,26.46,28.539,27.078,938200
2020-05-01,26.635,29.641,27.462,953900
2020-05-04,27.311,28.731,28.505,685400
2020-05-05,27.896,29.374,27.979,689400
2020-05-06,27.988,28.848,28.338,847700
2020-05-07,26.81,28.789,27.829,1077600
2020-05-08,27.695,28.597,28.029,800000
2020-05-11,27.746,28.781,28.489,536100
2020-05-12,27.637,28.823,28.739,335800
2020-05-13,27.654,29.081,27.821,492400
2020-05-14,27.228,28.388,28.138,430200
2020-05-15,28.142,29.549,28.781,465400
2020-05-18,28.814,29.992,29.39,756900
2020-05-19,28.555,29.975,28.572,345200
2020-05-20,28.188,29.215,28.464,379900
2020-05-21,27.645,28.706,28.196,425800
2020-05-22,27.812,28.439,28.08,289800
2020-05-26,27.771,28.789,28.046,218500
2020-05-27,27.846,28.789,28.706,294100
2020-05-28,28.038,28.672,28.405,498700
2020-05-29,27.854,28.505,27.879,284600
2020-06-01,27.153,28.334,27.988,555000
2020-06-02,27.553,28.18,27.737,272400
2020-06-03,27.604,28.363,28.096,319000
2020-06-04,28.18,29.081,28.764,727700
2020-06-05,27.303,30.058,27.503,1162500
2020-06-08,26.744,28.134,27.078,940900
2020-06-09,26.752,27.545,27.094,705300
2020-06-10,26.326,27.32,26.526,783300
2020-06-11,25.65,26.769,26.259,763300
2020-06-12,25.424,27.002,26.226,510100
2020-06-15,25.884,27.929,27.654,1360900
2020-06-16,27.128,28.272,27.545,505500
2020-06-17,27.386,28.246,27.403,491400
2020-06-18,26.994,28.914,28.347,1005100
2020-06-19,28.297,29.616,28.514,3445500
2020-06-22,28.071,29.09,28.839,767800
2020-06-23,28.522,29.207,28.689,973800
2020-06-24,28.447,29.015,28.814,673600
2020-06-25,28.171,28.798,28.731,655300
2020-06-26,28.088,29.006,28.221,595600
2020-06-29,28.063,29.031,28.839,603500
2020-06-30,28.639,29.273,29.006,281300
2020-07-01,28.547,29.132,28.639,467600
2020-07-02,28.781,29.833,29.132,332500
2020-07-06,28.205,29.569,28.806,560700
2020-07-07,28.505,29.791,29.449,442500
2020-07-08,28.672,29.733,28.86,642800
2020-07-09,28.096,29.307,28.422,440400
2020-07-10,28.121,29.106,28.622,545600
2020-07-13,27.729,29.005,27.821,319500
2020-07-14,27.629,28.739,28.572,850100
2020-07-15,27.837,29.19,28.343,433800
2020-07-16,28.06,28.798,28.171,231900
2020-07-17,27.988,28.522,28.188,280400
2020-07-20,27.637,28.288,28.071,486600
2020-07-21,27.403,28.397,27.754,397900
2020-07-22,27.22,27.746,27.353,389200
2020-07-23,27.236,27.979,27.537,364300
2020-07-24,27.328,27.829,27.553,285600
2020-07-27,27.161,27.983,27.587,395500
2020-07-28,27.412,28.213,27.645,585500
2020-07-29,27.67,28.831,28.48,1082200
2020-07-30,28.029,28.747,28.555,335100
2020-07-31,28.288,29.804,28.439,649300
2020-08-03,28.23,29.081,28.689,773000
2020-08-04,28.764,29.57,28.823,928300
2020-08-05,25.767,28.449,26.326,3273500
2020-08-06,26.026,26.66,26.226,919700
2020-08-07,25.909,27.253,27.144,525400
2020-08-10,27.027,27.654,27.562,472200
2020-08-11,26.714,27.804,26.802,497600
2020-08-12,26.769,27.879,27.336,720200
2020-08-13,27.605,28.564,27.757,671500
2020-08-14,27.538,28.227,28.118,595300
2020-08-17,27.891,28.345,28.093,470400
2020-08-18,27.513,28.379,27.79,732300
2020-08-19,27.975,28.404,28.227,404700
2020-08-20,27.689,28.328,27.975,270700
2020-08-21,27.765,28.572,28.555,467400
2020-08-24,28.051,28.917,28.093,320300
2020-08-25,27.345,28.143,27.496,379900
2020-08-26,27.017,27.646,27.446,367000
2020-08-27,27.425,27.824,27.698,280100
2020-08-28,27.521,28.026,27.933,194300
2020-08-31,27.74,28.202,27.933,474900
2020-09-01,27.706,28.223,28.009,345400
2020-09-02,27.328,28.253,27.9,350800
2020-09-03,26.689,27.948,26.924,325700
2020-09-04,26.025,27.202,26.597,507200
2020-09-08,26.025,27.0,26.924,445100
2020-09-09,27.076,28.286,27.303,571900
2020-09-10,26.979,27.538,27.219,322100
2020-09-11,27.135,27.614,27.362,276100
2020-09-14,27.16,27.521,27.328,215500
2020-09-15,26.538,27.404,27.219,434400
2020-09-16,26.471,27.433,26.571,494300
2020-09-17,26.353,26.807,26.613,667400
2020-09-18,25.697,26.815,25.865,597700
2020-09-21,25.361,26.315,26.176,636100
2020-09-22,26.264,26.891,26.748,400500
2020-09-23,25.764,26.95,26.033,485000
2020-09-24,25.865,26.807,26.597,293600
2020-09-25,26.378,26.992,26.597,231300
2020-09-28,26.168,26.975,26.244,311500
2020-09-29,26.059,26.664,26.328,319100
2020-09-30,25.697,26.706,25.739,682200
2020-10-01,25.672,26.248,26.017,375400
2020-10-02,25.748,26.227,26.05,316100
2020-10-05,25.76,26.361,26.168,555300
2020-10-06,25.714,26.454,25.781,288100
2020-10-07,25.638,26.033,25.714,366600
2020-10-08,25.773,26.147,26.033,383100
2020-10-09,26.202,26.857,26.773,379800
2020-10-12,26.37,26.748,26.37,238500
2020-10-13,26.143,26.929,26.336,457700
2020-10-14,26.092,26.504,26.319,320800
2020-10-15,26.176,26.664,26.664,216200
2020-10-16,26.151,26.946,26.26,363900
2020-10-19,25.781,26.521,26.0,418800
2020-10-20,25.395,26.286,25.638,358900
2020-10-21,25.142,25.895,25.151,694800
2020-10-22,24.47,25.504,25.008,644900
2020-10-23,25.058,25.613,25.521,323600
2020-10-26,25.075,25.604,25.26,310600
2020-10-27,24.949,25.68,24.949,465800
2020-10-28,24.1,24.949,24.403,636200
2020-10-29,23.671,24.478,23.915,716300
2020-10-30,23.411,24.184,23.739,340300
2020-11-02,23.852,25.193,24.873,390300
2020-11-03,24.798,25.378,24.957,414200
2020-11-04,24.571,25.21,24.848,149200
2020-11-05,24.697,25.218,24.932,226800
2020-11-06,24.863,25.563,25.319,204000
2020-11-09,24.092,25.966,24.167,602700
2020-11-10,23.175,24.848,24.377,1175700
2020-11-11,24.201,25.613,25.504,831800
2020-11-12,23.966,26.042,24.462,1336500
2020-11-13,24.309,25.198,25.105,480100
2020-11-16,25.067,25.622,25.309,436200
2020-11-17,24.902,25.715,25.292,502300
2020-11-18,24.563,26.63,24.631,599700
2020-11-19,24.648,25.444,25.207,267900
2020-11-20,25.444,26.114,25.927,605500
2020-11-23,25.537,26.562,26.469,520700
2020-11-24,26.105,26.909,26.257,508900
2020-11-25,25.766,26.41,26.054,548800
2020-11-27,25.868,26.257,26.13,206600
2020-11-30,25.537,26.266,25.698,356300
2020-12-01,25.461,26.02,25.673,469000
2020-12-02,25.215,25.766,25.469,418000
2020-12-03,25.376,25.918,25.774,456600
2020-12-04,25.537,26.028,25.817,367100
2020-12-07,25.342,26.003,25.461,429000
2020-12-08,25.334,26.376,26.113,626800
2020-12-09,25.961,26.283,26.122,351500
2020-12-10,25.368,26.198,25.41,433400
2020-12-11,25.004,25.773,25.351,845300
2020-12-14,25.376,26.033,25.529,543500
2020-12-15,25.537,25.978,25.8,353600
2020-12-16,25.597,26.147,25.69,460000
2020-12-17,25.707,26.3,25.817,388400
2020-12-18,25.563,26.249,25.774,1848300
2020-12-21,25.029,25.63,25.597,361600
2020-12-22,25.376,26.045,25.436,343700
2020-12-23,25.453,25.842,25.486,257500
2020-12-24,25.419,25.893,25.834,111400
2020-12-28,25.368,25.995,25.546,188200
2020-12-29,25.419,25.834,25.419,236200
2020-12-30,25.342,25.724,25.427,226500
2020-12-31,25.114,25.732,25.444,438300
2021-01-04,25.918,26.638,26.274,496000
2021-01-05,25.444,26.41,25.571,441800
