,Low,High,Close,Volume
2016-03-31,2.06,2.528,2.408,81900
2016-04-01,2.203,2.399,2.345,47900
2016-04-04,2.345,2.345,2.345,0
2016-04-05,2.399,2.943,2.693,223900
2016-04-06,2.542,2.836,2.657,20600
2016-04-07,2.499,2.773,2.666,134700
2016-04-08,2.586,2.807,2.649,18300
2016-04-11,2.55,2.8,2.711,46400
2016-04-12,2.631,2.765,2.711,191500
2016-04-13,2.662,2.773,2.666,48200
2016-04-14,2.657,2.8,2.679,33400
2016-04-15,2.657,2.818,2.702,7000
2016-04-18,2.657,2.762,2.657,4000
2016-04-19,2.657,2.787,2.765,26000
2016-04-20,2.666,2.765,2.747,26200
2016-04-21,2.64,2.765,2.693,16500
2016-04-22,2.675,2.765,2.738,28100
2016-04-25,2.577,2.711,2.595,7300
2016-04-26,2.497,2.738,2.729,41700
2016-04-27,2.657,2.738,2.693,20600
2016-04-28,2.604,2.684,2.675,5000
2016-04-29,2.649,2.836,2.756,10200
2016-05-02,2.756,2.756,2.756,0
2016-05-03,2.247,2.666,2.631,25600
2016-05-04,2.497,2.622,2.577,2600
2016-05-05,2.31,2.666,2.568,36300
2016-05-06,2.427,2.542,2.506,8400
2016-05-09,2.524,2.604,2.524,26400
2016-05-10,2.426,2.8,2.771,73900
2016-05-11,2.399,2.809,2.782,45300
2016-05-12,2.684,2.809,2.684,23300
2016-05-13,2.675,2.854,2.854,37700
2016-05-16,2.827,3.486,3.201,228700
2016-05-17,3.344,3.951,3.951,491700
2016-05-18,2.979,5.93,3.237,2137500
2016-05-19,3.023,3.603,3.54,182400
2016-05-20,3.21,3.567,3.264,131400
2016-05-23,3.05,3.407,3.157,70800
2016-05-24,2.97,3.264,3.032,44700
2016-05-25,2.863,3.219,3.094,146700
2016-05-26,2.925,3.166,3.068,26900
2016-05-27,2.872,3.121,3.014,34200
2016-05-31,2.898,3.05,2.979,19800
2016-06-01,2.88,3.13,3.05,58200
2016-06-02,3.059,3.389,3.291,39400
2016-06-03,3.112,3.303,3.193,14700
2016-06-06,3.166,3.433,3.335,19300
2016-06-07,3.21,3.478,3.219,47300
2016-06-08,3.3,3.371,3.308,36700
2016-06-09,3.21,3.424,3.246,5700
2016-06-10,3.059,3.228,3.121,18200
2016-06-13,2.898,3.13,2.952,42100
2016-06-14,2.925,2.984,2.943,5200
2016-06-15,2.979,3.219,3.014,8500
2016-06-16,2.675,3.086,2.907,148800
2016-06-17,2.872,3.139,3.13,13000
2016-06-20,3.112,3.21,3.201,19500
2016-06-21,3.184,3.219,3.219,4100
2016-06-22,3.09,3.228,3.139,7400
2016-06-23,3.184,3.326,3.21,34000
2016-06-24,3.014,3.175,3.103,4500
2016-06-27,2.863,3.023,2.863,24500
2016-06-28,2.836,2.996,2.872,4500
2016-06-29,2.854,3.077,3.05,4700
2016-06-30,2.97,3.184,3.13,14700
2016-07-01,3.032,3.193,3.112,40600
2016-07-05,3.059,3.112,3.112,1800
2016-07-06,3.068,3.121,3.068,2600
2016-07-07,3.043,3.111,3.105,1200
2016-07-08,2.996,3.175,3.112,8600
2016-07-11,3.077,3.127,3.077,2600
2016-07-12,2.97,3.264,3.023,68500
2016-07-13,2.987,3.245,3.245,26200
2016-07-14,2.988,3.19,3.059,18700
2016-07-15,2.979,3.255,3.246,25600
2016-07-18,3.153,3.267,3.153,34600
2016-07-19,2.925,3.184,3.086,62200
2016-07-20,3.069,3.148,3.086,2400
2016-07-21,3.069,3.175,3.166,3800
2016-07-22,3.13,3.3,3.201,135600
2016-07-25,3.041,3.166,3.166,8200
2016-07-26,3.014,3.291,3.041,6200
2016-07-27,2.996,3.139,3.077,16900
2016-07-28,2.947,3.068,2.961,16100
2016-07-29,2.961,3.032,3.005,39500
2016-08-01,2.715,3.032,2.983,55500
2016-08-02,2.916,3.014,2.934,21900
