,Low,High,Close,Volume
2010-12-09,10.79,11.04,10.97,212100
2010-12-10,10.97,11.69,11.62,141400
2010-12-13,11.55,11.79,11.73,159500
2010-12-14,11.69,12.17,12.15,130100
2010-12-15,12.15,12.61,12.36,215100
2010-12-16,12.37,13.26,13.24,293700
2010-12-17,12.82,13.52,13.5,310200
2010-12-20,12.88,13.67,13.46,216600
2010-12-21,13.29,14.0,13.84,111000
2010-12-22,13.64,14.5,14.47,169300
2010-12-23,14.03,14.5,14.22,59700
2010-12-27,13.97,14.57,14.47,46600
2010-12-28,14.13,14.65,14.28,79300
2010-12-29,14.29,14.49,14.3,25100
2010-12-30,14.12,14.45,14.12,65800
2010-12-31,13.53,14.23,13.57,132300
2011-01-03,13.68,14.48,13.95,186200
2011-01-04,12.93,14.16,13.15,141700
2011-01-05,12.78,13.41,13.38,152900
2011-01-06,12.15,13.35,12.43,211200
2011-01-07,12.1,12.63,12.51,207900
2011-01-10,11.89,12.61,11.9,230100
2011-01-11,11.91,12.19,12.18,117300
2011-01-12,12.13,12.43,12.39,123500
2011-01-13,11.98,12.67,12.47,123200
2011-01-14,12.24,12.73,12.68,100200
2011-01-18,12.2,12.9,12.44,124600
2011-01-19,11.41,12.49,11.46,191200
2011-01-20,11.26,12.09,11.8,167600
2011-01-21,11.11,12.06,11.2,131800
2011-01-24,11.05,11.42,11.37,88900
2011-01-25,11.13,11.59,11.57,106000
2011-01-26,11.57,12.23,11.98,178000
2011-01-27,11.71,12.1,11.9,120200
2011-01-28,11.02,12.01,11.07,159200
2011-01-31,10.93,11.27,11.03,149200
2011-02-01,11.07,11.48,11.11,169700
2011-02-02,10.67,11.11,10.68,90400
2011-02-03,10.33,10.83,10.46,156100
2011-02-04,10.35,10.72,10.61,157200
2011-02-07,10.6,10.98,10.93,90900
2011-02-08,10.78,11.19,11.19,135500
2011-02-09,10.95,11.15,11.12,102800
2011-02-10,10.9,11.18,11.02,120200
2011-02-11,10.93,11.19,11.17,87100
2011-02-14,11.11,11.41,11.28,102000
2011-02-15,11.12,11.39,11.15,124300
2011-02-16,11.06,11.32,11.19,52700
2011-02-17,11.09,11.47,11.37,100500
2011-02-18,11.42,12.04,12.0,285100
2011-02-22,11.1,12.01,11.11,165700
2011-02-23,10.58,11.13,10.58,126200
2011-02-24,10.2,10.68,10.47,101000
2011-02-25,10.29,10.79,10.79,132500
2011-02-28,10.65,11.26,10.83,144500
2011-03-01,10.13,10.96,10.2,81500
2011-03-02,10.17,11.05,10.95,142200
2011-03-03,10.86,11.32,11.0,141500
2011-03-04,10.6,11.15,10.74,78100
2011-03-07,10.17,11.12,10.44,146100
2011-03-08,10.38,11.32,11.25,88000
2011-03-09,10.92,11.49,11.0,96300
2011-03-10,10.38,10.8,10.62,103700
2011-03-11,10.64,11.33,10.99,129600
2011-03-14,10.73,11.08,10.92,83500
2011-03-15,10.44,10.7,10.52,109200
2011-03-16,10.36,10.75,10.36,148400
2011-03-17,10.28,10.71,10.28,117300
2011-03-18,10.32,10.75,10.67,163600
2011-03-21,10.68,10.94,10.87,58800
2011-03-22,10.88,11.29,11.25,89100
2011-03-23,11.18,11.65,11.36,98600
2011-03-24,11.12,11.48,11.27,56200
2011-03-25,11.17,11.59,11.17,91800
2011-03-28,11.07,11.5,11.15,72800
2011-03-29,11.08,11.46,11.44,55200
2011-03-30,11.32,11.55,11.39,78200
2011-03-31,11.33,11.96,11.93,157700
2011-04-01,11.88,12.38,12.15,101300
2011-04-04,12.02,12.56,12.51,163300
2011-04-05,12.23,13.29,12.66,159100
2011-04-06,12.63,13.03,12.68,100400
2011-04-07,12.5,12.89,12.59,67700
2011-04-08,11.97,12.81,12.05,73600
2011-04-11,12.01,12.35,12.07,80900
2011-04-12,11.42,11.94,11.48,84700
2011-04-13,11.08,11.66,11.37,94300
2011-04-14,11.2,11.55,11.43,90600
2011-04-15,11.22,11.75,11.73,93500
2011-04-18,11.2,11.51,11.29,78900
2011-04-19,11.25,11.65,11.36,52500
2011-04-20,11.46,11.77,11.73,72300
2011-04-21,11.66,11.9,11.88,58700
2011-04-25,11.81,12.16,12.08,79800
2011-04-26,11.96,12.67,12.45,85700
2011-04-27,12.19,12.5,12.24,100000
2011-04-28,11.7,12.23,11.85,106000
2011-04-29,11.58,12.05,11.68,83000
2011-05-02,11.37,11.72,11.43,97000
2011-05-03,11.25,11.7,11.31,109000
2011-05-04,10.92,11.39,10.93,122200
2011-05-05,11.34,13.49,13.24,421800
2011-05-06,12.45,13.89,13.63,359000
2011-05-09,12.83,13.57,13.48,217000
2011-05-10,13.5,14.12,14.01,255800
2011-05-11,13.34,14.0,13.41,125000
2011-05-12,13.11,14.02,13.8,114300
2011-05-13,13.2,14.02,13.27,72000
2011-05-16,13.19,13.78,13.32,132000
2011-05-17,12.94,13.38,12.95,148100
2011-05-18,12.83,13.13,12.87,188600
2011-05-19,12.67,13.14,12.77,144000
2011-05-20,12.47,12.82,12.52,104900
2011-05-23,11.91,12.28,12.14,142600
2011-05-24,11.89,12.33,12.15,130300
2011-05-25,12.01,12.61,12.58,64600
2011-05-26,12.44,12.92,12.88,88400
2011-05-27,12.8,13.03,13.02,67400
2011-05-31,12.9,13.7,13.06,219100
2011-06-01,12.4,13.1,12.78,442500
2011-06-02,12.37,13.14,12.73,165300
2011-06-03,11.85,12.56,11.89,155000
2011-06-06,11.85,12.24,11.85,122600
2011-06-07,11.75,12.2,11.76,66000
2011-06-08,11.26,11.69,11.34,72500
2011-06-09,11.21,11.63,11.35,101800
2011-06-10,10.78,11.25,10.96,100700
2011-06-13,10.66,11.05,10.8,127700
2011-06-14,11.0,11.63,11.35,103700
2011-06-15,10.62,11.16,10.78,79800
2011-06-16,10.79,11.32,11.18,132200
2011-06-17,11.03,11.49,11.22,185200
2011-06-20,11.11,11.43,11.24,92500
2011-06-21,11.15,11.44,11.31,185300
2011-06-22,10.93,11.26,10.95,111200
2011-06-23,10.51,10.97,10.93,125700
2011-06-24,10.76,11.09,10.84,282300
2011-06-27,10.71,10.98,10.8,165100
2011-06-28,10.74,10.91,10.82,150800
2011-06-29,10.7,10.94,10.79,192100
2011-06-30,10.74,11.38,11.32,112000
2011-07-01,11.16,11.63,11.45,104600
2011-07-05,11.31,11.54,11.45,133900
2011-07-06,11.23,11.5,11.4,217800
2011-07-07,11.42,11.66,11.5,262100
2011-07-08,11.19,11.5,11.46,73800
2011-07-11,10.92,11.36,10.97,114200
2011-07-12,10.84,11.1,10.96,122400
2011-07-13,9.89,11.13,10.44,660200
2011-07-14,10.36,10.73,10.46,200500
2011-07-15,10.51,11.08,11.07,168400
2011-07-18,10.6,11.06,10.84,83300
2011-07-19,10.89,11.03,10.95,162500
2011-07-20,10.78,11.27,11.26,66500
2011-07-21,11.12,11.36,11.18,283600
2011-07-22,10.81,11.22,10.84,54300
2011-07-25,10.28,10.92,10.75,44900
2011-07-26,10.41,10.74,10.47,93400
2011-07-27,10.0,10.43,10.07,127000
2011-07-28,10.03,10.42,10.2,86800
2011-07-29,10.0,10.48,10.28,131700
2011-08-01,10.09,10.5,10.27,162600
2011-08-02,9.67,10.47,9.95,199700
2011-08-03,9.55,10.21,10.16,160900
2011-08-04,9.3,10.03,9.36,411500
2011-08-05,8.64,9.47,8.8,295500
2011-08-08,7.75,9.16,7.92,352500
2011-08-09,7.67,8.83,8.8,290800
2011-08-10,7.66,10.35,7.67,216300
2011-08-11,7.74,8.97,8.85,351200
2011-08-12,8.05,9.65,8.15,206600
2011-08-15,8.02,8.43,8.4,155500
2011-08-16,8.03,8.52,8.07,197800
2011-08-17,7.95,8.37,8.06,129600
2011-08-18,7.4,7.85,7.65,246300
