,Low,High,Close,Volume
2010-12-09,70.0,70.559,70.403,410900
2010-12-10,70.183,71.227,71.191,729600
2010-12-13,70.742,71.456,70.843,1088800
2010-12-14,70.623,71.502,70.879,655000
2010-12-15,70.458,71.374,70.714,720300
2010-12-16,70.366,71.85,71.85,415900
2010-12-17,71.117,72.024,71.548,1383700
2010-12-20,70.43,71.832,70.659,751000
2010-12-21,70.751,71.438,71.328,642700
2010-12-22,71.328,71.731,71.438,580100
2010-12-23,70.293,71.456,70.348,396500
2010-12-27,70.082,71.346,71.172,418100
2010-12-28,70.742,71.447,70.879,317800
2010-12-29,70.604,71.09,70.843,275800
2010-12-30,70.366,71.191,70.403,246000
2010-12-31,69.917,70.439,70.018,307100
2011-01-03,70.522,71.557,70.595,464700
2011-01-04,68.772,70.907,69.569,698800
2011-01-05,69.257,70.165,69.954,383600
2011-01-06,69.165,69.973,69.386,466800
2011-01-07,67.624,69.743,68.688,870900
2011-01-10,66.395,68.991,68.872,799100
2011-01-11,68.835,69.799,69.34,356600
2011-01-12,69.028,69.899,69.175,491100
2011-01-13,68.734,69.395,69.037,400500
2011-01-14,68.716,69.294,69.147,602700
2011-01-18,68.991,69.716,69.422,653100
2011-01-19,67.698,69.56,67.936,1197900
2011-01-20,67.285,67.991,67.487,648200
2011-01-21,67.716,68.652,67.817,447400
2011-01-24,67.587,68.67,68.587,445400
2011-01-25,67.78,68.808,68.743,504600
2011-01-26,68.817,69.918,69.716,803900
2011-01-27,69.487,70.551,70.331,548800
2011-01-28,68.67,70.955,69.441,769600
2011-01-31,70.881,73.303,71.276,1346200
2011-02-01,71.028,72.496,72.395,680400
2011-02-02,72.037,72.771,72.56,538100
2011-02-03,72.019,72.753,72.578,481900
2011-02-04,72.477,73.606,73.377,443500
2011-02-07,73.404,74.156,74.037,504700
2011-02-08,74.129,75.331,75.331,754500
2011-02-09,74.725,75.505,75.377,500600
2011-02-10,74.817,76.303,76.23,492900
2011-02-11,75.606,77.23,76.826,697900
2011-02-14,76.698,77.854,77.78,685200
2011-02-15,76.991,77.753,77.496,608800
2011-02-16,77.404,78.175,78.0,614200
2011-02-17,77.477,77.909,77.606,592600
2011-02-18,77.523,78.312,78.248,557900
2011-02-22,76.285,77.734,76.597,749700
2011-02-23,75.542,76.954,76.092,945300
2011-02-24,75.037,76.404,75.441,668300
2011-02-25,75.542,76.56,76.34,530200
2011-02-28,76.514,77.358,77.184,548600
2011-03-01,76.202,77.982,76.358,713700
2011-03-02,76.166,77.964,77.716,586100
2011-03-03,78.156,80.441,80.266,692800
2011-03-04,78.523,80.193,78.854,945200
2011-03-07,76.982,79.367,77.863,838100
2011-03-08,77.413,78.945,78.771,508000
2011-03-09,77.854,79.377,79.202,586200
2011-03-10,77.083,78.367,77.395,407000
2011-03-11,76.202,77.799,77.496,587700
2011-03-14,75.918,77.386,76.716,465400
2011-03-15,73.826,76.597,76.11,660700
2011-03-16,74.505,76.532,75.12,512600
2011-03-17,75.257,76.652,75.688,526900
2011-03-18,76.56,77.239,77.202,979600
2011-03-21,78.11,79.046,78.716,716000
2011-03-22,77.844,78.899,78.285,460900
2011-03-23,76.799,78.532,77.743,388100
2011-03-24,77.367,78.395,78.046,328900
2011-03-25,77.89,78.89,78.771,644900
2011-03-28,78.065,79.019,78.138,264200
2011-03-29,77.083,78.688,78.688,433200
2011-03-30,78.505,79.101,78.652,745400
2011-03-31,78.633,79.459,79.321,820900
2011-04-01,79.312,81.166,81.037,683100
2011-04-04,80.789,81.432,81.147,619300
2011-04-05,80.257,81.331,80.367,605800
2011-04-06,79.412,80.919,79.908,313800
2011-04-07,79.026,80.239,79.219,448300
2011-04-08,77.887,79.779,78.484,347300
2011-04-11,77.814,78.833,78.264,377700
2011-04-12,77.152,78.181,77.713,399200
2011-04-13,77.419,78.466,77.869,398100
2011-04-14,76.711,77.841,77.648,298000
2011-04-15,77.281,78.613,77.942,911500
2011-04-18,75.738,77.088,76.555,661100
2011-04-19,76.417,77.226,76.978,616000
2011-04-20,77.979,78.934,78.815,624700
2011-04-21,78.576,79.476,79.339,770900
2011-04-25,78.769,79.577,79.127,429500
2011-04-26,79.366,81.35,80.101,994000
2011-04-27,78.677,79.651,79.366,821800
2011-04-28,79.1,80.046,79.458,613400
2011-04-29,79.384,80.055,79.449,615000
2011-05-02,79.091,80.174,79.164,491000
2011-05-03,78.144,79.32,78.558,428900
2011-05-04,76.923,78.999,76.996,1071300
2011-05-05,76.234,78.117,77.143,651200
2011-05-06,76.427,78.76,76.932,563000
2011-05-09,76.528,77.29,77.033,547100
2011-05-10,77.18,77.979,77.951,400800
2011-05-11,76.215,78.052,76.739,339300
2011-05-12,75.582,77.455,77.161,322000
2011-05-13,75.866,77.511,75.94,297600
2011-05-16,75.324,76.473,76.225,622700
2011-05-17,75.196,76.298,75.462,458900
2011-05-18,75.444,76.61,76.234,726600
2011-05-19,76.316,77.079,76.592,434700
2011-05-20,75.995,76.868,76.592,559200
2011-05-23,74.865,75.793,75.389,320200
2011-05-24,74.222,75.83,74.351,513400
2011-05-25,73.294,75.747,75.407,588700
2011-05-26,74.856,75.83,75.664,307300
2011-05-27,75.765,76.399,76.234,251000
2011-05-31,75.444,77.125,76.675,488500
2011-06-01,73.625,76.748,73.643,505200
2011-06-02,73.588,74.764,74.617,387500
2011-06-03,73.12,74.314,73.193,512700
2011-06-06,72.357,73.891,72.477,374000
2011-06-07,72.256,73.744,73.386,1046100
2011-06-08,72.752,73.689,73.111,595000
2011-06-09,72.918,73.643,72.991,561800
2011-06-10,72.063,73.083,72.201,617700
2011-06-13,71.512,72.651,71.926,371800
2011-06-14,72.633,73.79,73.359,705200
2011-06-15,71.889,73.074,72.091,437900
2011-06-16,71.512,73.212,72.458,438500
2011-06-17,73.074,73.983,73.506,1046400
2011-06-20,73.129,74.103,73.873,398400
2011-06-21,74.02,75.591,75.508,633700
2011-06-22,74.883,75.692,75.251,444400
2011-06-23,73.634,75.444,74.893,641100
2011-06-24,74.038,75.131,74.442,654300
2011-06-27,73.662,74.599,74.295,408200
2011-06-28,74.277,75.609,75.609,397200
2011-06-29,75.37,76.454,75.995,308800
2011-06-30,76.105,76.978,76.518,579400
2011-07-01,76.169,77.143,76.932,1496000
2011-07-05,76.408,77.134,76.776,761900
2011-07-06,76.343,77.502,77.355,483400
2011-07-07,77.668,78.312,77.999,446800
2011-07-08,76.233,77.116,76.96,340300
2011-07-11,75.175,76.205,75.543,344500
2011-07-12,74.642,75.424,75.01,500900
2011-07-13,74.918,76.095,75.516,400100
2011-07-14,74.338,76.362,74.559,349200
2011-07-15,74.384,75.617,75.58,533400
2011-07-18,74.007,75.276,74.522,268300
2011-07-19,74.863,75.534,75.516,577300
2011-07-20,75.368,76.343,76.067,377200
2011-07-21,75.847,77.42,77.19,471800
2011-07-22,76.665,77.723,77.686,482700
2011-07-25,79.02,80.906,80.142,1281100
2011-07-26,78.983,80.4,79.287,523400
2011-07-27,76.353,78.781,76.555,613600
2011-07-28,75.359,76.914,75.718,777000
2011-07-29,74.292,75.663,75.083,571900
2011-08-01,72.931,76.021,73.842,629300
2011-08-02,71.459,73.915,71.514,1190700
2011-08-03,70.144,72.995,72.784,1174400
2011-08-04,68.589,71.919,68.635,981100
2011-08-05,66.161,70.172,67.357,1174800
2011-08-08,62.28,66.354,62.307,889200
2011-08-09,61.158,65.711,65.49,1087700
2011-08-10,62.059,65.011,62.188,1094000
2011-08-11,62.427,66.713,65.839,645200
2011-08-12,65.241,66.971,66.805,546900
2011-08-15,66.897,68.028,67.651,449800
2011-08-16,65.195,67.274,65.361,644000
2011-08-17,64.506,66.345,64.965,388100
2011-08-18,61.489,63.08,62.114,1196100
2011-08-19,60.56,62.97,60.679,591000
2011-08-22,60.366,62.188,60.624,565200
2011-08-23,60.422,63.144,63.144,781500
2011-08-24,62.749,65.103,64.993,670200
2011-08-25,63.632,66.06,64.984,1225500
2011-08-26,63.347,66.842,66.465,540800
2011-08-29,66.419,69.003,68.856,575100
2011-08-30,68.047,69.978,69.472,434600
2011-08-31,69.914,71.514,70.779,1317300
2011-09-01,69.27,71.606,69.472,1058000
2011-09-02,67.145,68.258,67.569,805400
2011-09-06,64.8,66.796,66.538,605400
2011-09-07,67.274,68.893,68.856,392300
2011-09-08,67.467,69.132,67.523,542100
2011-09-09,64.745,67.311,65.214,851100
2011-09-12,63.733,65.333,65.315,605000
2011-09-13,65.149,67.706,67.044,803800
2011-09-14,65.784,67.872,67.081,978600
2011-09-15,67.293,70.006,69.978,854400
2011-09-16,69.243,70.631,69.877,999600
2011-09-19,67.826,69.095,68.608,555900
2011-09-20,67.421,69.38,67.486,399100
2011-09-21,65.241,67.854,65.241,583400
2011-09-22,61.406,63.558,62.151,656400
2011-09-23,61.728,64.873,64.34,831900
2011-09-26,63.025,65.094,64.791,780100
2011-09-27,65.517,67.044,66.032,885100
2011-09-28,65.168,66.86,65.637,856400
2011-09-29,65.03,67.863,66.336,750300
2011-09-30,63.374,66.318,63.383,904400
2011-10-03,60.67,63.494,61.075,840700
2011-10-04,59.695,64.487,64.395,1000000
2011-10-05,63.732,66.431,66.348,963300
2011-10-06,65.62,67.73,67.712,798000
2011-10-07,66.652,68.393,67.362,526900
2011-10-10,68.31,69.969,69.84,413200
2011-10-11,69.158,70.549,70.153,344100
2011-10-12,70.245,72.281,71.387,519500
2011-10-13,69.204,70.779,69.582,573500
2011-10-14,71.01,72.318,71.82,669200
2011-10-17,69.075,71.682,69.195,508600
2011-10-18,69.075,71.765,71.139,689600
2011-10-19,70.356,71.765,70.54,620900
2011-10-20,69.655,71.157,70.31,643800
