,Low,High,Close,Volume
2025-11-06,81.009,88.902,86.936,362000
2025-11-07,83.972,86.936,85.701,121300
2025-11-10,88.576,92.755,91.036,492900
2025-11-11,90.591,91.876,91.362,357900
2025-11-12,91.885,94.839,94.296,445600
2025-11-13,94.276,97.524,94.839,246300
2025-11-14,92.863,94.335,93.95,133100
2025-11-17,88.912,94.81,90.186,213200
2025-11-18,88.615,92.863,91.757,134500
2025-11-19,87.43,92.713,87.944,215700
2025-11-20,85.049,90.155,86.442,84300
2025-11-21,84.466,90.176,89.702,100400
2025-11-24,90.394,91.619,90.868,61900
2025-11-25,89.855,91.826,90.097,37200
2025-11-26,90.147,91.629,90.611,54300
2025-11-28,91.688,93.451,92.577,64300
2025-12-01,90.82,92.37,91.655,49300
2025-12-02,91.61,92.24,91.89,103600
2025-12-03,91.1,92.5,91.76,43900
2025-12-04,91.51,92.13,91.61,23500
2025-12-05,90.57,92.24,91.65,18600
2025-12-08,91.01,92.4,91.07,50500
