,Low,High,Close,Volume
2010-12-09,36.392,36.854,36.725,944800
2010-12-10,36.596,36.947,36.762,606000
2010-12-13,36.642,37.141,36.762,564800
2010-12-14,36.651,37.011,36.762,1064700
2010-12-15,36.3,36.845,36.318,678000
2010-12-16,35.995,36.568,36.254,494700
2010-12-17,35.977,36.346,36.171,653300
2010-12-20,36.245,36.937,36.651,1047000
2010-12-21,36.623,37.547,37.39,1464700
2010-12-22,37.104,37.593,37.196,352200
2010-12-23,36.873,37.39,37.048,519500
2010-12-27,36.808,37.418,37.325,401700
2010-12-28,37.205,37.584,37.427,423900
2010-12-29,37.298,37.584,37.556,249800
2010-12-30,37.482,37.824,37.649,357500
2010-12-31,37.63,37.87,37.815,365900
2011-01-03,37.584,37.907,37.778,1674000
2011-01-04,37.658,38.009,37.889,2068300
2011-01-05,37.565,38.138,37.639,916800
2011-01-06,36.494,37.621,36.66,2344300
2011-01-07,36.448,36.947,36.633,746700
2011-01-10,36.282,36.642,36.54,1263300
2011-01-11,36.346,36.845,36.605,1136000
2011-01-12,36.485,37.27,37.122,1370800
2011-01-13,36.753,37.732,36.863,1535000
2011-01-14,36.125,37.039,36.254,1278800
2011-01-18,36.18,37.196,36.845,1017700
2011-01-19,36.171,36.891,36.282,1318100
2011-01-20,36.004,37.067,36.743,1689400
2011-01-21,36.448,37.131,36.688,683600
2011-01-24,36.642,37.408,37.196,1221400
2011-01-25,36.873,37.612,37.538,1062200
2011-01-26,37.565,37.898,37.769,1454400
2011-01-27,37.676,38.147,37.879,1601500
2011-01-28,37.602,38.083,37.824,911500
2011-01-31,37.492,38.129,37.686,860000
2011-02-01,37.769,38.72,38.581,1497400
2011-02-02,38.508,39.21,38.932,838900
2011-02-03,38.748,39.708,39.616,2293900
2011-02-04,39.533,39.976,39.671,1085500
2011-02-07,39.348,40.244,39.44,1292500
2011-02-08,39.404,40.106,40.078,902900
2011-02-09,39.727,40.253,40.124,441400
2011-02-10,40.022,40.724,40.401,819800
2011-02-11,40.318,41.048,40.881,570700
2011-02-14,40.586,40.891,40.678,501000
2011-02-15,40.327,40.706,40.65,498300
