,Low,High,Close,Volume
2010-12-09,5.554,5.689,5.644,27680
2010-12-10,5.599,5.912,5.733,40420
2010-12-13,5.689,5.912,5.868,42580
2010-12-14,5.778,5.912,5.868,71100
2010-12-15,5.599,5.957,5.599,55380
2010-12-16,5.42,5.823,5.599,59500
2010-12-17,5.599,5.778,5.733,35460
2010-12-20,5.465,5.823,5.465,31700
2010-12-21,5.42,5.733,5.644,41080
2010-12-22,5.375,5.912,5.823,43900
2010-12-23,5.644,5.912,5.733,58000
2010-12-27,5.644,5.868,5.823,60640
2010-12-28,5.644,5.868,5.644,32400
2010-12-29,5.644,6.092,6.047,63720
2010-12-30,6.002,6.898,6.405,90420
2010-12-31,6.36,6.943,6.54,66940
2011-01-03,6.45,6.898,6.763,152980
2011-01-04,6.316,6.853,6.405,54560
2011-01-05,6.226,6.674,6.54,49060
2011-01-06,5.823,6.629,6.405,77700
2011-01-07,6.047,6.495,6.45,38620
2011-01-10,6.45,6.584,6.584,31960
2011-01-11,6.495,6.674,6.54,32020
2011-01-12,6.54,6.808,6.808,64880
2011-01-13,6.808,7.391,7.256,135000
2011-01-14,7.211,8.107,7.794,128780
2011-01-18,7.838,8.69,8.331,286320
2011-01-19,7.615,8.421,7.659,136300
2011-01-20,7.122,7.973,7.525,126800
2011-01-21,7.391,7.794,7.659,30380
2011-01-24,7.391,7.838,7.435,30060
2011-01-25,7.211,7.704,7.659,33920
2011-01-26,7.48,8.197,8.062,46560
2011-01-27,7.032,8.062,7.391,128300
2011-01-28,7.122,7.57,7.57,59520
2011-01-31,7.301,7.615,7.615,36080
2011-02-01,7.48,7.838,7.48,48180
2011-02-02,7.391,7.57,7.57,44960
2011-02-03,7.256,7.615,7.256,86320
2011-02-04,7.256,7.48,7.256,35520
2011-02-07,7.301,7.659,7.615,63700
2011-02-08,7.391,7.704,7.48,25380
2011-02-09,7.391,7.525,7.435,36340
2011-02-10,7.346,7.525,7.435,28280
2011-02-11,7.391,7.615,7.435,36020
2011-02-14,7.346,7.57,7.346,23800
2011-02-15,7.256,7.391,7.301,11220
2011-02-16,7.256,7.391,7.391,9980
2011-02-17,6.987,7.391,7.346,43520
2011-02-18,7.301,7.391,7.391,21240
