,Low,High,Close,Volume
2010-12-09,4.208,4.281,4.219,300900
2010-12-10,4.203,4.333,4.328,253700
2010-12-13,4.245,4.354,4.276,233800
2010-12-14,4.276,4.375,4.365,464500
2010-12-15,4.318,4.438,4.365,253900
2010-12-16,4.287,4.427,4.422,245600
2010-12-17,4.255,4.438,4.344,541300
2010-12-20,4.297,4.401,4.318,208800
2010-12-21,4.041,4.365,4.339,402900
2010-12-22,4.229,4.354,4.344,208500
2010-12-23,4.271,4.386,4.354,204800
2010-12-27,4.302,4.36,4.344,153100
2010-12-28,4.219,4.344,4.26,285100
2010-12-29,4.203,4.328,4.307,259500
2010-12-30,4.229,4.313,4.245,131400
2010-12-31,4.229,4.38,4.271,437500
2011-01-03,4.255,4.365,4.349,462200
2011-01-04,4.219,4.349,4.255,232800
2011-01-05,4.24,4.333,4.318,224500
2011-01-06,4.114,4.333,4.182,505600
2011-01-07,4.046,4.198,4.151,280600
2011-01-10,4.104,4.25,4.193,230900
2011-01-11,4.172,4.255,4.255,415200
2011-01-12,4.224,4.339,4.328,235700
2011-01-13,4.208,4.318,4.24,207900
2011-01-14,4.182,4.26,4.203,296200
2011-01-18,4.109,4.234,4.224,464000
2011-01-19,4.135,4.219,4.151,948100
2011-01-20,3.952,4.146,4.083,518100
2011-01-21,4.078,4.172,4.088,263600
2011-01-24,4.025,4.177,4.172,169800
2011-01-25,4.109,4.297,4.292,356200
2011-01-26,4.307,4.615,4.516,441100
2011-01-27,4.427,4.574,4.469,290400
2011-01-28,4.297,4.474,4.401,451300
2011-01-31,4.344,4.621,4.579,342200
2011-02-01,4.542,4.788,4.756,420800
2011-02-02,4.673,4.829,4.777,230900
2011-02-03,4.699,4.934,4.934,312700
2011-02-04,4.767,4.934,4.882,246700
2011-02-07,4.897,5.148,4.997,664000
2011-02-08,5.122,5.216,5.195,1028300
2011-02-09,5.247,5.91,5.738,2140600
2011-02-10,5.806,6.213,6.15,1677400
2011-02-11,5.942,6.505,6.338,1740400
2011-02-14,6.182,6.37,6.354,1314500
2011-02-15,6.239,6.521,6.479,680900
2011-02-16,6.485,6.657,6.579,550300
2011-02-17,6.568,6.787,6.73,742100
2011-02-18,6.72,6.824,6.787,576700
2011-02-22,6.646,6.798,6.667,752800
2011-02-23,6.234,6.667,6.443,791500
2011-02-24,6.349,6.552,6.479,611700
2011-02-25,6.548,6.848,6.796,644200
2011-02-28,6.754,6.859,6.822,630500
2011-03-01,6.39,6.854,6.437,1271600
2011-03-02,6.363,6.685,6.601,717100
2011-03-03,6.643,6.848,6.79,719600
2011-03-04,6.659,6.843,6.748,691900
2011-03-07,6.416,6.822,6.595,926000
2011-03-08,6.49,6.732,6.616,508600
2011-03-09,6.616,6.854,6.701,614600
2011-03-10,6.511,6.738,6.59,597300
2011-03-11,6.406,6.743,6.411,903400
2011-03-14,6.184,6.453,6.342,651600
2011-03-15,5.968,6.247,6.147,602600
2011-03-16,6.047,6.363,6.063,713000
2011-03-17,6.089,6.29,6.179,381800
2011-03-18,6.037,6.326,6.068,1485400
2011-03-21,6.084,6.495,6.432,811700
2011-03-22,6.279,6.543,6.363,429600
2011-03-23,6.205,6.49,6.453,640900
2011-03-24,6.442,6.606,6.448,1020300
2011-03-25,6.358,6.595,6.39,477600
2011-03-28,6.3,6.464,6.416,257300
2011-03-29,6.311,6.442,6.427,195000
2011-03-30,6.453,6.696,6.58,309300
2011-03-31,6.58,6.743,6.611,528200
2011-04-01,6.627,6.801,6.696,515600
2011-04-04,6.58,6.669,6.638,406700
2011-04-05,6.437,6.685,6.437,393500
2011-04-06,6.305,6.569,6.337,274500
2011-04-07,6.105,6.358,6.2,478600
2011-04-08,6.063,6.305,6.131,661100
2011-04-11,5.91,6.168,5.936,615000
2011-04-12,5.694,5.936,5.715,603900
2011-04-13,5.699,5.931,5.82,811800
2011-04-14,5.699,5.826,5.799,422900
2011-04-15,5.783,5.931,5.799,420000
2011-04-18,5.599,5.71,5.694,348700
2011-04-19,5.588,5.773,5.631,267900
2011-04-20,5.736,5.894,5.873,334800
2011-04-21,5.72,5.936,5.841,383000
2011-04-25,5.789,5.878,5.836,321400
2011-04-26,5.852,6.026,6.01,445800
2011-04-27,5.942,6.216,6.163,492100
2011-04-28,6.026,6.184,6.063,260000
2011-04-29,6.052,6.142,6.058,174000
2011-05-02,5.947,6.21,6.047,784300
2011-05-03,5.741,6.021,5.805,522900
2011-05-04,5.536,6.026,5.541,487900
2011-05-05,5.383,5.667,5.573,547200
2011-05-06,5.525,5.741,5.588,284000
2011-05-09,5.393,5.594,5.404,620700
2011-05-10,5.346,5.509,5.504,434100
2011-05-11,5.425,5.493,5.441,428800
2011-05-12,5.283,5.425,5.335,546000
2011-05-13,5.172,5.372,5.277,571300
2011-05-16,5.177,5.367,5.219,573000
2011-05-17,5.098,5.32,5.288,485700
2011-05-18,5.298,5.604,5.588,626500
2011-05-19,5.435,5.652,5.509,452900
2011-05-20,5.414,5.557,5.462,320200
2011-05-23,5.146,5.52,5.161,684300
2011-05-24,5.008,5.219,5.03,512800
2011-05-25,4.85,5.072,4.94,1095300
2011-05-26,4.95,5.051,5.003,404400
2011-05-27,5.025,5.089,5.057,248400
2011-05-31,5.041,5.158,5.137,844200
2011-06-01,5.019,5.174,5.041,875400
2011-06-02,4.923,5.099,5.083,762500
2011-06-03,4.939,5.142,5.083,770000
2011-06-06,4.907,5.131,4.934,525800
2011-06-07,4.928,5.062,4.966,499700
2011-06-08,4.896,5.067,5.014,732600
2011-06-09,4.971,5.19,5.147,421600
2011-06-10,4.918,5.185,4.939,323200
2011-06-13,4.944,5.195,5.094,562300
2011-06-14,5.115,5.377,5.356,746500
2011-06-15,5.195,5.388,5.249,722000
2011-06-16,5.094,5.34,5.233,537900
2011-06-17,5.169,5.345,5.254,992600
2011-06-20,5.206,5.372,5.345,483400
2011-06-21,5.372,5.751,5.633,881800
2011-06-22,5.446,5.628,5.473,962300
2011-06-23,5.324,5.612,5.526,875700
2011-06-24,5.484,5.591,5.569,1085600
2011-06-27,5.505,5.735,5.724,601100
2011-06-28,5.719,5.884,5.868,774700
2011-06-29,5.847,5.97,5.874,714500
2011-06-30,5.852,6.034,5.863,352800
2011-07-01,5.74,6.028,5.884,530200
2011-07-05,5.82,5.98,5.948,342400
2011-07-06,5.505,5.922,5.66,710600
2011-07-07,5.676,5.879,5.767,414400
2011-07-08,5.617,5.793,5.756,380000
2011-07-11,5.5,5.74,5.542,513000
2011-07-12,5.441,5.612,5.484,603300
2011-07-13,5.446,5.649,5.494,337400
2011-07-14,5.308,5.58,5.414,317500
2011-07-15,5.324,5.585,5.382,328500
