,Low,High,Close,Volume
2010-12-09,5.478,5.617,5.491,188900
2010-12-10,5.323,5.649,5.646,313000
2010-12-13,5.564,5.874,5.617,339800
2010-12-14,5.535,5.75,5.697,240100
2010-12-15,5.643,5.747,5.693,231700
2010-12-16,5.602,5.719,5.684,195500
2010-12-17,5.674,5.795,5.785,872300
2010-12-20,5.7,5.82,5.814,191500
2010-12-21,5.693,5.807,5.709,264000
2010-12-22,5.712,5.89,5.855,373300
2010-12-23,5.728,5.918,5.798,191100
2010-12-27,5.785,5.896,5.89,140500
2010-12-28,5.817,5.981,5.829,137400
2010-12-29,5.782,5.931,5.817,202700
2010-12-30,5.798,5.934,5.855,180400
2010-12-31,5.807,5.848,5.823,84800
2011-01-03,5.861,6.026,5.991,185600
2011-01-04,5.82,6.035,5.994,179600
2011-01-05,5.896,6.042,5.975,123700
2011-01-06,5.817,6.051,6.026,99900
2011-01-07,5.978,6.111,6.067,102400
2011-01-10,5.978,6.089,6.061,240900
2011-01-11,5.972,6.086,6.0,127600
2011-01-12,5.915,6.057,5.975,169900
2011-01-13,5.928,6.045,5.994,95400
2011-01-14,5.852,6.0,5.886,229400
2011-01-18,5.848,5.994,5.981,163300
2011-01-19,5.861,6.007,5.902,122400
2011-01-20,5.848,5.95,5.852,91900
2011-01-21,5.731,5.858,5.788,132100
2011-01-24,5.807,5.886,5.871,91800
2011-01-25,5.82,5.921,5.896,120900
2011-01-26,5.899,6.019,6.0,129100
2011-01-27,5.89,6.026,5.997,75400
2011-01-28,5.858,6.023,5.899,78100
2011-01-31,5.81,5.972,5.89,129700
2011-02-01,5.836,5.931,5.899,139300
2011-02-02,5.874,5.931,5.899,149000
2011-02-03,5.836,5.928,5.874,75400
2011-02-04,5.842,5.915,5.89,423700
2011-02-07,5.864,5.953,5.88,98900
2011-02-08,5.81,5.918,5.902,91600
2011-02-09,5.82,5.937,5.905,40800
2011-02-10,5.858,5.937,5.89,91300
2011-02-11,5.861,5.988,5.943,111200
2011-02-14,5.928,6.054,5.997,108600
2011-02-15,5.763,5.994,5.776,197700
2011-02-16,5.728,5.836,5.75,115800
2011-02-17,5.738,5.842,5.807,99000
2011-02-18,5.839,5.966,5.855,87300
2011-02-22,5.719,5.861,5.728,235900
2011-02-23,5.728,5.899,5.823,86100
2011-02-24,5.7,5.886,5.703,194100
2011-02-25,5.697,5.877,5.864,111000
2011-02-28,5.785,5.95,5.829,348800
2011-03-01,5.754,5.877,5.776,262600
2011-03-02,5.76,5.88,5.836,69400
2011-03-03,5.649,5.896,5.662,195600
2011-03-04,5.437,5.655,5.456,252400
2011-03-07,5.228,5.443,5.428,445700
2011-03-08,5.374,5.602,5.595,143200
2011-03-09,5.434,5.687,5.592,114900
2011-03-10,5.459,5.592,5.586,100200
2011-03-11,5.548,5.64,5.63,76600
2011-03-14,5.462,5.621,5.573,232800
2011-03-15,5.453,5.602,5.564,124600
2011-03-16,5.44,5.589,5.526,270000
2011-03-17,5.469,5.579,5.478,98800
2011-03-18,5.507,5.681,5.674,560100
2011-03-21,5.678,5.82,5.735,196400
2011-03-22,5.649,5.788,5.671,94700
2011-03-23,5.583,5.741,5.646,90400
2011-03-24,5.579,5.69,5.64,64000
2011-03-25,5.567,5.693,5.643,86400
2011-03-28,5.541,5.684,5.548,90200
2011-03-29,5.516,5.678,5.662,179600
2011-03-30,5.589,5.693,5.617,79500
2011-03-31,5.519,5.621,5.573,491000
2011-04-01,5.655,5.836,5.681,529100
2011-04-04,5.671,5.741,5.687,389000
2011-04-05,5.662,5.735,5.684,90600
2011-04-06,5.668,5.823,5.687,84200
2011-04-07,5.589,5.712,5.598,155500
2011-04-08,5.519,5.668,5.57,225300
2011-04-11,5.557,5.693,5.592,85700
2011-04-12,5.532,5.624,5.583,120600
2011-04-13,5.592,5.69,5.63,122600
2011-04-14,5.573,5.64,5.621,66600
2011-04-15,5.608,5.719,5.703,102400
2011-04-18,5.617,5.741,5.652,109900
2011-04-19,5.554,5.662,5.564,82500
2011-04-20,5.573,5.659,5.636,78300
2011-04-21,5.564,5.665,5.662,33500
2011-04-25,5.541,5.678,5.655,43200
2011-04-26,5.627,5.697,5.636,79500
2011-04-27,5.57,5.678,5.665,98000
2011-04-28,5.659,5.741,5.719,74000
2011-04-29,5.298,5.697,5.323,613000
2011-05-02,5.276,5.412,5.374,186000
2011-05-03,5.333,5.409,5.342,163000
2011-05-04,5.257,5.409,5.26,172100
2011-05-05,5.111,5.567,5.323,198900
2011-05-06,5.377,5.608,5.396,497700
2011-05-09,5.371,5.472,5.447,124000
2011-05-10,5.459,5.754,5.475,186000
2011-05-11,5.336,5.491,5.421,141700
2011-05-12,5.315,5.57,5.528,141500
2011-05-13,5.415,5.534,5.47,180000
2011-05-16,5.357,5.499,5.418,95100
2011-05-17,5.395,5.47,5.434,107300
2011-05-18,5.357,5.541,5.482,209400
2011-05-19,5.376,5.518,5.441,85900
2011-05-20,5.337,5.441,5.363,83100
2011-05-23,5.295,5.386,5.334,82200
2011-05-24,5.25,5.482,5.424,128600
2011-05-25,5.373,5.431,5.415,74500
2011-05-26,5.386,5.528,5.495,85400
2011-05-27,5.482,5.589,5.56,123600
2011-05-31,5.55,5.641,5.615,255800
2011-06-01,5.415,5.663,5.45,227000
2011-06-02,5.276,5.512,5.366,171200
2011-06-03,5.27,5.353,5.289,85000
2011-06-06,5.212,5.408,5.231,109600
2011-06-07,5.195,5.321,5.25,89300
2011-06-08,5.183,5.341,5.183,181100
2011-06-09,5.128,5.237,5.147,108300
2011-06-10,5.112,5.221,5.125,124700
2011-06-13,5.128,5.212,5.176,91800
2011-06-14,5.192,5.437,5.383,185700
2011-06-15,5.254,5.379,5.26,204800
2011-06-16,5.321,5.595,5.366,190400
2011-06-17,5.308,5.479,5.418,187100
2011-06-20,5.386,5.463,5.402,68000
2011-06-21,5.395,5.444,5.402,129500
2011-06-22,5.295,5.434,5.305,142000
2011-06-23,5.218,5.402,5.295,227400
2011-06-24,5.166,5.315,5.195,535100
2011-06-27,5.17,5.279,5.244,80800
2011-06-28,5.186,5.292,5.292,128600
2011-06-29,5.199,5.324,5.321,72900
2011-06-30,5.315,5.428,5.389,122000
2011-07-01,5.321,5.45,5.434,227500
2011-07-05,5.328,5.508,5.499,280200
2011-07-06,5.447,5.563,5.499,177500
2011-07-07,5.45,5.534,5.499,135900
2011-07-08,5.37,5.515,5.402,249700
2011-07-11,5.276,5.46,5.318,484700
2011-07-12,5.221,5.379,5.221,92500
2011-07-13,5.105,5.328,5.17,163900
2011-07-14,5.076,5.305,5.121,98400
2011-07-15,5.054,5.163,5.105,129700
2011-07-18,5.034,5.179,5.083,94100
2011-07-19,5.002,5.16,5.118,153800
2011-07-20,4.889,5.105,4.934,199900
2011-07-21,4.937,5.025,5.008,135500
2011-07-22,4.95,5.044,4.983,80800
2011-07-25,4.731,4.95,4.757,307700
2011-07-26,4.708,4.876,4.85,546900
2011-07-27,4.796,5.105,4.854,6590700
2011-07-28,4.602,4.908,4.631,1227200
2011-07-29,4.528,4.683,4.647,537300
2011-08-01,3.157,4.125,3.567,4360900
2011-08-02,3.573,3.828,3.676,2260500
2011-08-03,3.676,3.973,3.938,930000
2011-08-04,3.809,3.98,3.818,931400
2011-08-05,3.596,3.938,3.664,481900
2011-08-08,3.325,3.706,3.357,808900
2011-08-09,3.248,3.673,3.522,726900
2011-08-10,3.467,3.815,3.689,1096800
2011-08-11,3.547,4.011,3.696,591000
2011-08-12,3.653,4.011,3.872,1124800
2011-08-15,3.799,4.011,3.888,368100
2011-08-16,3.762,3.928,3.819,404100
2011-08-17,3.749,3.885,3.839,337600
2011-08-18,3.6,3.772,3.626,519700
2011-08-19,3.497,3.673,3.533,364300
2011-08-22,3.484,3.636,3.537,240700
2011-08-23,3.507,3.676,3.669,243200
2011-08-24,3.567,3.746,3.713,187700
2011-08-25,3.53,3.733,3.66,243500
2011-08-26,3.537,3.729,3.709,183000
2011-08-29,3.699,3.918,3.912,266400
2011-08-30,3.786,3.908,3.835,291500
2011-08-31,3.742,3.908,3.879,1591000
2011-09-01,3.782,3.922,3.815,349200
2011-09-02,3.706,3.825,3.782,253300
2011-09-06,3.623,3.766,3.746,263700
2011-09-07,3.636,3.875,3.869,331600
2011-09-08,3.716,3.918,3.772,165000
2011-09-09,3.61,3.809,3.646,212800
2011-09-12,3.61,3.696,3.643,158800
2011-09-13,3.62,3.749,3.729,181000
2011-09-14,3.643,3.789,3.723,219300
2011-09-15,3.66,3.756,3.752,217500
2011-09-16,3.686,3.812,3.786,372300
2011-09-19,3.636,3.802,3.719,142300
2011-09-20,3.643,3.806,3.65,153100
2011-09-21,3.514,3.686,3.533,362100
2011-09-22,3.298,3.553,3.334,411700
2011-09-23,3.328,3.437,3.411,228800
2011-09-26,3.338,3.46,3.407,156400
2011-09-27,3.361,3.51,3.404,310800
2011-09-28,3.295,3.49,3.318,407400
2011-09-29,3.285,3.407,3.331,229100
2011-09-30,3.119,3.305,3.165,1264100
2011-10-03,2.9,3.185,2.9,507200
2011-10-04,2.608,3.069,2.87,1257000
2011-10-05,2.787,2.976,2.913,884600
2011-10-06,2.92,3.046,3.019,518600
2011-10-07,2.903,3.023,2.953,429900
2011-10-10,3.049,3.178,3.086,501800
2011-10-11,3.069,3.208,3.172,366000
2011-10-12,3.172,3.261,3.222,546000
2011-10-13,3.139,3.268,3.169,453300
2011-10-14,3.159,3.245,3.215,420300
2011-10-17,3.122,3.195,3.135,288100
2011-10-18,3.099,3.331,3.288,465600
2011-10-19,3.152,3.298,3.225,313900
2011-10-20,3.122,3.275,3.205,235600
2011-10-21,3.159,3.285,3.268,298800
2011-10-24,3.119,3.268,3.245,564100
2011-10-25,3.165,3.275,3.188,217900
2011-10-26,3.182,3.268,3.215,239900
