,Low,High,Close,Volume
2010-12-09,19.396,19.617,19.543,776700
2010-12-10,19.38,19.772,19.772,346600
2010-12-13,19.527,19.871,19.56,362800
2010-12-14,19.461,19.756,19.527,377300
2010-12-15,19.363,19.699,19.371,736800
2010-12-16,19.314,19.691,19.65,658500
2010-12-17,19.592,19.871,19.625,1605200
2010-12-20,19.511,19.895,19.715,1115900
2010-12-21,19.625,19.871,19.871,1123500
2010-12-22,19.658,19.921,19.781,649900
2010-12-23,19.658,19.871,19.732,449800
2010-12-27,19.51,19.806,19.789,385200
2010-12-28,19.551,19.806,19.608,473500
2010-12-29,19.617,19.921,19.732,620100
2010-12-30,19.592,19.781,19.625,211600
2010-12-31,19.551,19.74,19.551,451200
2011-01-03,19.625,19.871,19.691,678800
2011-01-04,19.066,19.723,19.419,547200
2011-01-05,19.255,19.863,19.723,1322300
2011-01-06,19.608,19.945,19.723,616400
2011-01-07,19.493,19.781,19.551,399200
2011-01-10,19.312,19.806,19.781,959600
2011-01-11,19.74,20.151,19.863,821500
2011-01-12,19.97,20.2,20.151,943300
2011-01-13,19.97,20.175,20.027,338200
2011-01-14,19.97,20.225,20.225,330000
2011-01-18,20.027,20.373,20.332,858000
2011-01-19,19.97,20.447,19.995,782800
2011-01-20,19.74,20.085,19.88,485900
2011-01-21,19.83,20.126,19.855,438400
2011-01-24,19.748,20.011,19.888,416400
2011-01-25,19.723,20.093,20.077,758900
2011-01-26,18.671,20.118,19.189,2570300
2011-01-27,18.787,19.214,18.902,1522500
2011-01-28,18.409,18.959,18.704,1950800
2011-01-31,18.745,19.025,19.025,1160300
2011-02-01,18.902,19.312,19.304,955700
2011-02-02,19.197,19.362,19.23,764900
2011-02-03,19.091,19.28,19.115,833100
2011-02-04,19.017,19.321,19.148,668200
2011-02-07,19.074,19.428,19.386,743300
2011-02-08,19.206,19.403,19.312,762800
2011-02-09,19.107,19.337,19.165,576700
2011-02-10,18.902,19.239,19.189,918000
2011-02-11,19.107,19.23,19.148,853300
2011-02-14,19.099,19.206,19.165,626500
2011-02-15,19.017,19.189,19.099,905100
2011-02-16,18.984,19.189,19.115,1339400
2011-02-17,19.082,19.181,19.132,898500
2011-02-18,18.984,19.214,19.181,950500
2011-02-22,18.893,19.066,18.951,1099500
2011-02-23,18.425,19.099,18.54,1730400
2011-02-24,18.228,18.77,18.409,1920700
2011-02-25,18.482,18.992,18.976,757800
2011-02-28,18.729,19.107,18.91,1009300
2011-03-01,18.491,18.984,18.491,1086500
2011-03-02,18.359,18.729,18.417,845200
2011-03-03,18.524,18.934,18.852,869100
2011-03-04,18.425,18.885,18.466,1041700
2011-03-07,18.392,18.721,18.441,711000
2011-03-08,18.433,18.951,18.918,664100
