,Low,High,Close,Volume
2010-12-09,11.718,12.255,11.957,1539000
2010-12-10,11.767,11.97,11.949,1234238
2010-12-13,11.731,12.078,11.744,1034775
2010-12-14,11.602,11.831,11.648,895388
2010-12-15,11.17,11.821,11.248,2470838
2010-12-16,11.075,11.579,11.561,1458675
2010-12-17,11.453,11.61,11.577,1087763
2010-12-20,11.533,11.728,11.561,925088
2010-12-21,11.569,11.895,11.859,790088
2010-12-22,11.389,11.916,11.402,901125
2010-12-23,11.32,11.492,11.397,459675
2010-12-27,11.255,11.469,11.427,564975
2010-12-28,11.091,11.525,11.163,1073925
2010-12-29,11.032,11.212,11.063,511313
2010-12-30,10.806,11.05,10.844,1476225
2010-12-31,10.703,10.929,10.721,1058400
2011-01-03,10.741,10.97,10.944,1557900
2011-01-04,10.549,11.078,10.757,2253150
2011-01-05,10.541,10.867,10.862,968963
2011-01-06,10.556,11.106,10.626,1011488
2011-01-07,10.407,10.672,10.549,806963
2011-01-10,10.346,10.546,10.415,1640250
2011-01-11,10.33,10.52,10.366,1127925
2011-01-12,10.497,10.98,10.906,2723963
2011-01-13,10.525,10.888,10.687,2018925
2011-01-14,10.59,10.831,10.813,1122863
2011-01-18,10.664,10.842,10.767,786038
2011-01-19,10.366,10.752,10.394,1886625
2011-01-20,10.191,10.451,10.251,1337175
2011-01-21,9.96,10.382,9.968,1562963
2011-01-24,9.773,10.22,10.027,1824525
2011-01-25,9.731,9.945,9.798,1317938
2011-01-26,9.716,10.171,10.155,1633500
2011-01-27,10.063,10.276,10.191,1102613
2011-01-28,9.654,10.233,9.693,1669950
2011-01-31,9.572,9.929,9.809,824513
2011-02-01,9.863,10.405,10.227,1376663
2011-02-02,10.04,10.32,10.204,1688850
2011-02-03,10.066,10.633,10.538,1369238
2011-02-04,10.382,10.718,10.664,1191713
2011-02-07,10.618,11.014,10.937,1227488
2011-02-08,10.813,11.063,11.052,461025
2011-02-09,10.78,11.15,10.844,1273725
2011-02-10,10.741,11.014,10.87,573750
2011-02-11,10.757,10.898,10.831,595350
2011-02-14,10.752,11.024,10.939,419513
2011-02-15,10.793,10.993,10.831,563963
2011-02-16,10.821,11.034,10.998,696938
2011-02-17,10.901,11.284,11.196,1186988
2011-02-18,11.248,11.492,11.448,2256525
2011-02-22,10.433,11.661,11.086,3487725
2011-02-23,10.561,11.291,10.729,2607863
2011-02-24,10.364,10.893,10.852,1544400
2011-02-25,10.762,11.06,10.998,1686488
2011-02-28,11.003,11.23,11.086,742163
2011-03-01,10.626,11.153,10.685,1508963
2011-03-02,10.515,10.991,10.839,644625
2011-03-03,10.975,11.397,11.278,1014863
2011-03-04,11.165,11.507,11.489,1005413
2011-03-07,11.492,11.751,11.648,1704713
2011-03-08,11.53,11.818,11.63,1787738
2011-03-09,11.546,11.893,11.877,897750
2011-03-10,11.433,12.003,11.885,1764788
2011-03-11,11.646,11.862,11.728,1065150
2011-03-14,11.368,11.715,11.505,630788
2011-03-15,11.001,11.52,11.391,738788
2011-03-16,11.224,11.512,11.263,906188
2011-03-17,11.032,11.51,11.05,828225
2011-03-18,10.862,11.178,10.962,1060088
2011-03-21,11.047,11.386,11.273,520425
2011-03-22,11.124,11.335,11.188,295650
2011-03-23,10.985,11.271,11.176,980438
2011-03-24,11.099,11.294,11.114,1226138
2011-03-25,11.124,11.597,11.515,1663200
2011-03-28,11.463,11.762,11.674,955125
2011-03-29,11.584,11.918,11.89,1637888
2011-03-30,11.867,12.067,12.062,1145138
2011-03-31,11.872,12.093,12.06,565313
2011-04-01,12.101,12.324,12.255,859275
2011-04-04,12.286,12.692,12.597,1787400
2011-04-05,12.507,12.861,12.635,1392525
2011-04-06,12.43,12.825,12.455,607500
