,Low,High,Close,Volume
2010-12-09,13.443,13.626,13.535,91200
2010-12-10,13.428,13.619,13.619,124100
2010-12-13,13.596,13.748,13.687,111800
2010-12-14,13.596,13.84,13.71,141100
2010-12-15,13.588,13.894,13.695,118400
2010-12-16,13.642,14.008,13.932,88300
2010-12-17,13.58,13.962,13.939,491100
2010-12-20,13.947,14.245,14.077,152900
2010-12-21,13.947,14.161,14.138,149300
2010-12-22,14.1,14.237,14.161,75600
2010-12-23,14.115,14.298,14.214,58700
2010-12-27,13.901,14.359,14.26,36200
2010-12-28,14.199,14.466,14.298,62200
2010-12-29,14.26,14.39,14.306,33300
2010-12-30,14.054,14.291,14.054,70000
2010-12-31,13.863,14.146,13.863,119600
2011-01-03,13.985,14.298,14.253,97700
2011-01-04,13.901,14.321,14.107,102900
2011-01-05,14.008,14.222,14.161,100800
2011-01-06,14.062,14.237,14.069,207600
2011-01-07,13.84,14.13,14.039,95700
2011-01-10,13.794,14.054,13.939,117000
2011-01-11,13.894,14.062,14.008,78700
2011-01-12,13.985,14.199,14.069,80600
2011-01-13,13.932,14.153,14.016,64700
2011-01-14,13.939,14.146,14.138,76800
2011-01-18,13.894,14.069,14.0,141300
2011-01-19,13.718,13.985,13.771,114500
2011-01-20,13.367,13.886,13.71,109300
2011-01-21,13.504,13.779,13.634,191800
2011-01-24,13.557,13.748,13.657,113200
2011-01-25,13.252,13.878,13.848,164600
2011-01-26,13.764,14.062,13.939,169100
2011-01-27,13.924,14.046,13.955,110700
2011-01-28,13.68,13.939,13.748,253900
2011-01-31,13.565,13.84,13.58,221400
2011-02-01,13.58,13.817,13.787,172400
2011-02-02,13.642,13.832,13.695,59600
2011-02-03,13.901,14.489,14.283,217500
2011-02-04,14.016,14.39,14.123,172600
2011-02-07,14.062,14.306,14.191,86100
2011-02-08,14.0,14.191,14.123,100900
2011-02-09,13.939,14.13,14.115,84000
2011-02-10,14.031,14.169,14.107,110700
2011-02-11,13.746,14.169,14.154,87100
2011-02-14,13.954,14.154,14.0,86500
2011-02-15,13.884,14.138,13.884,205000
