,Low,High,Close,Volume
2010-12-09,1.924,1.949,1.924,7500
2010-12-10,1.94,2.005,1.957,6100
2010-12-13,1.932,1.981,1.965,37800
2010-12-14,1.932,1.965,1.957,6600
2010-12-15,1.908,1.924,1.908,8700
2010-12-16,1.965,1.965,1.965,5100
2010-12-17,1.82,2.005,1.949,600
2010-12-20,1.86,1.949,1.924,7000
2010-12-21,1.836,1.9,1.836,10900
2010-12-22,1.828,1.924,1.876,13100
2010-12-23,1.836,1.965,1.932,3600
2010-12-27,1.82,1.876,1.82,22500
2010-12-28,1.812,1.892,1.828,4200
2010-12-29,1.884,1.973,1.884,65900
2010-12-30,1.844,1.908,1.884,26300
2010-12-31,1.844,1.924,1.844,35700
2011-01-03,1.852,1.94,1.86,13500
2011-01-04,1.884,2.085,2.037,17100
2011-01-05,2.029,2.309,2.221,54600
2011-01-06,2.205,2.277,2.261,34500
2011-01-07,2.205,2.261,2.229,9100
2011-01-10,2.205,2.245,2.205,28300
2011-01-11,2.125,2.309,2.269,22800
2011-01-12,2.285,2.309,2.309,6600
2011-01-13,2.325,2.382,2.349,22300
2011-01-14,2.382,2.398,2.398,4300
2011-01-18,2.462,2.63,2.502,112600
2011-01-19,2.422,2.502,2.502,23300
2011-01-20,2.43,2.51,2.486,153300
2011-01-21,2.43,2.534,2.534,151500
2011-01-24,2.494,2.598,2.566,85200
2011-01-25,2.518,2.558,2.518,13300
2011-01-26,2.518,2.566,2.558,52200
2011-01-27,2.518,2.582,2.582,9300
2011-01-28,2.47,2.582,2.582,16900
2011-01-31,2.478,2.582,2.582,37900
2011-02-01,2.47,2.582,2.582,9600
2011-02-02,2.494,2.598,2.598,2300
2011-02-03,2.574,2.638,2.59,90300
2011-02-04,2.534,2.606,2.606,7400
2011-02-07,2.598,2.967,2.895,54500
2011-02-08,2.855,2.967,2.943,20400
2011-02-09,2.855,3.023,2.999,22200
2011-02-10,2.807,2.975,2.919,4300
2011-02-11,2.895,3.039,3.039,10700
2011-02-14,2.983,3.079,3.079,18200
2011-02-15,3.079,3.199,3.135,51000
2011-02-16,3.143,3.24,3.24,23900
2011-02-17,3.055,3.64,3.608,279100
2011-02-18,3.472,3.6,3.528,36700
2011-02-22,3.408,3.769,3.44,20900
2011-02-23,3.231,3.801,3.328,29000
2011-02-24,3.336,3.424,3.416,2800
2011-02-25,3.304,3.576,3.424,10100
2011-02-28,3.272,3.496,3.328,21100
2011-03-01,3.199,3.304,3.231,21200
2011-03-02,2.927,3.28,3.127,46800
2011-03-03,3.143,3.272,3.256,13200
2011-03-04,3.223,3.336,3.28,5600
2011-03-07,3.127,3.336,3.151,18200
2011-03-08,3.063,3.223,3.135,3200
2011-03-09,2.726,3.304,3.103,45000
2011-03-10,3.071,3.159,3.159,700
2011-03-11,3.031,3.151,3.143,600
2011-03-14,2.927,3.079,3.079,12100
2011-03-15,2.895,3.127,3.071,4600
2011-03-16,3.039,3.135,3.079,7200
2011-03-17,2.983,3.103,3.103,5500
2011-03-18,3.015,3.135,3.071,24300
2011-03-21,2.999,3.159,3.119,31700
2011-03-22,3.111,3.312,3.304,5600
2011-03-23,3.103,3.32,3.24,5600
2011-03-24,3.087,3.288,3.167,24800
2011-03-25,3.151,3.264,3.199,13300
2011-03-28,3.063,3.207,3.103,43000
2011-03-29,3.127,3.207,3.135,5200
2011-03-30,3.103,3.207,3.199,7000
2011-03-31,3.135,3.207,3.199,8700
2011-04-01,3.135,3.207,3.135,5000
2011-04-04,3.055,3.207,3.095,9300
2011-04-05,3.055,3.264,3.248,32800
2011-04-06,3.071,3.264,3.223,50100
2011-04-07,3.103,3.231,3.191,6100
2011-04-08,3.071,3.183,3.127,5700
2011-04-11,3.071,3.175,3.175,4800
2011-04-12,2.774,3.191,3.063,52700
2011-04-13,2.823,3.191,3.167,20900
2011-04-14,2.967,3.183,2.991,7600
2011-04-15,3.023,3.159,3.159,4600
2011-04-18,3.023,3.231,3.167,23000
2011-04-19,3.079,3.223,3.191,18000
2011-04-20,3.063,3.215,3.159,36000
2011-04-21,3.055,3.231,3.231,3000
2011-04-25,3.055,3.215,3.087,6300
2011-04-26,3.087,3.087,3.087,0
2011-04-27,3.079,3.127,3.127,4000
2011-04-28,2.999,3.127,3.111,1200
2011-04-29,3.023,3.151,3.151,1600
2011-05-02,3.023,3.127,3.047,4600
2011-05-03,2.895,3.127,3.119,30000
2011-05-04,2.847,2.975,2.943,6600
2011-05-05,2.798,3.023,2.911,19100
2011-05-06,2.895,3.095,3.015,16000
2011-05-09,3.015,3.015,3.015,0
2011-05-10,2.887,3.015,3.007,3700
2011-05-11,2.774,2.991,2.943,12200
2011-05-12,2.815,3.087,2.919,3200
2011-05-13,2.734,2.943,2.734,14000
2011-05-16,2.558,2.798,2.718,16400
2011-05-17,2.462,2.758,2.678,12100
2011-05-18,2.374,2.887,2.887,42500
2011-05-19,2.766,2.879,2.871,1700
2011-05-20,2.839,2.871,2.871,12400
2011-05-23,2.494,2.798,2.798,37700
2011-05-24,2.622,2.79,2.75,28400
2011-05-25,2.726,2.807,2.807,26200
2011-05-26,2.638,2.807,2.807,1700
2011-05-27,2.646,2.887,2.887,11900
2011-05-31,2.726,2.943,2.943,8700
2011-06-01,2.935,2.991,2.991,3200
2011-06-02,2.991,2.991,2.991,0
2011-06-03,2.855,2.983,2.967,8600
2011-06-06,2.807,2.967,2.807,4300
2011-06-07,2.758,2.951,2.951,9300
2011-06-08,2.887,2.887,2.887,700
2011-06-09,2.887,2.887,2.887,700
2011-06-10,2.758,2.879,2.831,3300
2011-06-13,2.582,2.871,2.847,15200
2011-06-14,2.662,2.927,2.927,12600
2011-06-15,2.79,2.887,2.887,500
2011-06-16,2.774,2.855,2.774,1300
2011-06-17,2.686,2.807,2.807,1000
2011-06-20,2.807,2.807,2.807,0
2011-06-21,2.678,2.807,2.782,2800
2011-06-22,2.71,2.758,2.758,1600
2011-06-23,2.71,2.79,2.718,2500
2011-06-24,2.646,2.782,2.646,2600
2011-06-27,2.686,2.807,2.807,17700
2011-06-28,2.75,2.855,2.855,12900
2011-06-29,2.807,2.855,2.855,500
2011-06-30,2.742,2.855,2.855,2900
2011-07-01,2.847,2.903,2.903,2300
2011-07-05,2.79,2.935,2.895,4300
2011-07-06,2.798,2.927,2.839,7100
2011-07-07,2.79,2.927,2.927,6000
2011-07-08,2.807,2.927,2.919,4300
2011-07-11,2.871,2.927,2.927,600
2011-07-12,2.887,2.983,2.983,5500
2011-07-13,2.911,2.943,2.911,300
2011-07-14,2.919,2.927,2.919,200
2011-07-15,2.782,2.887,2.887,600
2011-07-18,2.758,2.887,2.887,800
2011-07-19,2.887,2.887,2.887,0
2011-07-20,2.887,2.887,2.887,0
2011-07-21,2.919,3.103,3.079,19000
2011-07-22,3.047,3.079,3.047,1100
2011-07-25,2.766,3.071,3.071,12500
2011-07-26,2.999,3.103,3.047,5200
2011-07-27,3.007,3.087,3.079,6600
2011-07-28,3.015,3.087,3.087,1000
2011-07-29,2.863,3.103,2.967,5100
2011-08-01,2.967,3.047,3.023,13000
