,Low,High,Close,Volume
2010-12-09,13.629,13.894,13.722,61400
2010-12-10,13.672,14.03,13.974,44900
2010-12-13,13.746,14.086,13.87,66200
2010-12-14,13.573,14.079,13.814,67100
2010-12-15,13.635,14.067,13.691,61700
2010-12-16,13.691,14.055,13.715,62300
2010-12-17,13.629,13.863,13.728,222400
2010-12-20,13.536,13.863,13.61,83600
2010-12-21,13.604,14.123,14.055,91000
2010-12-22,14.036,14.635,14.585,154500
2010-12-23,14.314,14.752,14.499,77700
2010-12-27,14.197,14.721,14.665,24600
2010-12-28,14.357,14.703,14.542,79500
2010-12-29,14.295,14.585,14.332,29300
2010-12-30,14.264,14.413,14.289,41900
2010-12-31,13.937,14.382,13.937,61000
2011-01-03,14.123,14.542,14.308,91000
2011-01-04,13.771,14.468,13.876,93100
2011-01-05,13.826,14.141,14.11,43400
2011-01-06,13.919,14.141,13.937,72000
2011-01-07,13.277,14.036,13.339,179400
2011-01-10,13.08,13.487,13.438,97600
2011-01-11,13.432,13.647,13.635,103200
2011-01-12,13.598,13.888,13.685,53000
2011-01-13,13.45,13.802,13.512,83600
2011-01-14,13.462,14.561,14.548,135400
2011-01-18,14.363,14.721,14.715,51400
2011-01-19,13.826,14.703,13.845,112900
2011-01-20,13.58,14.067,13.796,65400
2011-01-21,13.814,14.012,13.913,63900
2011-01-24,13.802,14.104,13.863,47600
2011-01-25,13.66,13.913,13.888,43600
2011-01-26,13.647,14.042,13.888,72000
2011-01-27,13.72,13.987,13.925,30200
2011-01-28,13.428,13.932,13.491,87000
2011-01-31,13.497,13.807,13.571,87900
2011-02-01,13.484,13.932,13.863,51000
2011-02-02,13.832,14.18,13.981,102300
2011-02-03,13.764,14.112,14.05,55900
2011-02-04,13.832,14.043,14.0,61200
2011-02-07,13.994,14.298,14.205,72300
2011-02-08,14.031,14.261,14.255,67700
2011-02-09,14.068,14.298,14.186,62100
2011-02-10,14.056,14.279,14.186,64400
2011-02-11,14.081,14.615,14.584,60600
2011-02-14,14.286,14.546,14.379,52100
2011-02-15,13.913,14.366,14.255,554200
2011-02-16,14.192,14.41,14.379,33500
2011-02-17,14.161,14.41,14.335,59000
2011-02-18,14.416,14.565,14.515,51100
2011-02-22,14.118,14.528,14.143,85300
2011-02-23,13.783,14.199,13.789,57600
2011-02-24,13.41,13.857,13.615,84100
2011-02-25,13.559,13.882,13.863,54500
2011-02-28,13.702,14.087,13.851,55900
2011-03-01,13.528,14.006,13.584,72700
2011-03-02,13.397,13.776,13.671,83400
2011-03-03,13.665,14.112,14.106,75300
2011-03-04,13.714,14.236,13.876,71800
2011-03-07,13.633,13.975,13.677,63700
2011-03-08,13.714,14.161,13.963,63200
2011-03-09,13.851,14.012,13.907,43800
2011-03-10,13.354,13.689,13.491,93300
2011-03-11,13.348,13.528,13.422,54500
2011-03-14,13.224,13.46,13.379,66200
2011-03-15,13.168,13.379,13.36,84100
2011-03-16,13.074,13.342,13.112,79700
2011-03-17,12.981,13.323,12.994,98400
2011-03-18,13.019,13.292,13.037,225900
2011-03-21,13.106,13.286,13.23,68600
2011-03-22,13.099,13.286,13.168,36600
2011-03-23,13.012,13.143,13.056,82200
2011-03-24,12.981,13.236,13.05,45200
2011-03-25,13.012,13.354,13.019,69400
2011-03-28,13.0,13.106,13.012,65300
2011-03-29,13.006,13.242,13.155,28900
2011-03-30,13.106,13.441,13.391,35700
2011-03-31,13.217,13.416,13.397,48800
2011-04-01,13.397,13.621,13.528,63100
2011-04-04,13.491,13.665,13.652,53800
2011-04-05,13.491,13.658,13.509,42200
2011-04-06,13.578,13.783,13.758,41100
2011-04-07,13.677,13.807,13.683,39300
2011-04-08,13.447,13.801,13.503,42200
2011-04-11,13.342,13.621,13.54,53300
2011-04-12,13.267,13.522,13.391,36300
2011-04-13,13.18,13.503,13.186,72200
2011-04-14,13.068,13.348,13.335,38800
2011-04-15,13.112,13.366,13.323,60300
2011-04-18,12.975,13.304,13.019,54300
2011-04-19,12.82,13.093,12.826,75500
2011-04-20,12.751,12.994,12.795,65200
2011-04-21,12.671,12.901,12.82,55000
2011-04-25,12.77,13.043,12.789,26000
2011-04-26,12.615,13.491,12.652,128100
2011-04-27,12.292,12.739,12.739,116000
2011-04-28,12.564,12.789,12.789,86600
2011-04-29,12.651,12.82,12.77,71000
2011-05-02,12.257,12.77,12.264,80000
