,Low,High,Close,Volume
2010-12-09,7.985,8.043,7.985,119850
2010-12-10,7.954,8.043,7.959,112200
2010-12-13,7.97,8.1,8.032,310050
2010-12-14,7.786,8.074,7.797,165300
2010-12-15,7.734,7.839,7.833,188100
2010-12-16,8.069,8.367,8.216,329700
2010-12-17,8.205,8.357,8.205,113100
2010-12-20,8.231,8.483,8.457,105750
2010-12-21,8.394,8.546,8.504,56850
2010-12-22,8.561,9.032,8.891,226350
2010-12-23,8.776,8.933,8.875,76050
2010-12-27,8.76,8.902,8.865,29550
2010-12-28,8.797,8.907,8.896,60300
2010-12-29,8.865,9.006,8.923,85350
2010-12-30,8.896,9.148,9.022,216600
2010-12-31,8.86,9.111,9.043,114450
2011-01-03,8.907,9.216,9.09,260100
2011-01-04,8.75,9.163,8.776,74700
2011-01-05,8.655,9.116,9.059,102150
2011-01-06,8.97,9.184,9.142,55650
2011-01-07,9.074,9.294,9.174,386100
2011-01-10,8.959,9.336,9.195,46200
2011-01-11,9.19,9.425,9.404,167250
2011-01-12,9.373,9.556,9.504,180000
2011-01-13,9.43,9.697,9.661,201300
2011-01-14,9.577,9.802,9.718,344400
2011-01-18,9.703,9.797,9.708,151950
2011-01-19,8.985,9.692,9.038,186000
2011-01-20,8.629,9.148,8.823,68850
2011-01-21,8.797,8.98,8.807,71850
2011-01-24,8.776,8.917,8.902,91800
2011-01-25,8.771,8.881,8.823,46500
2011-01-26,8.661,9.022,8.98,268200
2011-01-27,8.896,9.017,8.975,41550
2011-01-28,8.645,9.017,8.802,71400
2011-01-31,8.718,8.844,8.765,45150
2011-02-01,8.755,8.949,8.907,52350
2011-02-02,8.64,8.912,8.865,87300
2011-02-03,8.75,8.975,8.943,39150
2011-02-04,8.744,8.954,8.786,75750
2011-02-07,8.771,8.933,8.786,50250
2011-02-08,8.823,8.959,8.943,190050
2011-02-09,8.849,9.048,8.991,78750
2011-02-10,8.943,9.3,9.289,135150
2011-02-11,9.184,9.399,9.273,91500
2011-02-14,9.237,9.436,9.415,15600
2011-02-15,9.368,9.53,9.53,71400
2011-02-16,9.509,9.781,9.525,62550
2011-02-17,9.362,9.514,9.394,37500
2011-02-18,9.357,9.671,9.519,114900
2011-02-22,9.074,9.53,9.158,85350
2011-02-23,8.928,9.258,9.095,74250
2011-02-24,8.923,9.184,9.032,20850
2011-02-25,9.001,9.169,9.116,11400
2011-02-28,8.975,9.195,9.085,135750
2011-03-01,8.582,9.116,8.818,80550
2011-03-02,8.703,9.132,9.106,193500
2011-03-03,9.012,9.504,9.352,145350
2011-03-04,9.158,9.478,9.425,129300
2011-03-07,9.472,9.975,9.839,595650
2011-03-08,9.614,9.891,9.755,53400
2011-03-09,9.75,9.991,9.781,200400
2011-03-10,9.425,9.902,9.839,208050
2011-03-11,9.294,9.734,9.305,61800
2011-03-14,9.069,9.373,9.085,41250
2011-03-15,8.837,9.175,8.969,141600
2011-03-16,8.62,9.069,8.626,72000
2011-03-17,8.436,8.9,8.557,140850
2011-03-18,8.362,8.626,8.626,91950
2011-03-21,8.52,8.694,8.626,137700
2011-03-22,8.515,8.699,8.589,38400
2011-03-23,8.451,8.568,8.509,32550
2011-03-24,8.499,8.705,8.641,34200
2011-03-25,8.541,8.879,8.868,191400
2011-03-28,8.779,9.037,8.969,69150
2011-03-29,8.805,8.948,8.831,64650
2011-03-30,8.536,8.816,8.631,264900
2011-03-31,8.62,8.905,8.853,79650
2011-04-01,8.747,9.212,8.905,73950
2011-04-04,8.715,9.122,8.921,340350
2011-04-05,8.884,9.254,9.196,514050
2011-04-06,8.699,9.285,8.948,520950
2011-04-07,8.699,9.08,8.8,35850
2011-04-08,8.81,9.127,9.037,207600
2011-04-11,8.921,9.085,8.974,102750
2011-04-12,8.647,8.842,8.673,32400
2011-04-13,8.684,8.948,8.905,58200
2011-04-14,8.715,9.338,9.206,117900
2011-04-15,9.064,9.301,9.074,62700
2011-04-18,8.61,8.926,8.657,33600
2011-04-19,8.425,8.726,8.43,34500
2011-04-20,8.546,8.657,8.626,76200
2011-04-21,8.594,8.758,8.705,79650
2011-04-25,8.583,8.71,8.71,40950
2011-04-26,8.594,8.731,8.599,91800
2011-04-27,8.552,8.657,8.604,81000
2011-04-28,8.52,8.647,8.583,61500
2011-04-29,8.504,8.874,8.773,552000
2011-05-02,8.483,8.874,8.552,486450
2011-05-03,8.003,8.552,8.251,157500
2011-05-04,8.156,8.319,8.214,187950
2011-05-05,8.055,8.446,8.372,144600
2011-05-06,8.335,8.721,8.562,187500
2011-05-09,8.478,8.678,8.631,106500
2011-05-10,8.594,8.821,8.747,109200
2011-05-11,8.626,8.784,8.721,144000
2011-05-12,8.625,8.981,8.971,84300
2011-05-13,8.896,9.115,9.115,75000
2011-05-16,9.04,9.184,9.131,127500
2011-05-17,9.072,9.28,9.131,107250
2011-05-18,9.152,10.339,9.956,168900
2011-05-19,9.727,10.115,9.769,133200
2011-05-20,9.274,10.062,9.956,157350
2011-05-23,9.604,10.706,9.982,108450
2011-05-24,9.498,9.977,9.594,156300
2011-05-25,9.461,9.844,9.743,263850
2011-05-26,9.594,9.748,9.631,55950
2011-05-27,9.477,9.817,9.743,39300
2011-05-31,9.583,9.817,9.78,65400
2011-06-01,9.578,9.823,9.588,31500
2011-06-02,8.854,9.583,9.173,171750
2011-06-03,8.87,9.253,9.051,70500
2011-06-06,8.912,9.109,8.955,75000
2011-06-07,8.854,9.274,8.902,21300
2011-06-08,8.454,8.88,8.79,73500
2011-06-09,8.699,9.045,8.811,26550
2011-06-10,8.609,9.152,8.662,59100
2011-06-13,8.747,9.833,9.652,467400
2011-06-14,9.572,9.934,9.924,201600
2011-06-15,9.407,9.918,9.61,202500
2011-06-16,9.333,9.69,9.514,75900
2011-06-17,8.971,9.594,9.258,157050
2011-06-20,8.635,9.365,9.285,247500
2011-06-21,9.024,9.365,9.237,324600
2011-06-22,9.226,9.743,9.551,289500
2011-06-23,8.939,9.807,9.477,228900
2011-06-24,9.067,9.663,9.237,5734500
2011-06-27,8.955,9.258,9.083,277950
2011-06-28,9.035,9.306,9.301,241050
2011-06-29,9.349,9.556,9.461,131250
2011-06-30,9.525,9.743,9.615,180000
2011-07-01,9.588,9.897,9.737,172350
2011-07-05,9.626,9.823,9.812,170400
2011-07-06,9.349,9.844,9.493,221550
2011-07-07,9.461,9.94,9.934,228450
2011-07-08,9.844,10.03,9.929,145050
2011-07-11,9.684,10.036,9.732,94200
2011-07-12,9.455,9.903,9.69,88200
2011-07-13,9.413,9.839,9.658,107850
2011-07-14,9.37,9.823,9.407,99750
2011-07-15,9.184,9.514,9.498,94950
2011-07-18,9.237,9.498,9.29,122250
2011-07-19,9.381,9.588,9.578,156150
2011-07-20,9.375,9.583,9.45,122250
2011-07-21,9.418,9.823,9.796,85650
2011-07-22,9.775,10.35,10.195,184050
2011-07-25,9.993,10.339,10.094,256500
2011-07-26,9.903,10.185,10.078,235350
2011-07-27,9.583,10.121,9.908,150600
2011-07-28,9.525,9.988,9.722,123600
2011-07-29,9.636,10.648,10.632,306600
2011-08-01,10.669,11.175,10.834,562650
2011-08-02,9.887,10.76,9.897,349800
2011-08-03,9.338,10.206,10.179,286650
2011-08-04,9.391,10.089,9.45,250350
2011-08-05,9.003,9.626,9.301,183900
2011-08-08,8.05,9.354,8.215,302250
2011-08-09,7.938,8.678,8.524,318750
2011-08-10,7.565,8.593,7.571,345300
2011-08-11,7.608,8.06,8.013,436650
2011-08-12,7.874,8.231,8.066,169350
2011-08-15,7.953,8.453,8.377,215100
2011-08-16,8.103,8.437,8.152,207000
2011-08-17,7.749,8.302,7.765,195600
2011-08-18,6.873,7.604,7.077,320700
2011-08-19,6.862,7.26,6.867,203400
2011-08-22,6.781,7.131,6.98,638850
2011-08-23,6.959,7.867,7.845,208500
2011-08-24,7.459,7.991,7.813,183600
2011-08-25,7.496,8.001,7.545,164400
2011-08-26,7.292,8.42,8.41,192900
2011-08-29,8.211,9.14,8.662,194250
2011-08-30,8.442,8.818,8.582,135900
2011-08-31,8.404,8.942,8.571,139800
2011-09-01,8.447,9.205,8.689,218250
2011-09-02,7.883,8.485,7.899,129000
2011-09-06,7.351,7.867,7.588,139050
2011-09-07,7.566,8.334,8.324,208800
2011-09-08,7.921,8.259,7.969,83250
2011-09-09,7.48,8.007,7.824,154500
2011-09-12,7.227,8.109,7.528,156900
2011-09-13,7.561,8.437,8.27,107550
2011-09-14,8.211,8.705,8.566,146100
2011-09-15,8.442,8.673,8.533,60750
2011-09-16,8.56,8.705,8.614,104850
2011-09-19,8.13,8.759,8.291,62850
2011-09-20,8.302,9.226,8.603,130950
2011-09-21,7.996,8.689,8.044,100500
2011-09-22,7.346,8.727,7.571,208950
2011-09-23,7.464,8.007,7.98,81000
2011-09-26,7.684,8.281,7.937,156600
2011-09-27,7.421,8.302,7.577,301800
2011-09-28,7.523,8.12,7.534,267600
2011-09-29,7.491,7.829,7.824,160950
2011-09-30,7.485,8.001,7.749,169650
2011-10-03,7.244,7.856,7.244,232200
2011-10-04,6.83,8.023,7.969,256950
2011-10-05,7.835,8.598,8.512,107700
2011-10-06,8.308,8.802,8.506,115800
2011-10-07,7.985,8.517,8.152,87300
2011-10-10,8.205,8.651,8.646,95100
2011-10-11,8.141,8.657,8.598,107700
2011-10-12,8.49,8.727,8.609,82500
2011-10-13,8.404,8.705,8.463,45150
2011-10-14,8.453,8.823,8.721,64950
2011-10-17,8.426,8.598,8.49,79950
2011-10-18,8.291,8.942,8.829,134550
2011-10-19,8.678,9.044,8.872,88350
2011-10-20,8.587,8.92,8.705,74850
2011-10-21,8.866,9.237,9.13,110100
2011-10-24,9.119,9.49,9.146,163500
2011-10-25,8.7,8.915,8.732,100650
2011-10-26,8.526,9.285,9.209,107400
2011-10-27,9.177,9.588,9.469,310050
2011-10-28,9.301,9.686,9.42,94050
2011-10-31,9.095,9.426,9.128,87450
2011-11-01,8.374,8.824,8.494,130650
2011-11-02,7.556,8.878,7.968,721350
2011-11-03,8.228,8.738,8.477,600450
2011-11-04,8.25,8.629,8.548,515700
2011-11-07,8.461,8.635,8.58,837900
2011-11-08,8.326,8.797,8.77,457200
2011-11-09,8.206,8.548,8.266,184950
2011-11-10,7.453,8.504,7.643,357750
2011-11-11,7.55,8.103,8.087,166050
2011-11-14,7.718,8.195,7.843,110850
2011-11-15,7.621,7.962,7.784,124350
2011-11-16,7.518,7.773,7.561,133200
2011-11-17,7.29,7.637,7.453,273000
2011-11-18,7.42,7.664,7.485,158700
2011-11-21,7.334,7.507,7.41,217050
2011-11-22,7.073,7.415,7.133,226200
2011-11-23,6.873,7.128,6.992,174450
2011-11-25,6.927,7.187,7.101,106950
2011-11-28,7.35,7.653,7.567,195150
2011-11-29,7.247,7.48,7.377,72000
2011-11-30,7.453,7.968,7.859,245850
2011-12-01,7.599,7.865,7.605,107400
2011-12-02,7.616,7.881,7.832,65700
2011-12-05,7.74,8.087,8.065,169200
2011-12-06,7.924,8.212,8.109,122850
2011-12-07,7.919,8.168,8.13,64350
2011-12-08,7.61,8.055,7.632,88800
2011-12-09,7.523,8.0,7.832,138900
2011-12-12,7.588,7.87,7.854,131400
2011-12-13,7.583,7.908,7.626,411300
2011-12-14,7.507,7.718,7.708,118800
2011-12-15,7.691,7.984,7.729,174450
2011-12-16,7.334,7.821,7.372,183150
2011-12-19,6.846,7.48,6.857,98250
2011-12-20,6.943,7.301,7.29,149850
2011-12-21,7.155,7.399,7.317,47700
2011-12-22,7.128,7.339,7.204,62100
2011-12-23,7.166,7.317,7.301,79200
2011-12-27,7.166,7.35,7.344,142950
2011-12-28,7.079,7.35,7.155,118200
2011-12-29,7.139,7.328,7.317,144600
2011-12-30,7.166,7.399,7.328,115950
2012-01-03,7.496,7.773,7.616,131700
2012-01-04,7.307,7.854,7.328,99900
2012-01-05,7.101,7.377,7.133,146100
2012-01-06,7.019,7.247,7.036,172200
2012-01-09,6.662,7.106,6.743,96000
2012-01-10,6.699,7.03,7.025,175500
2012-01-11,6.922,7.111,7.09,138450
2012-01-12,6.987,7.149,7.073,68100
2012-01-13,6.911,7.046,6.943,81150
2012-01-17,6.737,7.046,6.792,126900
2012-01-18,6.802,7.263,7.182,137700
2012-01-19,6.976,7.307,7.084,103950
2012-01-20,6.987,7.312,7.258,162600
2012-01-23,7.209,7.41,7.279,65700
2012-01-24,7.133,7.247,7.144,85800
2012-01-25,7.084,7.247,7.214,138150
2012-01-26,7.106,7.236,7.166,146700
2012-01-27,7.133,7.193,7.166,48000
2012-01-30,6.775,7.101,7.046,600600
2012-01-31,7.057,7.16,7.084,107100
2012-02-01,7.079,7.29,7.198,225600
2012-02-02,7.101,7.236,7.209,67350
2012-02-03,7.269,7.865,7.838,115500
2012-02-06,7.643,7.838,7.735,61050
2012-02-07,7.626,7.816,7.691,114150
2012-02-08,7.491,7.74,7.545,59550
2012-02-09,7.48,7.702,7.529,76200
2012-02-10,7.301,7.534,7.334,58800
2012-02-13,7.383,7.602,7.536,88200
2012-02-14,7.065,7.498,7.147,136500
2012-02-15,7.087,7.301,7.197,105600
2012-02-16,7.164,7.416,7.301,126000
