,Low,High,Close,Volume
2010-12-09,11.724,12.078,11.844,4574400
2010-12-10,11.71,11.943,11.809,2986000
2010-12-13,11.929,12.113,11.958,3973100
2010-12-14,11.908,12.092,12.064,3266400
2010-12-15,11.972,12.156,12.057,3748900
2010-12-16,11.887,12.721,12.467,6309000
2010-12-17,12.424,12.87,12.792,11256100
2010-12-20,12.622,12.962,12.757,4097200
2010-12-21,12.622,12.891,12.884,3441600
2010-12-22,12.806,13.025,12.933,2027800
2010-12-23,12.849,13.004,12.891,1722000
2010-12-27,12.714,12.884,12.806,1218000
2010-12-28,12.764,12.933,12.806,1146400
2010-12-29,12.76,13.108,13.037,2066300
2010-12-30,12.994,13.236,13.087,2217600
2010-12-31,12.952,13.172,12.994,2548500
2011-01-03,13.072,13.285,13.172,3571700
2011-01-04,12.796,13.314,13.072,3791700
2011-01-05,12.945,13.356,13.243,3256000
2011-01-06,13.179,13.548,13.371,5943600
2011-01-07,13.25,13.74,13.328,6722400
2011-01-10,13.143,13.335,13.2,4127100
2011-01-11,13.243,13.449,13.427,2724300
2011-01-12,13.413,13.655,13.484,3608100
2011-01-13,13.193,13.605,13.243,2814300
2011-01-14,12.859,13.364,12.952,4780000
2011-01-18,12.987,13.165,13.158,5143200
2011-01-19,12.504,13.158,12.547,3852500
2011-01-20,12.384,12.739,12.739,4697500
2011-01-21,12.497,13.023,12.583,4210700
2011-01-24,12.306,12.959,12.838,6115300
2011-01-25,12.632,13.03,13.009,3405700
2011-01-26,13.023,13.555,13.513,5441600
2011-01-27,12.973,13.562,13.158,3283400
2011-01-28,12.76,13.335,12.845,4389400
2011-01-31,12.774,13.023,12.923,5535800
2011-02-01,12.909,13.271,13.229,5715000
2011-02-02,13.136,13.463,13.42,4326200
2011-02-03,13.207,13.477,13.435,3911700
2011-02-04,13.214,13.633,13.456,4988700
2011-02-07,13.477,13.669,13.548,3578500
2011-02-08,13.335,13.669,13.47,2120500
2011-02-09,13.229,13.491,13.328,3655700
2011-02-10,13.172,13.491,13.399,3159800
2011-02-11,13.129,13.378,13.364,3270300
2011-02-14,13.364,13.917,13.811,4252100
2011-02-15,13.775,14.123,13.839,3146500
2011-02-16,13.988,14.393,14.365,6055300
2011-02-17,14.294,14.613,14.528,5535000
