,Low,High,Close,Volume
2025-07-30,90.146,91.788,91.305,3074400
2025-07-31,90.822,92.745,91.286,1964100
2025-08-01,90.387,92.03,90.957,2693000
2025-08-04,91.933,93.131,93.131,1445300
2025-08-05,92.764,93.895,93.238,1410000
2025-08-06,93.576,94.011,93.721,1348800
2025-08-07,94.011,94.445,94.291,1291000
2025-08-08,94.107,94.581,94.204,826000
2025-08-11,94.557,95.006,94.735,1357500
2025-08-12,93.991,95.16,94.484,818400
2025-08-13,94.349,94.88,94.59,759100
2025-08-14,94.3,94.871,94.697,822000
2025-08-15,93.888,95.369,94.443,650800
2025-08-18,92.963,94.716,93.761,715300
2025-08-19,89.816,93.761,91.18,1311600
2025-08-20,90.138,92.044,91.56,821900
2025-08-21,91.18,92.086,91.998,419900
2025-08-22,91.687,93.323,92.592,722500
2025-08-25,92.057,92.787,92.641,566000
2025-08-26,92.466,93.323,93.187,355500
2025-08-27,93.187,94.443,94.024,506800
2025-08-28,94.2,95.096,94.891,579900
2025-08-29,94.726,95.369,95.223,3887600
2025-09-02,94.687,95.564,94.96,688400
2025-09-03,95.028,95.885,95.145,606000
2025-09-04,94.823,95.407,94.94,631000
2025-09-05,94.981,95.437,95.077,410100
2025-09-08,94.93,95.369,95.038,375000
2025-09-09,94.677,95.164,94.814,318300
2025-09-10,94.784,95.125,94.882,313500
2025-09-11,94.736,95.018,94.852,308600
2025-09-12,94.623,95.262,94.736,472300
2025-09-15,94.925,95.521,95.21,333500
2025-09-16,94.935,95.8,95.259,281500
2025-09-17,95.191,95.642,95.564,249800
2025-09-18,95.407,96.389,95.8,328300
2025-09-19,95.701,96.036,95.996,283300
2025-09-22,95.81,96.045,95.849,231900
2025-09-23,95.701,96.045,95.701,214200
2025-09-24,95.8,96.045,95.8,134600
2025-09-25,95.191,95.79,95.23,533100
2025-09-26,95.269,95.593,95.308,306800
2025-09-29,95.259,95.647,95.358,277000
2025-09-30,95.348,95.76,95.367,423100
2025-10-01,95.701,96.537,96.271,620600
2025-10-02,96.861,98.256,97.244,989600
2025-10-03,96.93,97.667,97.274,763300
2025-10-06,97.306,97.863,97.421,856700
2025-10-07,96.831,97.667,96.979,609900
2025-10-08,96.861,97.303,97.175,417300
2025-10-09,96.939,97.548,97.028,504600
2025-10-10,96.91,97.46,96.91,1054300
2025-10-13,97.176,97.46,97.303,682400
2025-10-14,97.057,97.323,97.077,901100
2025-10-15,97.329,97.712,97.507,567600
2025-10-16,96.219,97.775,96.437,813000
2025-10-17,95.892,97.18,96.536,954700
2025-10-20,97.329,97.923,97.745,600700
2025-10-21,97.557,97.883,97.75,373600
2025-10-22,97.031,97.824,97.249,560300
2025-10-23,97.279,97.795,97.795,481500
2025-10-24,97.735,98.02,97.834,534400
2025-10-27,97.438,98.052,97.626,706100
2025-10-28,97.621,97.963,97.725,591000
2025-10-29,97.725,98.023,97.844,886600
2025-10-30,97.894,98.141,98.013,994500
2025-10-31,98.26,98.756,98.498,1449500
2025-11-03,98.607,98.964,98.726,1233000
2025-11-04,98.667,99.252,98.855,1518000
2025-11-05,98.994,99.301,99.123,1016000
2025-11-06,98.969,99.311,99.004,1218800
2025-11-07,98.28,99.162,98.3,1508000
2025-11-10,98.815,99.143,99.073,1214900
2025-11-11,99.053,99.182,99.113,766500
2025-11-12,99.063,99.212,99.123,1776400
2025-11-13,96.952,99.178,97.75,2691900
2025-11-14,97.08,99.41,97.76,1976800
2025-11-17,92.472,98.4,94.58,2884000
2025-11-18,94.315,97.1,96.39,1395600
2025-11-19,91.13,96.9,94.59,2099100
2025-11-20,90.68,96.5,92.79,1835700
2025-11-21,90.52,95.89,95.38,2306300
2025-11-24,95.4,97.59,96.38,1098600
2025-11-25,95.7,97.24,96.29,558400
2025-11-26,96.69,97.57,97.17,545700
2025-11-28,96.6,97.91,96.66,523500
2025-12-01,95.57,96.94,96.41,988500
2025-12-02,97.25,98.0,97.8,773400
2025-12-03,98.1,98.7,98.2,597100
2025-12-04,97.87,98.71,98.2,518800
2025-12-05,97.696,98.25,98.19,561500
2025-12-08,98.46,98.79,98.53,548600
