,Low,High,Close,Volume
2025-06-06,82.321,84.006,82.321,1338500
2025-06-09,82.08,84.728,83.765,505900
2025-06-10,83.765,85.681,85.065,424400
2025-06-11,84.256,89.946,85.267,1309200
2025-06-12,84.834,85.691,85.152,386400
2025-06-13,83.573,85.325,84.473,358400
2025-06-16,84.247,85.209,84.728,192000
2025-06-17,83.573,84.728,83.765,220500
2025-06-18,83.765,84.487,83.861,179000
2025-06-20,83.765,84.247,83.948,119100
2025-06-23,83.284,84.083,83.996,155900
2025-06-24,83.303,84.15,83.852,206500
2025-06-25,83.428,84.324,83.871,150000
2025-06-26,83.616,84.264,84.064,404500
2025-06-27,83.842,84.632,84.15,182900
2025-06-30,84.304,86.413,86.413,1872200
2025-07-01,85.931,87.068,86.442,420100
2025-07-02,86.76,92.204,90.033,761500
2025-07-03,90.669,92.508,91.708,218900
2025-07-07,90.274,92.575,90.481,355900
2025-07-08,89.301,90.986,89.35,378700
2025-07-09,89.821,90.697,90.62,404400
2025-07-10,90.722,92.227,91.323,346200
2025-07-11,90.635,92.392,91.468,225900
2025-07-14,89.913,93.212,90.447,219200
2025-07-15,89.205,90.601,89.812,91700
2025-07-16,89.552,90.463,90.216,96600
2025-07-17,89.686,90.746,90.476,76700
2025-07-18,89.735,90.89,89.735,99000
2025-07-21,89.572,90.212,89.773,96500
2025-07-22,86.596,89.455,87.52,213000
2025-07-23,84.988,87.52,85.595,156000
2025-07-24,83.871,86.099,84.507,234900
2025-07-25,81.84,84.738,82.562,408100
2025-07-28,81.406,84.439,81.705,246100
2025-07-29,80.492,82.128,80.78,304600
2025-07-30,80.877,82.229,81.194,258600
2025-07-31,81.373,83.332,82.225,339100
2025-08-01,81.262,82.456,81.281,321100
2025-08-04,81.657,82.6,82.013,95100
2025-08-05,81.117,82.071,81.117,168900
2025-08-06,81.108,82.802,82.533,135000
2025-08-07,82.099,83.573,83.139,135700
2025-08-08,82.35,83.573,82.802,96100
2025-08-11,82.802,83.284,82.918,207500
2025-08-12,82.331,83.38,82.822,116400
2025-08-13,82.629,83.187,82.716,78800
2025-08-14,81.888,82.995,82.138,85200
2025-08-15,81.108,82.475,81.724,109400
2025-08-18,79.972,81.84,80.039,135400
2025-08-19,74.291,80.684,76.438,214800
2025-08-20,74.474,76.737,76.4,186300
2025-08-21,75.822,77.314,76.063,104000
2025-08-22,75.729,77.31,76.862,124000
2025-08-25,75.937,76.737,76.303,54200
2025-08-26,76.063,77.122,77.006,65300
2025-08-27,76.65,77.478,77.016,88700
2025-08-28,76.64,77.411,77.025,93900
2025-08-29,76.117,77.343,76.313,140700
2025-09-02,75.533,76.544,75.822,254600
2025-09-03,75.591,76.823,75.774,327700
2025-09-04,74.926,76.206,75.225,274100
2025-09-05,75.004,76.053,75.581,281800
2025-09-08,75.347,77.016,76.737,133200
2025-09-09,76.823,77.796,77.266,131400
2025-09-10,77.507,78.412,78.316,150700
2025-09-11,78.287,78.903,78.662,137100
2025-09-12,78.566,79.394,79.134,170600
2025-09-15,78.8,79.8,79.25,100500
2025-09-16,78.19,79.25,78.84,190400
2025-09-17,78.13,78.88,78.62,124200
2025-09-18,78.14,78.92,78.68,135800
2025-09-19,78.75,79.068,78.9,104200
2025-09-22,78.85,80.12,79.55,310600
2025-09-23,79.1,79.59,79.29,116500
2025-09-24,79.1,79.59,79.3,75900
2025-09-25,78.3,79.59,78.5,107000
2025-09-26,78.24,79.231,78.5,100400
2025-09-29,78.738,79.48,79.3,153800
2025-09-30,78.71,79.48,78.71,132800
2025-10-01,79.12,81.9,81.65,218200
2025-10-02,82.0,82.95,82.78,114700
2025-10-03,82.867,84.88,83.42,155400
2025-10-06,83.71,84.685,84.15,227300
2025-10-07,82.93,84.52,83.68,187900
2025-10-08,82.98,83.848,83.12,73800
2025-10-09,81.95,83.39,82.02,86700
2025-10-10,80.0,82.261,81.0,135900
2025-10-13,80.0,81.5,80.81,115100
2025-10-14,79.75,80.4,80.06,212900
2025-10-15,79.5,80.42,79.74,221400
2025-10-16,78.74,80.08,78.97,174700
2025-10-17,78.102,79.125,78.63,179200
2025-10-20,79.08,80.8,79.35,165300
2025-10-21,79.02,79.99,79.32,82400
2025-10-22,79.0,79.46,79.06,128100
2025-10-23,78.49,79.391,79.0,88800
2025-10-24,79.05,79.86,79.86,109400
2025-10-27,79.8,81.0,80.08,171000
2025-10-28,78.13,80.25,78.3,205800
2025-10-29,77.74,79.7,78.0,164600
2025-10-30,77.0,78.0,77.1,216600
2025-10-31,77.3,80.01,77.34,239600
2025-11-03,76.5,78.49,78.14,219800
2025-11-04,77.1,77.95,77.2,133500
2025-11-05,76.92,81.4,76.985,367400
2025-11-06,75.25,78.0,76.73,617000
2025-11-07,74.02,77.2,75.51,431600
2025-11-10,74.64,76.973,75.2,265300
2025-11-11,74.81,75.5,74.97,113900
2025-11-12,74.4,75.475,74.62,118900
2025-11-13,69.91,74.98,70.22,689900
2025-11-14,69.51,72.37,70.88,458000
2025-11-17,65.01,71.465,65.2,389200
2025-11-18,65.55,67.484,66.76,1223500
2025-11-19,64.17,67.798,66.43,971800
2025-11-20,65.7,67.99,66.36,412500
2025-11-21,65.25,68.5,67.54,414800
2025-11-24,67.53,71.68,71.12,291600
2025-11-25,70.5,72.8,71.95,125900
2025-11-26,71.89,75.54,74.81,275500
2025-11-28,76.41,78.0,77.7,354900
2025-12-01,76.55,78.0,77.59,580800
2025-12-02,77.844,79.94,78.85,650300
2025-12-03,78.8,79.99,79.75,286100
2025-12-04,79.05,80.13,80.13,173400
2025-12-05,78.57,80.406,79.3,179200
2025-12-08,79.5,80.872,80.05,346800
