,Low,High,Close,Volume
2025-02-03,75.037,80.482,78.351,208000
2025-02-04,77.641,80.719,78.825,97400
2025-02-05,77.878,83.038,78.721,295700
2025-02-06,80.056,89.95,80.103,658900
2025-02-07,80.719,83.209,81.807,847800
2025-02-10,83.322,85.207,84.743,616600
2025-02-11,84.61,86.911,84.809,335700
2025-02-12,83.341,87.346,85.216,459900
2025-02-13,84.743,85.462,85.462,246500
2025-02-14,85.235,89.335,89.041,242900
2025-02-18,88.207,93.738,93.359,541700
2025-02-19,90.329,94.921,90.689,383400
2025-02-20,90.899,93.264,92.554,222200
2025-02-21,87.223,93.832,88.066,225700
2025-02-24,87.583,89.751,88.151,200400
2025-02-25,84.269,87.435,85.926,376800
2025-02-26,84.751,89.6,88.18,526900
2025-02-27,86.636,89.477,86.722,382300
2025-02-28,86.21,89.6,87.488,1281600
2025-03-03,84.743,89.95,85.443,274200
2025-03-04,84.743,88.473,87.631,191700
2025-03-05,87.346,89.477,89.335,140500
2025-03-06,87.488,89.382,89.382,177000
2025-03-07,87.025,89.098,87.488,90900
2025-03-10,79.014,85.074,80.292,765900
2025-03-11,80.482,83.862,82.404,331600
2025-03-12,81.476,83.322,82.612,183600
2025-03-13,82.139,84.345,82.158,221800
2025-03-14,83.689,85.197,84.861,329300
2025-03-17,83.641,86.936,84.726,138300
2025-03-18,80.98,84.534,81.624,284200
2025-03-19,80.404,83.237,80.596,501500
2025-03-20,78.78,80.455,79.731,494000
2025-03-21,79.251,82.932,81.652,749500
2025-03-24,81.652,84.774,83.209,551400
2025-03-25,82.863,84.39,83.603,377500
2025-03-26,82.133,84.054,83.036,149200
2025-03-27,81.816,83.719,82.555,146100
2025-03-28,80.308,82.92,80.769,196500
2025-03-31,79.818,81.643,80.701,298800
2025-04-01,80.586,84.534,83.055,289100
2025-04-02,81.912,84.043,82.334,108300
2025-04-03,80.212,83.574,80.317,145200
2025-04-04,80.365,82.613,80.596,212600
2025-04-07,78.089,80.586,78.598,205400
2025-04-08,77.868,80.529,77.935,146400
