,Low,High,Close,Volume
2010-12-09,10.868,11.171,11.112,27600
2010-12-10,11.094,11.365,11.343,43350
2010-12-13,11.248,11.356,11.302,34650
2010-12-14,11.234,11.374,11.293,41100
2010-12-15,11.184,11.338,11.234,35400
2010-12-16,11.153,11.347,11.302,24150
2010-12-17,11.103,11.302,11.148,81150
2010-12-20,11.126,11.198,11.126,13650
2010-12-21,11.098,11.225,11.216,22950
2010-12-22,11.148,11.302,11.302,27300
2010-12-23,11.216,11.302,11.275,9600
2010-12-27,11.248,11.302,11.297,15000
2010-12-28,11.266,11.302,11.27,16650
2010-12-29,11.189,11.297,11.221,12600
2010-12-30,11.184,11.324,11.221,11700
2010-12-31,11.098,11.284,11.098,12600
2011-01-03,11.162,11.478,11.293,65100
2011-01-04,11.013,11.352,11.013,21450
2011-01-05,11.026,11.288,11.252,18450
2011-01-06,11.008,11.239,11.107,16350
2011-01-07,10.854,11.211,11.094,25650
2011-01-10,10.994,11.107,11.085,18600
2011-01-11,11.053,11.184,11.184,21300
2011-01-12,11.184,11.279,11.225,12450
2011-01-13,11.062,11.302,11.153,22350
2011-01-14,11.153,11.302,11.293,21600
2011-01-18,11.058,11.243,11.243,14700
2011-01-19,10.814,11.189,10.85,48000
2011-01-20,10.759,10.895,10.777,42900
2011-01-21,10.787,10.877,10.823,29250
2011-01-24,10.814,10.913,10.9,16500
2011-01-25,10.841,11.107,10.881,29100
2011-01-26,10.827,11.058,11.058,23550
2011-01-27,10.881,11.067,10.949,20250
2011-01-28,10.619,10.936,10.719,128400
2011-01-31,10.551,11.08,11.031,191550
2011-02-01,11.08,11.239,11.121,36600
2011-02-02,10.881,11.089,10.972,7650
2011-02-03,10.845,10.994,10.994,16950
2011-02-04,10.814,10.981,10.823,21450
2011-02-07,10.823,11.035,11.026,12300
2011-02-08,10.872,10.999,10.94,21750
2011-02-09,10.818,11.08,10.931,21600
2011-02-10,10.976,11.076,11.076,25800
2011-02-11,10.981,11.302,11.302,62850
2011-02-14,11.13,11.415,11.315,174300
2011-02-15,11.261,11.388,11.306,116400
2011-02-16,11.27,11.415,11.284,40050
2011-02-17,11.013,11.329,11.234,33900
2011-02-18,11.121,11.388,11.32,28050
2011-02-22,11.04,11.279,11.098,25500
2011-02-23,11.058,11.211,11.089,12450
2011-02-24,11.013,11.112,11.085,22950
2011-02-25,11.035,11.184,11.184,26550
2011-02-28,11.103,11.279,11.211,26700
2011-03-01,10.863,11.089,10.927,25200
2011-03-02,10.768,10.904,10.895,22800
2011-03-03,10.958,10.99,10.985,31800
2011-03-04,10.841,10.985,10.859,21150
2011-03-07,10.759,10.859,10.836,59400
2011-03-08,10.881,11.248,11.234,23250
2011-03-09,11.189,11.315,11.266,15750
2011-03-10,10.906,11.22,10.906,36150
2011-03-11,10.879,11.002,10.897,21300
2011-03-14,10.801,10.947,10.906,21150
2011-03-15,10.66,10.865,10.819,17550
2011-03-16,10.715,10.92,10.819,31200
2011-03-17,10.874,11.002,10.906,13350
2011-03-18,10.815,11.12,11.106,82800
2011-03-21,11.106,11.302,11.27,28650
2011-03-22,10.979,11.266,11.097,42900
2011-03-23,10.929,11.279,11.248,15000
2011-03-24,11.047,11.216,11.111,19200
2011-03-25,11.129,11.343,11.211,15750
2011-03-28,11.079,11.211,11.093,15450
2011-03-29,11.07,11.293,11.27,9150
2011-03-30,11.257,11.389,11.375,15600
2011-03-31,11.32,11.493,11.457,46500
2011-04-01,11.357,11.566,11.521,30750
2011-04-04,11.475,11.607,11.58,38550
2011-04-05,11.503,11.721,11.607,37650
2011-04-06,11.584,11.748,11.73,39900
2011-04-07,11.443,11.73,11.489,26250
2011-04-08,11.352,11.685,11.375,45300
2011-04-11,11.279,11.407,11.402,17550
2011-04-12,11.088,11.361,11.102,24750
2011-04-13,11.015,11.134,11.047,25050
2011-04-14,10.997,11.147,11.129,9300
2011-04-15,11.056,11.216,11.179,24600
2011-04-18,11.02,11.134,11.07,12900
2011-04-19,11.02,11.143,11.056,17250
2011-04-20,11.002,11.252,11.097,16950
2011-04-21,10.929,11.166,11.02,12300
2011-04-25,10.956,11.052,11.043,16650
2011-04-26,11.006,11.184,11.134,19650
2011-04-27,11.111,11.188,11.166,9750
2011-04-28,11.111,11.32,11.311,25500
2011-04-29,11.275,11.439,11.37,25500
2011-05-02,10.993,11.407,10.997,16500
2011-05-03,11.006,11.093,11.047,28500
2011-05-04,11.015,11.129,11.043,26250
2011-05-05,10.897,11.065,10.952,24300
2011-05-06,10.929,11.134,10.933,14700
2011-05-09,10.906,10.993,10.993,21000
2011-05-10,10.974,11.07,11.065,20250
2011-05-11,10.929,11.02,10.929,16500
2011-05-12,10.906,11.102,11.102,19650
2011-05-13,10.892,11.111,10.952,28500
2011-05-16,10.856,11.011,10.911,73050
2011-05-17,10.87,10.983,10.924,20100
2011-05-18,10.906,11.12,11.093,23100
2011-05-19,10.992,11.115,11.024,14850
2011-05-20,10.901,11.029,10.906,25950
2011-05-23,10.815,10.97,10.911,31200
2011-05-24,10.883,10.952,10.901,42750
2011-05-25,10.819,11.143,11.052,100650
2011-05-26,10.906,11.065,11.043,23400
2011-05-27,10.983,11.038,11.038,12300
2011-05-31,11.07,11.207,11.184,75600
2011-06-01,10.733,11.156,10.737,36000
2011-06-02,10.706,10.833,10.797,16050
2011-06-03,10.701,11.106,10.792,49500
2011-06-06,10.706,10.847,10.815,59100
2011-06-07,10.874,10.974,10.901,30150
2011-06-08,10.81,10.952,10.906,21300
2011-06-09,10.869,11.053,11.025,19050
2011-06-10,10.695,11.03,10.704,53850
2011-06-13,10.626,10.805,10.686,36150
2011-06-14,10.557,10.787,10.686,49050
2011-06-15,10.383,10.603,10.401,40350
2011-06-16,10.429,10.782,10.75,22350
2011-06-17,10.516,10.892,10.534,151800
2011-06-20,10.534,10.7,10.608,25200
2011-06-21,10.617,10.778,10.778,21150
2011-06-22,10.47,10.869,10.493,42150
2011-06-23,10.346,10.576,10.576,15150
2011-06-24,10.172,10.617,10.323,111600
2011-06-27,10.291,10.562,10.544,29250
2011-06-28,10.452,10.594,10.58,20250
2011-06-29,10.346,10.585,10.378,17550
2011-06-30,10.392,10.704,10.667,31500
2011-07-01,10.677,10.865,10.732,38250
2011-07-05,10.603,10.782,10.736,23700
2011-07-06,10.644,10.878,10.778,48300
2011-07-07,10.778,10.961,10.943,40500
2011-07-08,10.782,10.938,10.823,21450
2011-07-11,10.644,10.768,10.686,17850
2011-07-12,10.658,10.856,10.695,13050
2011-07-13,10.819,11.007,10.938,24300
2011-07-14,10.663,10.947,10.713,18750
2011-07-15,10.667,10.878,10.878,29550
2011-07-18,10.672,10.828,10.69,11100
2011-07-19,10.722,11.122,10.998,36300
2011-07-20,10.562,11.126,10.805,27000
2011-07-21,10.722,10.998,10.966,22350
2011-07-22,10.667,10.966,10.713,27750
2011-07-25,10.493,10.722,10.594,41700
2011-07-26,10.443,10.644,10.461,11100
2011-07-27,10.277,10.447,10.323,33900
2011-07-28,10.314,10.521,10.461,21150
2011-07-29,10.342,10.576,10.42,18900
2011-08-01,10.438,10.534,10.479,26100
2011-08-02,10.094,10.594,10.094,33450
2011-08-03,9.965,10.319,10.277,28050
2011-08-04,9.874,10.3,9.952,39000
2011-08-05,9.823,10.08,9.851,30450
2011-08-08,9.094,10.277,9.094,63900
2011-08-09,8.846,10.002,9.901,61950
2011-08-10,9.034,9.846,9.08,63450
2011-08-11,9.149,9.695,9.497,49500
2011-08-12,9.236,9.722,9.277,27900
2011-08-15,9.263,9.525,9.456,23850
2011-08-16,9.277,9.465,9.346,48150
2011-08-17,9.309,9.566,9.507,12000
2011-08-18,8.993,9.305,9.066,67050
2011-08-19,8.837,9.305,8.855,59850
2011-08-22,8.727,9.14,8.869,61650
2011-08-23,8.855,9.488,9.461,43050
2011-08-24,9.47,9.635,9.626,11700
2011-08-25,9.002,9.819,9.002,35250
2011-08-26,8.906,9.172,9.084,23100
2011-08-29,9.19,9.419,9.387,31650
2011-08-30,9.176,9.465,9.332,18900
2011-08-31,9.149,9.406,9.176,29700
2011-09-01,8.832,9.3,8.851,73350
2011-09-02,8.672,8.919,8.695,68250
2011-09-06,8.424,8.75,8.708,40650
2011-09-07,8.782,9.14,9.089,37050
2011-09-08,8.946,9.247,8.987,36000
2011-09-09,8.64,9.001,8.737,61200
2011-09-12,8.589,9.043,8.853,30300
2011-09-13,8.834,8.973,8.89,32550
2011-09-14,8.807,9.052,8.871,54000
2011-09-15,8.7,9.001,8.95,25950
2011-09-16,8.922,9.061,8.983,101400
2011-09-19,8.811,9.02,8.811,27750
2011-09-20,8.566,9.08,8.571,44400
2011-09-21,8.358,8.742,8.367,43650
2011-09-22,8.107,8.529,8.362,65550
2011-09-23,8.376,8.621,8.533,60150
2011-09-26,8.483,8.793,8.793,21150
2011-09-27,8.696,9.117,8.978,75000
2011-09-28,8.464,9.071,8.473,30300
2011-09-29,8.598,8.899,8.853,34200
2011-09-30,8.575,8.973,8.621,57750
2011-10-03,8.45,8.895,8.45,81450
2011-10-04,8.487,9.214,9.135,88650
2011-10-05,8.941,9.2,9.159,41850
2011-10-06,9.075,9.26,9.256,47550
2011-10-07,8.983,9.288,9.034,48450
2011-10-10,9.057,9.372,9.362,40650
2011-10-11,9.247,9.492,9.422,46200
2011-10-12,9.436,9.862,9.76,64050
2011-10-13,9.446,9.742,9.668,45750
2011-10-14,9.362,9.765,9.714,30900
2011-10-17,9.196,9.645,9.256,35700
2011-10-18,9.27,9.784,9.696,65100
2011-10-19,9.084,9.617,9.098,78750
