,Low,High,Close,Volume
2010-12-09,13.257,13.47,13.335,376800
2010-12-10,13.377,13.885,13.805,627200
2010-12-13,13.683,13.887,13.757,436400
2010-12-14,13.787,14.065,14.016,412800
2010-12-15,13.972,14.315,14.196,555600
2010-12-16,14.131,14.557,14.328,320000
2010-12-17,14.22,14.476,14.35,799600
2010-12-20,14.333,14.559,14.496,489200
2010-12-21,14.448,14.615,14.567,312800
2010-12-22,14.561,14.691,14.604,347600
2010-12-23,14.544,14.654,14.591,133200
2010-12-27,14.57,14.72,14.63,238000
2010-12-28,14.576,14.756,14.706,194800
2010-12-29,14.646,14.802,14.78,230000
2010-12-30,14.522,14.75,14.535,284400
2010-12-31,14.25,14.541,14.27,365200
2011-01-03,14.385,14.62,14.448,364000
2011-01-04,14.239,14.594,14.428,322000
2011-01-05,14.333,14.722,14.624,422000
2011-01-06,14.409,14.646,14.417,365600
2011-01-07,14.3,14.489,14.381,276800
2011-01-10,14.289,14.635,14.533,476000
2011-01-11,14.296,14.585,14.444,352800
2011-01-12,14.196,14.45,14.328,677200
2011-01-13,14.276,14.415,14.324,325200
2011-01-14,14.224,14.535,14.507,540000
2011-01-18,14.402,14.665,14.665,1090800
2011-01-19,14.572,14.696,14.591,702000
2011-01-20,14.485,14.659,14.559,392400
2011-01-21,14.552,14.691,14.613,326000
2011-01-24,14.617,14.878,14.8,245600
2011-01-25,14.504,14.848,14.648,624800
2011-01-26,14.633,14.885,14.804,319200
2011-01-27,14.75,15.202,15.059,561600
2011-01-28,14.854,15.211,14.906,506400
2011-01-31,14.806,15.152,14.982,522800
2011-02-01,14.785,15.167,14.998,593600
2011-02-02,14.946,15.254,14.978,568000
2011-02-03,14.728,15.106,14.852,475200
2011-02-04,14.596,15.024,14.932,332000
2011-02-07,14.917,15.174,15.017,417200
2011-02-08,14.846,15.093,14.919,364400
2011-02-09,14.664,14.928,14.793,567600
2011-02-10,14.73,14.919,14.867,186800
2011-02-11,14.762,14.987,14.917,374000
2011-02-14,14.817,14.996,14.981,210000
2011-02-15,14.852,14.998,14.946,293600
2011-02-16,14.893,15.05,14.978,291200
2011-02-17,14.943,15.096,15.046,182000
2011-02-18,15.005,15.753,15.583,822400
2011-02-22,15.447,15.862,15.458,512000
2011-02-23,15.199,15.626,15.33,438000
2011-02-24,15.24,15.528,15.258,557600
2011-02-25,15.271,15.613,15.613,287600
2011-02-28,15.624,15.925,15.639,301200
2011-03-01,15.364,15.816,15.463,622000
2011-03-02,15.487,15.709,15.633,262000
2011-03-03,15.731,15.973,15.903,264000
2011-03-04,15.709,15.949,15.947,376800
2011-03-07,15.598,16.067,15.759,328800
2011-03-08,15.674,16.135,15.982,316800
2011-03-09,15.786,16.019,15.871,298800
2011-03-10,15.463,15.838,15.598,323600
2011-03-11,15.474,15.777,15.727,386000
2011-03-14,15.489,15.724,15.493,255200
2011-03-15,15.149,15.445,15.314,453600
2011-03-16,15.203,15.419,15.22,352000
2011-03-17,15.297,15.408,15.297,209600
2011-03-18,15.358,15.487,15.412,478000
2011-03-21,15.419,15.762,15.563,348400
2011-03-22,15.364,15.611,15.519,1058800
2011-03-23,15.314,15.563,15.395,306000
2011-03-24,15.31,15.613,15.552,232000
2011-03-25,15.53,15.696,15.6,276000
2011-03-28,15.456,15.676,15.513,398400
2011-03-29,15.484,15.842,15.698,353200
2011-03-30,15.58,15.801,15.613,449200
2011-03-31,15.535,15.646,15.618,509600
2011-04-01,15.607,15.853,15.849,487600
2011-04-04,15.879,16.058,16.043,234400
2011-04-05,15.993,16.119,16.08,397200
2011-04-06,16.106,16.22,16.161,247200
2011-04-07,16.058,16.359,16.241,444400
2011-04-08,15.973,16.303,16.089,162400
2011-04-11,15.951,16.235,16.093,165200
2011-04-12,15.951,16.106,16.104,222400
2011-04-13,15.982,16.172,16.078,340400
2011-04-14,15.923,16.113,16.073,212800
2011-04-15,16.015,16.307,16.226,197600
2011-04-18,15.744,16.226,16.008,424800
2011-04-19,15.89,16.113,16.06,255600
2011-04-20,16.154,16.361,16.357,239200
2011-04-21,16.296,16.499,16.449,219200
2011-04-25,16.327,16.523,16.451,286800
2011-04-26,16.37,16.946,16.734,460400
2011-04-27,16.63,16.833,16.754,576000
2011-04-28,16.734,16.881,16.785,320000
2011-04-29,16.728,17.014,16.953,484000
2011-05-02,16.942,17.123,16.944,320000
2011-05-03,16.944,17.526,17.43,420000
2011-05-04,17.116,17.496,17.138,543200
2011-05-05,16.854,17.114,16.909,327200
2011-05-06,16.924,17.256,17.055,284000
2011-05-09,16.966,17.234,17.18,240000
2011-05-10,17.188,17.424,17.387,400000
2011-05-11,17.26,17.501,17.328,403200
2011-05-12,17.236,17.586,17.551,530800
2011-05-13,17.391,17.575,17.457,252000
2011-05-16,17.417,17.512,17.474,246400
2011-05-17,17.553,17.798,17.676,910800
2011-05-18,17.593,17.792,17.741,605200
2011-05-19,17.584,17.873,17.805,484000
2011-05-20,17.568,17.895,17.748,440400
2011-05-23,17.514,17.719,17.658,695200
2011-05-24,17.514,17.739,17.595,359200
2011-05-25,17.424,17.741,17.7,297600
2011-05-26,17.54,17.831,17.787,373200
2011-05-27,17.684,17.927,17.827,337600
2011-05-31,17.678,18.028,17.84,4108000
2011-06-01,17.619,17.978,17.68,884000
2011-06-02,17.494,17.676,17.632,420400
2011-06-03,17.306,17.614,17.321,508000
2011-06-06,17.223,17.446,17.282,410400
2011-06-07,17.207,17.501,17.417,318000
2011-06-08,17.247,17.42,17.317,366400
2011-06-09,17.225,17.514,17.339,336000
2011-06-10,16.973,17.31,17.017,303200
2011-06-13,16.877,17.12,16.991,363600
2011-06-14,16.969,17.31,17.218,375200
2011-06-15,16.931,17.363,16.938,333600
2011-06-16,16.855,17.091,16.997,305600
2011-06-17,16.896,17.128,16.934,504800
2011-06-20,16.875,17.159,17.139,293200
