,Low,High,Close,Volume
2010-12-09,12.473,12.905,12.611,11524300
2010-12-10,12.675,12.979,12.942,4192300
2010-12-13,12.62,13.062,12.647,4447600
2010-12-14,12.555,12.795,12.574,3679700
2010-12-15,12.445,12.684,12.509,6836300
2010-12-16,12.473,12.712,12.703,3789300
2010-12-17,12.693,12.868,12.767,3113300
2010-12-20,12.666,12.878,12.712,4310700
2010-12-21,12.703,13.126,13.08,3239200
2010-12-22,12.859,13.108,12.942,3769000
2010-12-23,12.914,13.292,13.246,3874800
2010-12-27,13.006,13.292,13.144,3729400
2010-12-28,12.979,13.191,13.025,2497700
2010-12-29,12.859,13.126,12.924,4288500
2010-12-30,12.887,13.181,13.071,1959500
2010-12-31,12.905,13.108,12.924,1585900
2011-01-03,12.592,13.006,12.62,6904100
2011-01-04,12.482,12.749,12.62,4052000
2011-01-05,12.38,12.528,12.408,5896500
2011-01-06,12.316,12.509,12.445,8149800
2011-01-07,12.316,12.786,12.611,4428300
2011-01-10,12.38,12.62,12.555,3293700
2011-01-11,12.509,12.703,12.574,3521500
2011-01-12,12.638,12.887,12.841,3091800
2011-01-13,12.85,13.098,12.905,3839600
2011-01-14,12.841,13.568,13.531,5493400
2011-01-18,13.144,13.476,13.347,4898900
2011-01-19,12.979,13.393,13.043,4259600
2011-01-20,12.537,12.979,12.758,6000200
2011-01-21,12.62,12.979,12.657,4367400
2011-01-24,12.629,13.246,13.163,3786700
2011-01-25,12.85,13.209,13.016,3275500
2011-01-26,13.227,13.651,13.467,7438400
2011-01-27,14.617,15.363,15.05,19659300
2011-01-28,14.783,15.344,14.939,7089600
2011-01-31,14.912,15.409,15.354,6638000
2011-02-01,15.455,15.998,15.648,11393300
2011-02-02,15.492,16.173,15.878,7392700
2011-02-03,15.759,16.072,15.98,5748000
2011-02-04,15.97,16.679,16.375,8695900
2011-02-07,16.375,16.891,16.495,7917200
2011-02-08,16.293,16.679,16.559,5745000
2011-02-09,16.394,16.79,16.532,7586600
2011-02-10,16.247,16.569,16.55,5698200
2011-02-11,16.421,16.762,16.587,3313200
2011-02-14,16.523,16.845,16.753,6268400
2011-02-15,16.274,16.688,16.449,11942100
2011-02-16,16.513,17.489,17.416,9124800
2011-02-17,17.112,17.59,17.416,5763600
2011-02-18,17.323,17.59,17.416,3387700
2011-02-22,16.587,17.149,16.642,7898100
2011-02-23,16.035,16.78,16.449,5590200
2011-02-24,16.237,16.891,16.716,5490700
2011-02-25,16.845,17.305,17.167,3368700
2011-02-28,16.909,17.563,17.149,5526200
2011-03-01,16.679,17.443,16.744,4670600
2011-03-02,16.679,17.388,17.139,4427000
2011-03-03,17.259,17.655,17.554,4732000
2011-03-04,17.231,17.664,17.471,3559900
2011-03-07,16.145,17.305,16.532,8284800
2011-03-08,16.265,17.02,16.808,5065300
2011-03-09,15.989,16.753,16.072,6267800
2011-03-10,15.446,15.989,15.621,5563700
