,Low,High,Close,Volume
2010-12-09,19.996,20.7,20.124,2149450
2010-12-10,19.964,20.236,20.172,1059950
2010-12-13,20.028,20.412,20.06,1712700
2010-12-14,19.691,20.188,19.803,1404350
2010-12-15,19.371,19.836,19.419,1595950
2010-12-16,19.163,19.707,19.675,1947450
2010-12-17,19.163,19.803,19.339,3129400
2010-12-20,19.852,20.412,20.396,3158850
2010-12-21,20.22,20.572,20.364,2530600
2010-12-22,20.156,20.412,20.172,1127750
2010-12-23,20.044,20.412,20.044,1245500
2010-12-27,19.771,20.22,20.22,788950
2010-12-28,20.012,20.348,20.188,1308650
2010-12-29,19.9,20.284,20.012,1334500
2010-12-30,19.771,20.332,20.268,1030800
2010-12-31,20.092,20.332,20.22,1015650
2011-01-03,20.284,20.972,20.924,3619000
2011-01-04,21.132,22.365,22.285,9442250
2011-01-05,21.901,23.053,22.829,7795100
2011-01-06,20.716,21.581,21.292,7540400
2011-01-07,20.572,21.228,20.732,3779950
2011-01-10,20.444,21.18,21.1,3187750
2011-01-11,20.652,21.388,20.732,3573950
2011-01-12,20.716,21.036,20.764,1782000
2011-01-13,20.7,21.196,20.748,1427350
2011-01-14,20.716,21.132,20.908,1695900
2011-01-18,20.524,21.18,20.54,1749750
2011-01-19,19.948,20.828,20.06,2731200
2011-01-20,19.884,20.364,20.172,1803200
2011-01-21,20.22,20.524,20.364,1803500
2011-01-24,20.284,20.636,20.572,1320950
2011-01-25,20.588,21.613,21.597,4296150
2011-01-26,21.372,21.773,21.725,1957050
2011-01-27,21.26,21.901,21.757,1642450
2011-01-28,20.988,21.853,21.068,1836550
2011-01-31,20.684,21.212,20.7,2291000
2011-02-01,20.668,21.068,20.844,5691450
2011-02-02,20.556,20.924,20.588,1356100
2011-02-03,20.252,20.732,20.668,1217150
2011-02-04,20.508,20.924,20.732,4791750
2011-02-07,20.572,21.1,20.572,2712400
2011-02-08,20.3,20.812,20.796,2479200
2011-02-09,20.556,20.972,20.812,1861800
2011-02-10,20.332,20.876,20.556,1965300
2011-02-11,20.444,20.972,20.908,2102050
2011-02-14,20.892,21.516,21.308,2199650
2011-02-15,21.196,21.629,21.42,1977300
2011-02-16,21.164,21.484,21.356,1250850
2011-02-17,20.988,21.292,21.004,1375950
2011-02-18,21.004,21.917,21.468,3080600
2011-02-22,20.844,21.308,20.94,2551800
2011-02-23,20.412,21.18,20.428,3449100
2011-02-24,20.476,21.709,21.661,3986050
2011-02-25,21.693,22.621,22.589,4078350
2011-02-28,22.589,23.053,23.053,3479950
2011-03-01,22.621,23.133,22.829,3696250
2011-03-02,22.365,23.213,22.733,3223700
2011-03-03,22.861,24.046,23.918,5178550
2011-03-04,23.518,24.126,23.87,4153700
2011-03-07,23.646,24.254,23.982,2847200
2011-03-08,23.742,24.174,24.078,2689800
2011-03-09,23.854,24.334,24.19,2250450
2011-03-10,23.614,24.014,23.838,2081500
2011-03-11,23.566,24.094,24.03,2271900
2011-03-14,23.678,24.302,23.854,1460600
2011-03-15,22.909,23.95,23.774,1570250
2011-03-16,22.973,23.918,23.229,2764950
2011-03-17,23.294,23.838,23.71,1763550
2011-03-18,23.854,24.446,23.902,3028250
2011-03-21,24.878,25.487,25.039,5044950
2011-03-22,24.654,25.295,24.814,2349900
2011-03-23,24.526,24.894,24.814,1639300
2011-03-24,24.75,25.343,25.263,2925950
2011-03-25,24.75,25.343,24.878,2722850
2011-03-28,25.151,25.551,25.279,3050050
2011-03-29,25.007,25.423,25.311,1607550
2011-03-30,25.343,26.271,26.127,3976300
2011-03-31,25.551,26.255,25.999,2522400
2011-04-01,25.871,26.399,26.399,2432400
2011-04-04,26.031,26.575,26.143,2946600
2011-04-05,26.079,26.671,26.431,1916600
2011-04-06,26.095,26.607,26.367,2081150
2011-04-07,26.159,26.623,26.527,3216300
2011-04-08,26.415,26.703,26.671,2057050
2011-04-11,26.703,27.264,26.88,3662450
2011-04-12,26.511,26.896,26.816,2196250
2011-04-13,26.543,27.088,26.816,1702350
2011-04-14,26.191,26.736,26.575,2243900
2011-04-15,26.319,26.768,26.415,2163100
2011-04-18,25.423,26.191,25.727,4164950
2011-04-19,25.695,26.047,26.031,2583950
2011-04-20,25.871,26.639,26.607,2643950
2011-04-21,26.591,27.2,27.04,1461150
2011-04-25,26.736,27.184,26.768,1450950
2011-04-26,26.543,26.976,26.72,1500000
2011-04-27,26.559,27.36,27.296,2844000
2011-04-28,26.848,27.568,27.008,2645750
2011-04-29,26.864,27.248,26.944,2170000
2011-05-02,26.255,27.184,26.383,3857200
2011-05-03,26.912,29.105,29.057,11457850
2011-05-04,28.16,29.185,28.577,4144100
2011-05-05,27.888,28.801,28.352,5080550
2011-05-06,27.488,28.128,27.728,4319050
2011-05-09,27.6,28.256,28.112,4773400
2011-05-10,28.016,29.297,29.169,5336800
2011-05-11,28.384,29.169,28.753,3673300
2011-05-12,28.368,29.153,28.977,2862550
2011-05-13,28.192,28.977,28.577,1777600
2011-05-16,28.288,28.785,28.705,2732700
2011-05-17,28.352,29.233,28.929,3387400
2011-05-18,28.865,30.001,29.921,5413900
2011-05-19,29.041,30.081,29.281,2629300
2011-05-20,28.096,28.577,28.384,4541650
2011-05-23,27.888,28.384,28.272,2348550
2011-05-24,28.048,28.657,28.096,2804400
2011-05-25,27.936,28.737,28.545,2215050
2011-05-26,28.368,29.361,29.297,4121500
2011-05-27,28.865,29.681,29.073,1786850
2011-05-31,28.304,29.521,28.657,3617650
2011-06-01,28.481,29.649,29.057,4712500
2011-06-02,28.897,29.617,29.185,3168200
2011-06-03,28.0,28.817,28.112,2854950
2011-06-06,27.12,27.872,27.312,3003600
2011-06-07,27.024,27.52,27.088,2465600
2011-06-08,26.431,27.104,26.8,2170650
2011-06-09,26.319,26.976,26.575,2807450
2011-06-10,26.047,26.607,26.127,2093350
2011-06-13,25.647,26.319,26.015,2399400
2011-06-14,26.159,26.591,26.415,1346350
2011-06-15,25.487,26.335,25.519,2762300
2011-06-16,25.183,25.631,25.583,2461050
2011-06-17,25.503,26.063,25.647,1578950
2011-06-20,25.359,25.871,25.775,1965050
2011-06-21,25.855,26.607,26.335,1772800
2011-06-22,26.223,26.848,26.415,1990200
2011-06-23,25.711,26.848,26.848,2909500
2011-06-24,26.399,26.88,26.671,3152850
2011-06-27,26.239,27.136,27.008,2253000
2011-06-28,26.848,27.792,27.52,2129050
2011-06-29,27.456,27.936,27.584,1866100
2011-06-30,27.52,27.92,27.552,1889100
2011-07-01,27.472,28.561,28.449,2434200
2011-07-05,27.616,28.352,27.968,1950200
2011-07-06,27.584,27.968,27.92,1745750
2011-07-07,27.76,28.4,27.776,1852100
2011-07-08,27.056,27.872,27.856,1773750
2011-07-11,27.44,27.744,27.712,3112950
2011-07-12,26.944,27.52,27.152,1689450
2011-07-13,27.312,27.808,27.36,2275600
2011-07-14,26.623,27.52,26.928,2039500
2011-07-15,26.944,27.296,27.2,1272000
2011-07-18,26.527,27.12,26.896,1384600
2011-07-19,26.992,27.616,27.456,2049200
2011-07-20,26.88,27.44,27.344,1237650
2011-07-21,27.264,27.84,27.456,2012600
2011-07-22,27.376,27.632,27.584,1698750
2011-07-25,26.896,27.376,27.12,837050
2011-07-26,26.671,27.264,27.056,1405250
2011-07-27,26.271,26.928,26.335,1115700
2011-07-28,25.999,26.912,26.079,2600650
2011-07-29,25.583,26.351,26.063,1594050
2011-08-01,25.455,26.031,25.903,2720500
2011-08-02,16.313,21.308,16.426,34951000
2011-08-03,15.641,17.578,16.442,17065600
2011-08-04,13.928,16.394,14.905,14910900
2011-08-05,14.729,15.673,15.257,6934250
2011-08-08,13.912,14.825,14.28,7613100
2011-08-09,14.072,14.985,14.937,8387700
2011-08-10,14.873,15.593,15.321,8332550
2011-08-11,15.177,16.682,16.426,5142850
2011-08-12,16.041,16.906,16.378,3864950
2011-08-15,16.506,17.61,17.562,3872500
2011-08-16,17.178,17.786,17.642,4031050
2011-08-17,17.594,17.946,17.93,2873400
2011-08-18,16.554,17.882,16.778,5328150
2011-08-19,16.345,17.05,16.442,3969000
2011-08-22,16.057,17.018,16.217,3418900
2011-08-23,16.297,17.05,16.938,3471300
2011-08-24,16.714,17.306,17.306,1886700
2011-08-25,16.634,17.466,16.714,2627950
2011-08-26,16.121,17.162,17.082,1504250
2011-08-29,17.258,17.866,17.866,1440950
2011-08-30,17.594,18.107,18.01,1570450
2011-08-31,17.722,18.475,17.866,3134650
2011-09-01,17.546,18.235,17.546,2816850
2011-09-02,16.378,17.354,16.522,3376250
2011-09-06,15.897,16.41,16.217,3850800
2011-09-07,16.377,17.194,17.082,2889550
2011-09-08,16.746,17.29,16.97,2135050
2011-09-09,16.345,16.906,16.746,3089000
2011-09-12,16.265,16.778,16.714,2094050
2011-09-13,16.554,17.13,16.73,3612750
2011-09-14,16.394,17.05,16.634,4440800
2011-09-15,16.329,16.922,16.57,2552550
2011-09-16,15.977,16.826,16.169,5798300
2011-09-19,15.401,16.137,16.009,4303500
2011-09-20,15.945,16.49,16.121,2985750
2011-09-21,14.825,16.121,14.873,3887450
2011-09-22,14.056,14.584,14.312,3972250
2011-09-23,14.088,14.825,14.584,3450800
2011-09-26,14.44,15.049,14.552,3899100
2011-09-27,14.729,15.497,15.081,1665200
2011-09-28,14.216,15.145,14.248,1441850
2011-09-29,14.168,14.809,14.52,2080800
2011-09-30,13.752,14.44,13.944,3586950
2011-10-03,13.032,14.296,13.096,4454750
2011-10-04,12.583,13.224,13.192,5450000
2011-10-05,12.775,13.432,13.288,4361450
2011-10-06,13.176,13.768,13.768,3655150
2011-10-07,12.407,13.96,12.695,3678450
2011-10-10,12.919,13.928,13.672,2576550
2011-10-11,13.224,13.736,13.32,1953500
2011-10-12,13.336,13.848,13.656,2194000
2011-10-13,13.576,14.376,14.312,2000550
2011-10-14,14.44,14.777,14.568,1676250
2011-10-17,14.136,14.568,14.152,1139100
2011-10-18,13.832,14.616,14.52,1554400
2011-10-19,13.832,14.568,13.864,1419400
2011-10-20,13.496,14.472,14.456,2655300
2011-10-21,14.6,15.129,14.713,2763900
2011-10-24,14.504,15.081,14.889,1334300
2011-10-25,14.44,14.889,14.568,1465250
2011-10-26,14.777,15.737,15.513,2886750
2011-10-27,15.161,16.057,15.577,2683200
2011-10-28,14.232,15.369,14.312,4511000
2011-10-31,13.544,14.312,13.608,5901100
2011-11-01,12.135,12.936,12.263,6418450
2011-11-02,12.599,13.848,13.72,5129250
2011-11-03,13.592,14.488,14.392,3651700
2011-11-04,13.928,14.376,14.36,1860950
2011-11-07,14.072,14.472,14.232,1457200
2011-11-08,13.96,14.488,13.976,2319200
2011-11-09,13.448,13.944,13.496,2425300
2011-11-10,13.576,13.832,13.576,1892500
2011-11-11,13.768,14.312,14.136,1414700
2011-11-14,13.864,14.28,13.896,949350
2011-11-15,13.752,14.248,14.072,1644700
2011-11-16,13.656,14.248,13.832,1670000
2011-11-17,12.952,14.12,13.256,2873000
2011-11-18,12.903,13.4,12.903,1505100
2011-11-21,12.583,12.791,12.695,1416900
2011-11-22,12.295,12.743,12.391,2927900
2011-11-23,12.119,12.519,12.119,1375200
2011-11-25,12.023,12.487,12.023,574350
2011-11-28,12.327,12.887,12.679,2447250
2011-11-29,12.375,12.823,12.407,2239050
2011-11-30,12.887,13.56,13.416,2753900
2011-12-01,12.952,13.48,13.288,1788500
2011-12-02,13.144,13.672,13.272,1454100
2011-12-05,13.144,13.608,13.368,1425300
2011-12-06,13.608,14.472,14.408,3633700
2011-12-07,13.656,14.312,13.736,2661400
2011-12-08,13.176,13.832,13.24,1749200
2011-12-09,13.336,13.608,13.56,1176250
2011-12-12,13.128,13.832,13.4,2529200
2011-12-13,13.448,14.008,13.656,2505900
2011-12-14,13.048,13.704,13.112,1717150
2011-12-15,13.336,13.96,13.512,2460200
2011-12-16,13.176,13.64,13.336,2274100
2011-12-19,12.647,13.416,12.727,1437600
2011-12-20,13.032,13.368,13.272,1629550
2011-12-21,13.064,13.416,13.32,991000
2011-12-22,13.272,13.624,13.48,704150
2011-12-23,13.016,13.64,13.08,1645050
2011-12-27,12.936,13.384,13.368,1041950
2011-12-28,12.791,13.336,12.871,1403150
2011-12-29,12.903,13.24,13.192,1066250
2011-12-30,13.112,14.008,13.896,2779250
2012-01-03,14.184,15.225,15.033,5021450
2012-01-04,14.056,14.985,14.072,6093950
2012-01-05,12.583,13.48,12.823,7371700
2012-01-06,12.823,13.304,12.839,3092700
2012-01-09,12.647,13.16,13.128,2776300
2012-01-10,13.16,13.368,13.288,1500000
2012-01-11,13.08,13.608,13.496,1935250
2012-01-12,13.416,13.768,13.704,1648400
2012-01-13,13.288,13.528,13.368,1500400
2012-01-17,13.128,13.608,13.432,1612350
2012-01-18,13.336,13.928,13.896,1537300
2012-01-19,13.864,14.392,14.296,2227350
2012-01-20,13.944,14.36,13.96,1553100
2012-01-23,13.8,14.04,13.992,1033250
2012-01-24,13.512,13.928,13.704,1528150
2012-01-25,13.512,14.232,14.12,3018100
2012-01-26,13.88,14.392,14.056,2728950
