,Low,High,Close,Volume
2010-12-09,10.194,10.33,10.285,36771
2010-12-10,10.182,10.324,10.298,34917
2010-12-13,10.175,10.304,10.278,23484
2010-12-14,10.233,10.33,10.33,37286
2010-12-15,10.194,10.382,10.201,68289
2010-12-16,10.182,10.653,10.349,74778
2010-12-17,10.104,10.324,10.278,91876
2010-12-20,10.214,10.33,10.278,19364
2010-12-21,10.265,10.446,10.446,61491
2010-12-22,10.427,10.621,10.614,46247
2010-12-23,10.337,10.621,10.601,30900
2010-12-27,10.543,10.621,10.614,15141
2010-12-28,10.556,10.621,10.608,11639
2010-12-29,10.601,10.666,10.64,7416
2010-12-30,10.549,10.705,10.556,24102
2010-12-31,10.296,10.517,10.309,18643
2011-01-03,10.348,10.705,10.653,37698
2011-01-04,10.251,10.705,10.296,42539
2011-01-05,10.303,10.802,10.783,42230
2011-01-06,10.575,10.776,10.705,22557
2011-01-07,10.251,10.705,10.445,38522
2011-01-10,10.29,10.647,10.413,28737
2011-01-11,10.445,10.621,10.595,43878
2011-01-12,10.627,10.861,10.854,36153
2011-01-13,10.66,10.887,10.854,35123
2011-01-14,10.77,10.997,10.977,68495
2011-01-18,10.711,10.926,10.867,36668
2011-01-19,10.595,10.848,10.705,53045
2011-01-20,10.543,10.763,10.543,29149
2011-01-21,9.965,10.608,10.024,60049
2011-01-24,9.959,10.16,10.004,22351
2011-01-25,9.926,10.199,10.186,27913
2011-01-26,10.063,10.556,10.458,74984
2011-01-27,10.205,10.445,10.277,20291
2011-01-28,9.628,10.29,9.771,71379
2011-01-31,9.622,9.933,9.667,29870
2011-02-01,9.732,10.089,9.881,61903
2011-02-02,9.732,9.894,9.784,24823
2011-02-03,9.667,9.913,9.816,49955
2011-02-04,9.589,9.823,9.647,29767
2011-02-07,9.492,9.771,9.57,42127
2011-02-08,9.407,9.641,9.634,54796
2011-02-09,9.44,9.622,9.518,17201
2011-02-10,9.459,9.738,9.602,25956
2011-02-11,9.57,9.816,9.81,23278
2011-02-14,9.699,9.842,9.699,8446
2011-02-15,9.583,9.816,9.641,24205
2011-02-16,9.557,9.706,9.647,26265
2011-02-17,9.55,9.784,9.628,57886
2011-02-18,9.602,9.68,9.667,50264
