,Low,High,Close,Volume
2010-12-09,37.187,37.796,37.652,1879300
2010-12-10,37.567,38.251,38.166,1224100
2010-12-13,38.173,38.784,38.427,1981900
2010-12-14,37.809,38.699,38.021,1089900
2010-12-15,37.882,38.651,37.973,2539800
2010-12-16,37.652,38.13,37.936,2669600
2010-12-17,37.882,38.33,38.148,2410300
2010-12-20,38.051,38.542,38.372,1014100
2010-12-21,38.524,39.087,38.924,1345600
2010-12-22,39.008,39.596,39.59,1439300
2010-12-23,38.748,39.511,39.002,920300
2010-12-27,38.784,39.214,39.202,563300
2010-12-28,38.784,39.39,38.99,560900
2010-12-29,38.566,38.942,38.706,916100
2010-12-30,38.669,39.033,38.893,978700
2010-12-31,38.639,39.136,39.087,1177400
2011-01-03,39.293,40.062,39.838,2496500
2011-01-04,38.851,39.584,38.93,2078800
2011-01-05,38.966,39.463,39.463,1886700
2011-01-06,39.335,40.026,39.463,1563900
2011-01-07,38.742,39.856,39.142,1452200
2011-01-10,38.566,39.335,39.202,1281600
2011-01-11,39.311,39.977,39.493,1087400
2011-01-12,39.693,40.365,40.341,1444700
2011-01-13,40.159,40.862,40.419,1533600
2011-01-14,40.026,41.037,41.001,1884000
2011-01-18,40.541,41.134,41.098,1324500
2011-01-19,39.905,40.934,39.983,1544300
2011-01-20,39.62,40.553,39.747,1241100
2011-01-21,39.893,40.425,40.123,1189200
2011-01-24,39.553,40.292,40.286,1271900
2011-01-25,39.874,40.486,40.474,1452300
2011-01-26,40.329,40.892,40.753,1279200
2011-01-27,40.656,41.322,41.225,1534400
2011-01-28,39.341,41.776,39.88,2830200
2011-01-31,39.347,40.177,39.923,2165400
2011-02-01,39.947,40.94,40.704,1737700
2011-02-02,40.153,40.589,40.286,1308700
2011-02-03,39.675,40.425,40.044,1170800
2011-02-04,39.929,40.498,40.02,1437000
2011-02-07,40.092,40.916,40.583,1511500
2011-02-08,40.456,40.88,40.728,1008000
2011-02-09,40.444,40.874,40.656,856300
2011-02-10,40.401,41.31,41.225,1037300
2011-02-11,40.946,41.94,41.776,1057100
2011-02-14,41.546,42.079,41.982,904200
2011-02-15,41.709,42.127,41.903,953400
2011-02-16,41.958,42.842,42.691,1493700
2011-02-17,42.321,42.715,42.594,882400
2011-02-18,42.448,43.175,43.06,1214200
2011-02-22,40.849,42.781,40.958,1846900
2011-02-23,39.693,41.243,40.123,2089700
2011-02-24,39.65,40.668,40.153,1931700
2011-02-25,40.207,40.728,40.65,1985100
2011-02-28,40.256,41.061,40.565,1868700
