,Low,High,Close,Volume
2010-12-09,4.451,4.549,4.515,2031000
2010-12-10,4.491,4.626,4.6,1331500
2010-12-13,4.593,4.662,4.617,1374000
2010-12-14,4.586,4.639,4.613,1326000
2010-12-15,4.573,4.657,4.611,2922500
2010-12-16,4.56,4.699,4.693,2177500
2010-12-17,4.69,4.815,4.812,5079000
2010-12-20,4.782,4.828,4.792,3517000
2010-12-21,4.792,4.832,4.817,3243000
2010-12-22,4.771,4.832,4.812,893500
2010-12-23,4.669,4.946,4.841,1609500
2010-12-27,4.704,4.839,4.744,1088000
2010-12-28,4.668,4.777,4.75,839500
2010-12-29,4.69,4.742,4.717,943500
2010-12-30,4.6,4.708,4.6,4151000
2010-12-31,4.557,4.664,4.564,2211000
2011-01-03,4.598,4.642,4.619,1363500
2011-01-04,4.447,4.644,4.493,1910500
2011-01-05,4.431,4.48,4.445,2139500
2011-01-06,4.38,4.442,4.405,2347500
2011-01-07,4.274,4.409,4.327,2173000
2011-01-10,4.276,4.371,4.354,2246500
2011-01-11,4.436,4.64,4.517,4329000
2011-01-12,4.482,4.557,4.489,1517000
2011-01-13,4.466,4.513,4.507,1077000
2011-01-14,4.473,4.553,4.531,1193500
2011-01-18,4.469,4.551,4.54,1277000
2011-01-19,4.478,4.573,4.491,2250000
2011-01-20,4.413,4.507,4.413,1108000
2011-01-21,4.234,4.371,4.362,3018500
2011-01-24,4.333,4.407,4.369,1543500
2011-01-25,4.272,4.384,4.34,1179000
2011-01-26,4.353,4.464,4.394,1656000
2011-01-27,4.333,4.411,4.338,1047000
2011-01-28,4.209,4.369,4.212,1785500
2011-01-31,4.2,4.269,4.216,2355000
2011-02-01,4.251,4.547,4.471,4064500
2011-02-02,4.356,4.486,4.411,2363000
2011-02-03,4.209,4.385,4.313,3612000
2011-02-04,4.293,4.38,4.369,2334500
2011-02-07,4.353,4.416,4.369,1472000
2011-02-08,4.276,4.354,4.323,2187000
2011-02-09,4.269,4.405,4.28,1344000
2011-02-10,4.254,4.344,4.323,1016500
2011-02-11,4.298,4.371,4.356,877500
2011-02-14,4.327,4.44,4.365,1319500
2011-02-15,4.302,4.411,4.302,1673500
2011-02-16,4.271,4.336,4.329,927000
2011-02-17,4.18,4.28,4.249,6163000
2011-02-18,4.191,4.282,4.251,1725000
2011-02-22,4.198,4.285,4.234,1799000
2011-02-23,4.134,4.283,4.145,1473500
2011-02-24,4.098,4.231,4.189,1699000
2011-02-25,4.187,4.24,4.232,919000
2011-02-28,4.251,4.336,4.28,1481500
2011-03-01,4.14,4.323,4.154,1239500
2011-03-02,4.078,4.181,4.118,964000
2011-03-03,4.119,4.227,4.18,1355000
2011-03-04,4.17,4.227,4.209,1066000
2011-03-07,4.127,4.269,4.169,1845500
2011-03-08,4.109,4.309,4.263,1774000
2011-03-09,4.236,4.331,4.303,1200000
2011-03-10,4.181,4.258,4.2,1652000
2011-03-11,4.105,4.232,4.209,1245500
2011-03-14,4.127,4.221,4.2,1272500
2011-03-15,4.048,4.192,4.163,1258000
2011-03-16,4.11,4.201,4.15,1696500
2011-03-17,4.165,4.229,4.17,1269500
2011-03-18,4.183,4.265,4.207,3529500
2011-03-21,4.243,4.334,4.333,747500
2011-03-22,4.322,4.389,4.382,1076000
