,Low,High,Close,Volume
2010-12-09,13.595,13.947,13.687,624900
2010-12-10,13.694,13.84,13.817,336600
2010-12-13,13.457,13.939,13.488,638500
2010-12-14,13.297,13.557,13.365,818500
2010-12-15,13.327,13.534,13.396,698900
2010-12-16,13.327,13.572,13.534,547000
2010-12-17,13.373,13.564,13.541,878400
2010-12-20,13.35,13.58,13.404,670700
2010-12-21,13.281,13.442,13.427,713100
2010-12-22,13.212,13.48,13.251,659000
2010-12-23,13.266,13.427,13.358,374300
2010-12-27,13.006,13.35,13.319,156400
2010-12-28,13.151,13.457,13.243,200800
2010-12-29,13.182,13.365,13.335,378100
2010-12-30,13.251,13.396,13.358,391000
2010-12-31,13.067,13.404,13.136,518200
2011-01-03,13.044,13.472,13.365,522900
2011-01-04,13.075,13.45,13.212,600000
2011-01-05,13.082,13.373,13.235,705300
2011-01-06,13.243,13.518,13.365,674800
2011-01-07,13.113,13.465,13.281,607100
2011-01-10,13.067,13.381,13.312,365900
2011-01-11,13.082,13.511,13.297,1097000
2011-01-12,13.258,13.419,13.297,328900
2011-01-13,13.228,13.725,13.687,690900
2011-01-14,13.564,14.169,14.115,866300
2011-01-18,13.664,14.1,13.786,656500
2011-01-19,13.511,13.84,13.58,581600
2011-01-20,13.45,13.809,13.595,491400
2011-01-21,13.396,13.702,13.427,456600
2011-01-24,13.281,13.61,13.304,732400
2011-01-25,13.197,13.771,13.763,662300
2011-01-26,13.044,13.603,13.059,1873800
2011-01-27,12.906,13.35,13.251,1298300
2011-01-28,12.815,13.365,12.86,547800
2011-01-31,12.684,13.128,12.715,2512100
2011-02-01,12.715,13.166,13.121,1059600
2011-02-02,13.044,13.228,13.174,391800
2011-02-03,13.105,13.427,13.427,743800
2011-02-04,13.304,13.564,13.472,392600
2011-02-07,13.274,13.465,13.289,774600
2011-02-08,13.22,13.518,13.442,345600
2011-02-09,13.358,13.648,13.541,570900
2011-02-10,13.419,13.779,13.717,625200
2011-02-11,13.58,13.954,13.893,402400
2011-02-14,13.687,14.046,13.97,652100
2011-02-15,13.671,13.993,13.671,673200
2011-02-16,13.618,13.893,13.756,571800
2011-02-17,13.61,13.893,13.801,362400
2011-02-18,13.824,14.123,14.023,557100
2011-02-22,13.564,13.97,13.572,851700
2011-02-23,12.853,13.779,13.075,1889000
2011-02-24,12.769,13.09,12.876,1013700
2011-02-25,12.876,13.197,13.036,667000
2011-02-28,12.968,13.235,12.991,647900
2011-03-01,12.799,13.029,12.799,1643800
2011-03-02,12.455,12.914,12.692,1559600
2011-03-03,12.753,13.082,12.998,1044100
2011-03-04,12.876,13.098,12.952,1120700
2011-03-07,12.738,13.098,12.746,1218100
2011-03-08,12.723,12.998,12.906,1563700
2011-03-09,12.646,13.006,12.945,1064500
2011-03-10,12.707,13.006,12.792,1035800
2011-03-11,12.669,12.952,12.853,436700
2011-03-14,12.653,12.837,12.714,365200
2011-03-15,12.353,12.791,12.684,512600
2011-03-16,12.461,12.661,12.461,596600
2011-03-17,12.276,12.707,12.276,464300
2011-03-18,12.199,12.638,12.392,865500
2011-03-21,12.468,12.607,12.499,372600
2011-03-22,12.338,12.622,12.353,455200
2011-03-23,12.238,12.468,12.384,635800
2011-03-24,12.345,12.615,12.561,567500
2011-03-25,12.591,12.914,12.607,894800
2011-03-28,12.507,12.761,12.576,351700
2011-03-29,12.476,12.714,12.645,861900
2011-03-30,12.545,13.091,12.907,1380000
2011-03-31,12.837,13.122,13.06,955100
2011-04-01,13.037,13.26,13.106,559900
2011-04-04,13.099,13.276,13.199,770300
2011-04-05,13.137,13.391,13.245,340900
2011-04-06,13.099,13.322,13.176,471200
2011-04-07,12.814,13.229,12.837,588600
2011-04-08,12.522,12.999,12.591,368000
2011-04-11,12.269,12.638,12.484,1151300
2011-04-12,12.284,12.591,12.515,515500
2011-04-13,12.33,12.576,12.338,751300
2011-04-14,12.299,12.53,12.507,722600
2011-04-15,12.468,12.761,12.753,559200
2011-04-18,12.461,12.63,12.591,401900
2011-04-19,12.445,12.684,12.568,319300
2011-04-20,12.645,12.784,12.784,352300
2011-04-21,12.553,12.884,12.599,474200
2011-04-25,12.522,12.684,12.676,276900
2011-04-26,12.538,12.837,12.599,428700
2011-04-27,12.361,12.722,12.415,669300
2011-04-28,12.292,12.576,12.507,854800
2011-04-29,12.453,12.607,12.507,947000
2011-05-02,12.107,12.538,12.338,1668700
2011-05-03,11.846,12.284,11.984,1923000
2011-05-04,11.746,12.046,11.884,2242900
2011-05-05,11.846,12.638,12.376,1663200
2011-05-06,12.276,12.807,12.345,864900
2011-05-09,12.215,12.499,12.307,621900
2011-05-10,12.299,12.515,12.515,525600
2011-05-11,12.507,12.83,12.684,1001200
2011-05-12,12.507,12.937,12.807,722000
2011-05-13,12.661,12.86,12.691,513100
2011-05-16,12.445,12.699,12.445,673900
2011-05-17,12.322,12.622,12.607,772000
2011-05-18,12.53,12.684,12.676,489700
2011-05-19,12.614,12.945,12.907,539400
2011-05-20,12.653,12.968,12.761,577100
2011-05-23,12.599,12.96,12.83,447500
2011-05-24,12.468,12.837,12.476,861100
2011-05-25,12.438,12.73,12.714,575200
2011-05-26,12.653,13.053,12.991,738600
2011-05-27,12.945,13.13,12.991,375000
2011-05-31,13.083,13.445,13.245,1037700
2011-06-01,12.776,13.299,12.799,826500
2011-06-02,12.684,13.007,12.814,938400
2011-06-03,12.584,12.853,12.607,785900
2011-06-06,12.438,12.737,12.607,840200
2011-06-07,12.561,12.73,12.576,773200
2011-06-08,12.315,12.545,12.322,1069200
2011-06-09,12.192,12.369,12.369,949300
2011-06-10,12.153,12.445,12.269,1031100
