,Low,High,Close,Volume
2010-12-09,31.056,31.598,31.428,107300
2010-12-10,31.281,32.016,32.0,62200
2010-12-13,31.668,32.171,31.83,83500
2010-12-14,31.83,32.434,32.078,139600
2010-12-15,31.753,32.457,31.931,106500
2010-12-16,31.714,32.364,32.039,82400
2010-12-17,31.745,32.07,32.055,336400
2010-12-20,31.931,32.147,31.954,101000
2010-12-21,32.062,32.449,32.287,102400
2010-12-22,32.271,32.813,32.774,133100
2010-12-23,32.465,32.828,32.48,97000
2010-12-27,32.062,32.681,32.681,69100
2010-12-28,32.527,32.766,32.72,38500
2010-12-29,32.534,32.728,32.542,23100
2010-12-30,32.287,32.65,32.488,84800
2010-12-31,32.047,32.519,32.062,96700
2011-01-03,32.449,33.145,33.037,232800
2011-01-04,32.047,33.115,32.828,154400
2011-01-05,32.681,33.207,33.153,101500
2011-01-06,32.929,33.316,33.022,115100
2011-01-07,31.815,33.269,31.877,98800
2011-01-10,31.281,32.596,32.349,119600
2011-01-11,32.364,32.844,32.619,113400
2011-01-12,32.619,32.975,32.813,76400
2011-01-13,32.728,33.192,32.991,82800
2011-01-14,32.712,33.942,33.904,130000
2011-01-18,33.238,34.314,34.205,136100
2011-01-19,33.292,34.229,33.308,119500
2011-01-20,32.89,33.656,33.138,89700
2011-01-21,32.929,33.556,33.006,113400
2011-01-24,32.906,33.285,33.022,59600
2011-01-25,32.704,33.184,33.184,63300
2011-01-26,31.381,33.455,32.093,244600
2011-01-27,31.939,32.403,32.186,184200
2011-01-28,31.397,32.403,31.644,196500
2011-01-31,31.451,31.977,31.451,180000
2011-02-01,31.559,32.194,32.07,128300
2011-02-02,31.691,32.256,31.815,81300
2011-02-03,31.397,32.186,32.186,110000
2011-02-04,31.884,32.38,32.356,95600
2011-02-07,32.341,33.2,32.921,152200
2011-02-08,32.612,32.983,32.921,85200
2011-02-09,32.341,32.921,32.534,101300
2011-02-10,32.016,32.534,32.171,85800
2011-02-11,31.993,32.813,32.751,127000
2011-02-14,32.434,33.138,32.55,88300
2011-02-15,32.078,32.627,32.078,165300
2011-02-16,31.66,32.256,31.946,135700
2011-02-17,31.559,32.395,31.784,134500
2011-02-18,31.815,32.41,32.271,128300
2011-02-22,31.188,32.07,31.25,141300
2011-02-23,30.615,31.405,30.646,147100
2011-02-24,30.213,30.778,30.468,161400
2011-02-25,30.499,31.087,31.033,154100
2011-02-28,30.677,31.234,30.855,79800
2011-03-01,30.376,31.087,30.484,99400
2011-03-02,30.043,30.639,30.36,100100
2011-03-03,30.592,30.917,30.824,118000
2011-03-04,30.066,30.824,30.407,95800
2011-03-07,29.641,30.515,29.88,144900
2011-03-08,30.058,30.917,30.832,121400
2011-03-09,30.525,31.163,30.743,88400
2011-03-10,29.849,30.517,30.385,157000
2011-03-11,30.035,30.603,30.362,123700
2011-03-14,29.957,30.346,30.191,120800
2011-03-15,29.265,30.354,30.206,171800
2011-03-16,29.794,30.245,29.88,170300
2011-03-17,29.506,30.323,29.654,149300
