,Low,High,Close,Volume
2015-04-20,18.838,20.952,20.952,21130
2015-04-21,20.268,21.559,20.966,29739
2015-04-22,20.617,24.161,21.119,131417
2015-04-23,20.896,21.315,21.036,185356
2015-04-24,19.954,21.147,19.954,1156141
2015-04-27,19.187,20.582,19.194,2220357
2015-04-28,18.901,20.854,20.568,4094985
2015-04-29,20.659,21.433,21.154,1709560
2015-04-30,20.722,21.154,20.987,1327350
2015-05-01,20.617,21.154,20.91,771704
2015-05-04,20.415,21.203,21.043,1033514
2015-05-05,20.757,21.385,21.099,770801
2015-05-06,19.836,21.14,19.926,1068911
2015-05-07,19.187,20.024,19.271,1355644
2015-05-08,18.883,19.529,19.291,846171
2015-05-11,18.733,19.257,19.124,828713
2015-05-12,18.698,19.689,19.612,686641
2015-05-13,19.243,19.605,19.396,633846
2015-05-14,19.194,19.508,19.403,630294
2015-05-15,19.187,19.431,19.208,333087
2015-05-18,18.691,19.187,18.74,521392
2015-05-19,18.259,18.74,18.294,845991
2015-05-20,17.896,18.432,17.924,502369
2015-05-21,17.68,18.524,18.489,858392
2015-05-22,18.203,18.782,18.684,555947
2015-05-26,18.301,18.838,18.482,412551
2015-05-27,18.077,18.426,18.231,525486
2015-05-28,18.057,18.308,18.126,377755
2015-05-29,17.966,18.224,18.175,566663
2015-06-01,17.896,18.28,18.043,381728
2015-06-02,17.917,18.712,18.433,623010
2015-06-03,18.057,18.405,18.14,461915
2015-06-04,17.722,18.147,17.757,498576
2015-06-05,17.715,17.98,17.805,419112
2015-06-08,17.791,17.966,17.861,469741
2015-06-09,17.54,17.91,17.784,703196
2015-06-10,17.659,17.878,17.715,551914
2015-06-11,17.694,18.043,18.029,547579
2015-06-12,18.07,18.405,18.224,466731
2015-06-15,17.791,18.224,17.917,489908
2015-06-16,17.743,18.329,18.259,656300
2015-06-17,18.095,18.461,18.37,570576
2015-06-18,18.329,18.569,18.433,358250
2015-06-19,18.423,18.691,18.657,1069634
2015-06-22,18.698,19.096,19.089,456677
2015-06-23,19.019,19.34,19.194,418751
2015-06-24,18.964,19.25,19.131,610127
2015-06-25,19.047,19.271,19.257,879823
2015-06-26,18.23,19.145,18.287,2570119
2015-06-29,17.478,18.365,17.599,679839
2015-06-30,17.294,17.726,17.528,705183
2015-07-01,16.826,17.606,16.996,806379
2015-07-02,16.649,17.131,16.677,516817
2015-07-06,16.436,16.847,16.84,459326
2015-07-07,16.174,16.939,16.351,796386
2015-07-08,15.933,16.308,16.025,910585
2015-07-09,15.883,16.351,15.904,751236
2015-07-10,15.925,16.436,16.408,365294
2015-07-13,16.154,16.634,16.5,511158
2015-07-14,16.344,16.634,16.606,729323
2015-07-15,16.429,16.904,16.876,579907
2015-07-16,16.783,17.287,17.188,598689
2015-07-17,16.84,17.188,16.918,364872
2015-07-20,16.677,17.308,17.18,491834
2015-07-21,16.28,17.188,16.578,707470
2015-07-22,15.869,16.677,15.911,571057
2015-07-23,15.472,15.996,15.535,498456
2015-07-24,14.841,15.521,15.025,629692
2015-07-27,14.429,14.904,14.685,695852
2015-07-28,14.472,14.961,14.784,723724
2015-07-29,14.568,14.954,14.876,347535
2015-07-30,14.67,14.968,14.848,417607
2015-07-31,14.66,14.926,14.784,748406
2015-08-03,14.713,15.046,15.025,356504
2015-08-04,15.018,15.294,15.223,382872
2015-08-05,14.954,15.38,15.053,498938
2015-08-06,14.748,15.897,15.131,747082
2015-08-07,14.968,15.266,15.075,417066
