,Low,High,Close,Volume
2010-12-09,18.322,18.636,18.548,623600
2010-12-10,18.548,19.055,18.999,582900
2010-12-13,18.742,19.062,18.767,498800
2010-12-14,18.592,18.936,18.798,516800
2010-12-15,18.742,19.099,18.98,740000
2010-12-16,18.986,19.475,19.387,661300
2010-12-17,19.231,19.882,19.826,1493700
2010-12-20,19.588,20.083,19.625,673300
2010-12-21,19.575,19.782,19.632,426400
2010-12-22,19.669,19.995,19.97,417000
2010-12-23,19.97,20.703,20.465,566400
2010-12-27,20.076,20.402,20.195,465800
2010-12-28,20.083,20.383,20.151,240100
2010-12-29,20.051,20.452,20.352,302700
2010-12-30,20.227,20.54,20.402,264500
2010-12-31,20.183,20.44,20.22,439900
2011-01-03,20.352,20.76,20.39,753800
2011-01-04,19.361,20.528,19.681,762000
2011-01-05,19.58,19.925,19.725,505100
2011-01-06,18.677,19.668,18.865,924000
2011-01-07,18.545,19.041,18.821,552100
2011-01-10,18.626,19.122,19.072,416100
2011-01-11,18.827,19.185,19.028,546900
2011-01-12,18.984,19.241,19.097,411400
2011-01-13,18.959,19.348,19.266,327800
2011-01-14,18.865,19.223,18.959,469600
2011-01-18,18.469,18.972,18.752,844700
2011-01-19,18.105,18.764,18.156,723500
2011-01-20,17.936,19.273,18.808,634200
2011-01-21,18.451,18.978,18.507,429500
2011-01-24,18.363,18.683,18.545,311900
2011-01-25,18.369,18.808,18.796,792900
2011-01-26,18.695,19.379,19.21,655100
2011-01-27,19.097,19.417,19.386,371600
2011-01-28,18.714,19.386,18.771,509500
2011-01-31,18.626,19.266,18.664,863100
2011-02-01,19.059,20.509,19.875,898800
2011-02-02,19.367,19.969,19.624,520400
2011-02-03,19.486,20.396,20.02,518500
2011-02-04,19.85,20.358,20.264,624700
2011-02-07,20.183,20.804,20.239,393900
2011-02-08,19.9,20.578,20.578,483800
2011-02-09,20.082,20.685,20.358,470200
2011-02-10,20.038,20.453,20.202,400000
2011-02-11,19.925,20.503,20.503,309200
2011-02-14,20.289,20.71,20.352,231800
2011-02-15,19.925,20.34,20.107,317300
2011-02-16,20.183,21.024,20.892,556800
2011-02-17,20.716,21.457,21.074,609300
2011-02-18,20.829,21.225,20.842,549300
2011-02-22,20.635,21.074,20.873,643400
2011-02-23,19.831,20.835,20.22,648300
2011-02-24,19.988,20.497,20.17,734800
2011-02-25,20.038,20.71,20.679,951500
2011-02-28,20.622,20.886,20.748,581900
2011-03-01,19.706,20.948,20.026,978800
2011-03-02,19.455,20.791,20.666,680000
2011-03-03,20.66,21.319,21.262,625800
2011-03-04,20.697,21.262,20.854,604700
2011-03-07,20.214,21.03,20.578,634200
2011-03-08,20.402,21.507,21.444,646000
2011-03-09,21.212,21.814,21.57,722500
2011-03-10,20.973,21.494,21.011,614600
2011-03-11,20.666,21.312,21.017,400800
2011-03-14,20.164,21.03,20.478,511000
2011-03-15,19.536,20.497,20.227,782900
2011-03-16,19.831,20.471,20.239,782900
2011-03-17,20.239,20.873,20.817,709300
