,Low,High,Close,Volume
2010-12-09,7.054,7.135,7.113,17500
2010-12-10,7.113,7.177,7.159,11000
2010-12-13,7.045,7.175,7.101,17500
2010-12-14,7.001,7.165,7.032,18000
2010-12-15,7.032,7.161,7.113,18000
2010-12-16,7.098,7.341,7.341,21000
2010-12-17,7.073,7.321,7.298,61000
2010-12-20,7.275,7.478,7.43,75500
2010-12-21,7.265,7.399,7.353,27000
2010-12-22,7.328,7.399,7.379,8000
2010-12-23,7.279,7.379,7.312,5500
2010-12-27,7.048,7.383,7.362,21500
2010-12-28,7.362,7.423,7.423,13000
2010-12-29,7.274,7.422,7.401,16500
2010-12-30,7.332,7.404,7.332,5000
2010-12-31,7.379,7.42,7.42,3500
2011-01-03,7.42,7.749,7.732,86000
2011-01-04,7.61,7.749,7.633,34000
2011-01-05,7.577,7.672,7.635,37000
2011-01-06,7.6,7.633,7.619,9000
2011-01-07,7.511,7.615,7.522,8500
2011-01-10,7.406,7.52,7.432,16500
2011-01-11,7.068,7.376,7.156,59500
2011-01-12,7.128,7.196,7.154,10000
2011-01-13,7.142,7.298,7.246,49000
2011-01-14,7.223,7.73,7.73,51000
2011-01-18,7.506,7.732,7.668,69500
2011-01-19,7.473,7.673,7.49,36500
2011-01-20,7.483,7.557,7.483,11000
2011-01-21,7.399,7.555,7.399,11500
2011-01-24,7.295,7.617,7.362,33500
2011-01-25,7.323,7.471,7.323,4000
2011-01-26,7.209,7.327,7.291,19000
2011-01-27,7.145,7.517,7.149,10000
2011-01-28,6.578,7.216,6.869,64000
2011-01-31,6.569,7.045,7.006,34000
2011-02-01,6.964,7.129,7.105,9500
2011-02-02,7.043,7.043,7.043,1000
2011-02-03,7.002,7.071,7.002,1500
2011-02-04,6.781,6.909,6.862,17000
2011-02-07,6.826,7.025,6.911,9000
2011-02-08,6.856,6.953,6.943,8000
2011-02-09,6.803,7.025,6.803,3000
2011-02-10,6.856,6.951,6.946,15500
2011-02-11,6.847,6.946,6.946,12500
2011-02-14,6.911,6.985,6.939,5500
2011-02-15,6.888,7.017,6.909,11500
2011-02-16,6.872,7.034,6.997,33500
2011-02-17,6.995,7.184,7.131,28000
2011-02-18,7.073,7.145,7.105,21000
2011-02-22,7.015,7.089,7.036,33000
2011-02-23,7.015,7.129,7.015,14500
2011-02-24,6.974,7.098,7.098,23000
2011-02-25,6.987,7.138,7.138,16500
2011-02-28,7.018,7.138,7.105,18500
2011-03-01,6.939,7.083,6.953,9000
2011-03-02,6.763,6.948,6.948,5500
2011-03-03,6.932,7.01,7.001,15000
2011-03-04,6.932,7.002,6.932,9000
2011-03-07,6.84,7.002,6.84,11000
2011-03-08,6.809,6.893,6.851,6000
2011-03-09,6.83,6.883,6.883,11000
2011-03-10,6.842,6.899,6.842,32500
2011-03-11,6.828,6.879,6.879,13000
2011-03-14,6.842,6.988,6.932,19000
2011-03-15,6.777,6.851,6.835,4000
2011-03-16,6.803,7.024,6.863,92000
2011-03-17,6.693,6.867,6.726,20000
2011-03-18,6.694,6.788,6.722,62000
2011-03-21,6.724,6.9,6.9,37500
2011-03-22,6.844,6.913,6.913,5500
2011-03-23,6.906,7.029,7.029,17000
2011-03-24,6.985,7.124,7.119,12000
2011-03-25,7.055,7.179,7.094,28000
2011-03-28,7.045,7.119,7.119,16500
2011-03-29,7.054,7.082,7.082,2500
2011-03-30,7.036,7.087,7.078,12500
2011-03-31,7.133,7.135,7.135,4000
2011-04-01,7.182,7.297,7.297,19500
2011-04-04,7.291,7.364,7.364,20000
2011-04-05,7.251,7.437,7.381,49500
2011-04-06,7.346,7.406,7.404,3500
2011-04-07,7.323,7.401,7.367,37000
2011-04-08,7.173,7.436,7.251,76500
2011-04-11,7.177,7.244,7.177,14000
2011-04-12,6.865,7.128,6.958,25500
2011-04-13,6.985,7.17,7.041,63500
2011-04-14,7.045,7.131,7.113,25500
2011-04-15,7.047,7.258,7.258,28000
2011-04-18,7.2,7.284,7.221,10000
2011-04-19,7.002,7.221,7.073,28500
2011-04-20,7.024,7.193,7.066,20000
2011-04-21,7.013,7.143,7.013,10500
2011-04-25,7.01,7.066,7.01,10000
2011-04-26,6.976,7.052,7.052,16500
2011-04-27,7.027,7.207,7.207,12500
2011-04-28,7.069,7.221,7.217,24000
2011-04-29,7.184,7.284,7.284,16500
2011-05-02,7.115,7.409,7.246,85000
2011-05-03,7.172,7.284,7.172,7000
2011-05-04,7.138,7.247,7.172,7000
2011-05-05,7.008,7.177,7.031,44000
2011-05-06,7.02,7.082,7.045,13000
2011-05-09,7.048,7.087,7.076,6000
2011-05-10,6.999,7.147,7.147,16500
2011-05-11,7.038,7.038,7.038,2500
2011-05-12,7.131,7.131,7.131,3000
2011-05-13,7.043,7.154,7.043,6500
2011-05-16,6.939,7.011,6.939,17500
2011-05-17,6.884,6.939,6.884,3500
2011-05-18,6.879,7.052,6.981,10500
2011-05-19,6.927,7.069,6.927,9500
2011-05-20,6.832,7.006,6.849,42000
2011-05-23,6.678,6.865,6.678,12000
2011-05-24,6.56,6.71,6.592,20000
2011-05-25,6.601,6.673,6.638,9500
2011-05-26,6.641,6.796,6.796,14500
2011-05-27,6.798,7.054,6.833,93500
2011-05-31,6.819,6.95,6.95,39500
2011-06-01,6.782,6.985,6.784,21500
2011-06-02,6.793,6.997,6.837,66000
2011-06-03,6.721,6.765,6.721,11500
2011-06-06,6.52,6.722,6.52,28000
2011-06-07,6.608,6.745,6.728,16500
2011-06-08,6.698,6.698,6.698,7000
2011-06-09,6.647,6.816,6.816,5500
2011-06-10,6.55,6.779,6.657,15000
2011-06-13,6.64,6.781,6.64,19000
2011-06-14,6.645,6.927,6.812,83500
2011-06-15,6.67,6.752,6.67,5000
2011-06-16,6.652,6.714,6.714,8500
2011-06-17,6.645,6.921,6.645,62500
2011-06-20,6.64,6.733,6.696,9500
2011-06-21,6.798,6.814,6.798,5500
2011-06-22,6.747,6.855,6.788,22500
2011-06-23,6.631,6.826,6.826,7000
2011-06-24,6.781,7.175,7.166,481500
2011-06-27,7.131,7.369,7.351,46500
2011-06-28,7.307,7.441,7.318,76500
2011-06-29,7.172,7.395,7.177,33500
2011-06-30,7.161,7.24,7.223,26500
2011-07-01,7.21,7.39,7.295,83000
2011-07-05,7.091,7.297,7.293,7000
2011-07-06,7.242,7.309,7.307,20000
2011-07-07,7.307,7.388,7.388,32000
2011-07-08,7.302,7.372,7.302,13500
2011-07-11,7.165,7.265,7.165,9500
2011-07-12,7.106,7.286,7.106,10500
2011-07-13,7.149,7.341,7.341,28000
2011-07-14,7.159,7.288,7.175,25500
2011-07-15,7.244,7.362,7.323,23000
2011-07-18,7.212,7.397,7.223,10000
2011-07-19,7.256,7.39,7.39,18000
2011-07-20,7.305,7.376,7.311,7000
2011-07-21,7.325,7.557,7.557,14500
2011-07-22,7.489,7.566,7.496,23000
2011-07-25,7.445,7.573,7.462,9000
2011-07-26,7.397,7.527,7.527,15000
2011-07-27,7.194,7.469,7.194,17500
2011-07-28,7.221,7.436,7.337,131000
2011-07-29,7.251,7.388,7.263,8500
2011-08-01,7.228,7.385,7.272,28500
2011-08-02,7.21,7.376,7.216,29000
2011-08-03,7.113,7.274,7.198,34500
2011-08-04,7.045,7.161,7.045,37500
2011-08-05,7.045,7.168,7.133,30500
2011-08-08,6.957,7.175,6.957,85500
2011-08-09,6.934,7.133,7.133,31500
2011-08-10,6.737,7.015,6.781,128000
2011-08-11,6.781,7.131,7.075,61500
2011-08-12,6.944,7.307,7.159,31000
2011-08-15,7.203,7.309,7.309,19500
2011-08-16,7.047,7.281,7.184,16000
2011-08-17,7.136,7.305,7.15,20500
2011-08-18,6.893,7.05,6.95,31500
2011-08-19,6.872,6.958,6.957,18000
2011-08-22,6.828,7.108,6.916,17000
2011-08-23,6.825,7.187,7.187,71500
2011-08-24,7.006,7.08,7.08,22500
2011-08-25,6.921,7.08,6.925,14500
2011-08-26,6.995,7.045,7.045,5500
2011-08-29,6.906,7.321,7.321,21500
2011-08-30,7.08,7.483,7.482,34500
2011-08-31,7.358,7.57,7.455,32000
2011-09-01,7.138,7.265,7.156,12500
2011-09-02,7.059,7.409,7.397,52000
2011-09-06,7.032,7.533,7.358,26500
2011-09-07,7.434,7.571,7.49,13000
2011-09-08,7.314,7.52,7.314,13000
