,Low,High,Close,Volume
2018-02-08,9.875,10.624,9.875,3771800
2018-02-09,9.39,10.641,10.547,1351300
2018-02-12,10.113,10.811,10.556,307700
2018-02-13,10.147,10.931,10.888,309700
2018-02-14,10.386,10.965,10.896,257700
2018-02-15,10.569,11.118,11.109,348000
2018-02-16,10.769,11.177,11.109,224000
2018-02-20,10.65,11.118,11.058,107200
2018-02-21,10.684,11.16,11.007,171700
2018-02-22,10.709,11.092,11.067,189500
2018-02-23,10.862,11.092,11.067,87600
2018-02-26,10.913,11.484,11.288,395500
2018-02-27,10.769,11.492,11.067,170500
2018-02-28,10.837,11.067,11.024,101600
2018-03-01,10.641,11.28,11.135,381700
2018-03-02,10.939,11.416,11.322,138300
2018-03-05,10.726,11.245,10.888,152300
2018-03-06,10.709,11.024,10.939,75200
2018-03-07,10.735,11.092,11.067,169200
2018-03-08,10.982,11.194,11.067,100500
2018-03-09,10.794,11.169,11.067,194600
2018-03-12,10.735,11.177,10.777,117900
2018-03-13,10.573,11.177,10.573,160500
2018-03-14,10.139,10.713,10.496,212500
2018-03-15,10.13,10.76,10.224,66300
2018-03-16,10.088,10.411,10.164,459700
2018-03-19,9.96,10.386,10.105,61800
2018-03-20,9.534,10.338,9.943,159900
2018-03-21,9.875,10.292,10.071,94600
2018-03-22,9.917,10.343,10.215,57000
2018-03-23,10.054,10.326,10.147,33000
2018-03-26,9.926,10.53,10.445,87500
2018-03-27,10.054,10.845,10.573,91200
2018-03-28,10.301,10.539,10.505,88600
2018-03-29,10.352,10.624,10.471,48100
2018-04-02,9.935,10.948,10.207,204400
2018-04-03,9.73,10.471,9.815,210800
2018-04-04,9.075,10.037,9.534,130100
2018-04-05,9.236,9.814,9.568,124100
2018-04-06,9.156,9.798,9.228,120000
2018-04-09,8.956,9.509,9.066,146900
2018-04-10,8.998,9.364,9.262,96700
2018-04-11,8.964,9.305,9.1,58600
2018-04-12,8.845,9.356,9.075,60400
2018-04-13,8.896,9.441,9.143,58900
2018-04-16,8.845,9.364,9.134,70100
2018-04-17,8.981,9.347,9.271,72700
2018-04-18,8.939,9.236,8.998,99300
2018-04-19,8.939,9.109,9.024,24200
2018-04-20,8.904,9.398,8.904,76800
2018-04-23,8.848,9.058,9.015,32200
2018-04-24,8.819,9.058,9.024,356800
2018-04-25,8.768,9.215,9.032,251500
2018-04-26,8.555,9.143,8.939,45300
2018-04-27,8.7,9.049,8.947,104500
2018-04-30,8.966,9.781,9.415,50900
2018-05-01,9.126,9.611,9.415,56800
2018-05-02,9.16,9.62,9.228,39700
2018-05-03,9.1,9.475,9.245,108400
2018-05-04,9.199,9.466,9.364,11300
2018-05-07,9.078,9.449,9.236,24400
2018-05-08,8.513,9.215,8.964,314500
2018-05-09,8.879,9.228,9.177,137600
2018-05-10,8.692,9.177,9.032,82600
2018-05-11,8.819,9.049,8.819,145600
2018-05-14,8.581,8.896,8.7,104500
2018-05-15,8.555,9.066,8.666,41600
2018-05-16,8.385,8.811,8.564,220500
2018-05-17,8.513,8.811,8.606,71500
2018-05-18,8.479,9.058,8.589,268300
2018-05-21,8.275,8.93,8.777,102900
2018-05-22,8.555,8.921,8.853,162100
2018-05-23,8.93,9.151,9.066,126300
2018-05-24,9.066,9.441,9.373,72700
2018-05-25,9.16,9.356,9.228,11400
2018-05-29,9.053,9.288,9.066,24700
2018-05-30,9.066,9.62,9.441,123400
2018-05-31,9.288,9.952,9.534,71600
2018-06-01,9.551,10.045,9.926,112700
2018-06-04,9.926,10.684,9.986,87100
2018-06-05,9.424,10.241,9.739,93800
2018-06-06,9.236,9.952,9.398,93000
2018-06-07,9.279,9.577,9.441,74300
2018-06-08,9.398,9.747,9.688,60300
2018-06-11,9.173,9.628,9.56,202100
2018-06-12,9.364,9.739,9.56,62400
2018-06-13,8.981,9.662,9.032,135700
2018-06-14,9.066,9.432,9.236,123300
2018-06-15,8.624,9.398,8.87,188000
2018-06-18,8.683,9.415,8.964,152500
2018-06-19,8.751,9.534,9.194,155400
2018-06-20,8.785,9.466,9.134,164000
2018-06-21,9.058,9.483,9.253,121300
2018-06-22,9.041,9.253,9.126,105500
2018-06-25,8.956,9.364,9.143,76700
2018-06-26,8.615,9.168,8.768,210300
2018-06-27,8.428,9.015,8.572,63300
2018-06-28,8.47,8.802,8.598,25000
2018-06-29,8.606,9.058,9.007,73500
2018-07-02,8.7,9.322,8.93,51900
2018-07-03,8.717,9.147,9.143,5200
2018-07-05,8.692,9.177,8.853,20700
2018-07-06,8.462,9.134,8.606,52600
2018-07-09,8.462,8.87,8.521,61100
2018-07-10,7.832,8.751,8.641,41400
2018-07-11,8.411,8.785,8.453,15700
2018-07-12,8.215,8.572,8.496,34800
2018-07-13,8.436,8.624,8.624,20500
2018-07-16,8.624,8.921,8.862,57700
2018-07-17,8.581,8.964,8.956,36200
