,Low,High,Close,Volume
2014-06-18,15.837,17.538,16.526,7080600
2014-06-19,16.22,17.318,17.032,980100
2014-06-20,16.705,17.369,17.364,238500
2014-06-23,17.364,18.391,17.484,322900
2014-06-24,16.68,17.859,16.858,237900
2014-06-25,16.128,17.088,16.332,243100
2014-06-26,16.251,16.68,16.567,144900
2014-06-27,16.327,17.109,16.91,117600
2014-06-30,16.953,17.696,17.267,188500
2014-07-01,16.378,17.625,16.475,234800
2014-07-02,16.143,17.088,17.007,72100
2014-07-03,16.858,17.359,17.201,13900
2014-07-07,16.915,17.382,17.354,41300
2014-07-08,16.884,17.431,17.114,44200
2014-07-09,16.858,17.114,17.042,27700
2014-07-10,16.615,16.965,16.818,30400
2014-07-11,16.603,16.848,16.695,90300
2014-07-14,16.225,16.654,16.603,158900
2014-07-15,16.409,16.751,16.588,95500
2014-07-16,16.353,17.114,16.761,56100
2014-07-17,16.399,17.073,16.971,35000
2014-07-18,16.818,17.282,17.165,86900
2014-07-21,16.695,17.369,16.879,60000
2014-07-22,16.731,16.935,16.818,12000
2014-07-23,16.705,16.915,16.715,18500
2014-07-24,16.68,16.935,16.69,46800
2014-07-25,16.404,16.792,16.526,23400
2014-07-28,15.964,16.71,16.021,223200
2014-07-29,15.964,16.307,16.01,210000
2014-07-30,15.505,16.21,15.51,341000
2014-07-31,15.344,15.913,15.556,128500
2014-08-01,15.423,15.888,15.735,36400
2014-08-04,15.387,15.872,15.653,9300
2014-08-05,15.387,15.663,15.586,9200
2014-08-06,15.402,15.735,15.617,20700
2014-08-07,15.413,16.281,15.964,26300
2014-08-08,15.735,16.491,16.327,18300
2014-08-11,15.735,16.348,16.102,27100
2014-08-12,15.74,16.348,16.092,18200
2014-08-13,15.945,16.215,16.01,4100
2014-08-14,15.867,16.332,16.235,5300
2014-08-15,15.758,16.123,16.036,2900
2014-08-18,15.716,16.414,16.404,5700
2014-08-19,16.043,16.777,16.777,6400
2014-08-20,16.082,16.777,16.348,21500
