,Low,High,Close,Volume
2021-02-02,18.339,18.521,18.412,1814300
2021-02-03,18.376,18.645,18.536,1213600
2021-02-04,18.492,18.71,18.536,188100
2021-02-05,18.397,18.681,18.463,335800
2021-02-08,18.325,18.608,18.405,106000
2021-02-09,18.354,18.623,18.572,251800
2021-02-10,18.426,18.645,18.572,178600
2021-02-11,18.499,18.681,18.554,109300
2021-02-12,18.426,18.645,18.448,69300
2021-02-16,18.281,18.492,18.281,130000
2021-02-17,18.208,18.354,18.259,190800
2021-02-18,18.198,18.376,18.325,134100
2021-02-19,18.267,18.401,18.317,269400
2021-02-22,18.259,18.405,18.332,257100
2021-02-23,18.252,18.347,18.347,96300
2021-02-24,18.223,18.383,18.368,112900
2021-02-25,18.096,18.368,18.128,239800
2021-02-26,17.7,18.288,17.91,1561900
2021-03-01,17.827,18.092,17.889,116100
2021-03-02,17.889,18.056,17.947,475700
2021-03-03,17.874,18.056,17.954,106000
2021-03-04,17.874,18.019,17.925,78100
2021-03-05,17.845,18.114,18.056,68000
2021-03-08,17.983,18.114,18.063,53600
2021-03-09,17.969,18.143,18.063,95300
2021-03-10,18.005,18.099,18.063,54000
2021-03-11,18.027,18.128,18.063,58000
2021-03-12,17.954,18.099,18.063,75700
2021-03-15,18.034,18.15,18.099,74000
2021-03-16,18.087,18.158,18.121,90000
2021-03-17,18.049,18.136,18.07,71300
2021-03-18,17.91,18.063,17.947,66500
2021-03-19,17.954,18.128,18.063,82300
2021-03-22,18.041,18.172,18.165,68300
2021-03-23,18.158,18.252,18.23,56300
2021-03-24,18.288,18.456,18.412,29700
2021-03-25,18.339,18.55,18.514,22900
2021-03-26,18.481,18.63,18.63,18000
2021-03-29,18.536,18.657,18.557,31300
2021-03-30,18.477,18.623,18.514,48900
2021-03-31,18.463,18.601,18.528,33600
2021-04-01,18.536,18.572,18.536,53800
2021-04-05,18.487,18.63,18.536,58800
2021-04-06,18.55,18.666,18.586,88300
2021-04-07,18.506,18.651,18.608,61600
2021-04-08,18.579,18.645,18.608,38400
2021-04-09,18.543,18.645,18.608,52200
2021-04-12,18.581,18.735,18.662,44600
2021-04-13,18.618,18.735,18.698,46600
2021-04-14,18.676,18.735,18.698,20800
2021-04-15,18.647,18.757,18.735,32300
2021-04-16,18.706,19.006,18.918,295500
2021-04-19,18.808,18.984,18.918,25100
2021-04-20,18.859,18.974,18.918,24600
2021-04-21,18.882,18.999,18.911,43100
2021-04-22,18.889,19.014,19.014,92700
2021-04-23,18.926,18.992,18.984,19900
2021-04-26,18.882,18.977,18.918,22700
2021-04-27,18.904,19.064,19.003,29400
2021-04-28,18.974,19.065,18.992,10900
2021-04-29,18.889,19.072,18.962,11000
2021-04-30,18.852,19.014,18.874,38900
2021-05-03,18.918,19.065,19.058,16400
2021-05-04,18.999,19.146,19.087,59900
2021-05-05,19.08,19.219,19.102,6800
2021-05-06,19.032,19.219,19.131,22100
2021-05-07,18.999,19.263,19.182,17500
2021-05-10,19.065,19.222,19.072,10200
2021-05-11,18.918,19.043,19.0,24500
2021-05-12,18.779,18.962,18.801,42400
2021-05-13,18.801,18.918,18.874,8300
2021-05-14,18.808,18.959,18.955,19300
2021-05-17,18.926,19.006,19.006,5700
2021-05-18,18.816,18.992,18.984,9600
2021-05-19,18.772,19.021,18.984,10700
2021-05-20,18.957,19.153,19.153,6700
2021-05-21,19.138,19.234,19.212,14400
2021-05-24,19.131,19.3,19.212,16900
2021-05-25,19.175,19.234,19.212,24200
2021-05-26,19.175,19.248,19.175,2300
2021-05-27,19.08,19.263,19.197,9900
2021-05-28,19.131,19.263,19.138,43900
2021-06-01,19.128,19.256,19.19,21500
2021-06-02,19.116,19.27,19.248,23300
2021-06-03,19.103,19.3,19.19,27100
2021-06-04,19.146,19.19,19.19,14000
2021-06-07,19.072,19.241,19.138,14300
2021-06-08,19.109,19.168,19.131,21400
2021-06-09,19.126,19.292,19.263,26700
2021-06-10,19.204,19.292,19.285,9800
2021-06-11,19.212,19.292,19.27,60200
2021-06-14,19.226,19.3,19.27,97300
2021-06-15,19.212,19.351,19.27,48600
2021-06-16,19.212,19.421,19.402,17900
2021-06-17,19.241,19.424,19.424,14900
2021-06-18,19.395,19.432,19.432,12900
2021-06-21,19.358,19.432,19.424,18800
2021-06-22,19.373,19.432,19.432,23200
2021-06-23,19.432,19.659,19.637,5800
2021-06-24,19.608,19.725,19.674,7100
2021-06-25,19.542,19.725,19.644,9200
2021-06-28,19.571,19.725,19.725,12000
2021-06-29,19.593,19.798,19.652,55100
2021-06-30,19.641,19.9,19.841,176400
2021-07-01,19.574,19.9,19.685,30800
2021-07-02,19.819,19.907,19.819,10100
2021-07-06,19.685,19.841,19.833,11000
2021-07-07,19.552,19.841,19.641,31900
2021-07-08,19.611,19.747,19.678,3600
2021-07-09,19.616,19.744,19.663,4300
2021-07-12,19.689,19.744,19.689,10300
2021-07-13,19.596,19.744,19.618,17600
2021-07-14,19.529,19.655,19.618,15200
2021-07-15,19.507,19.633,19.529,5800
2021-07-16,19.336,19.626,19.351,43500
2021-07-19,19.24,19.351,19.255,21500
2021-07-20,19.277,19.396,19.351,24500
2021-07-21,19.299,19.381,19.366,9800
2021-07-22,19.158,19.359,19.307,17300
2021-07-23,19.254,19.411,19.411,7800
2021-07-26,19.247,19.359,19.351,6100
2021-07-27,19.277,19.411,19.411,15600
2021-07-28,19.212,19.448,19.433,8500
2021-07-29,19.407,19.544,19.544,10500
2021-07-30,19.355,19.715,19.715,18800
2021-08-02,19.648,19.767,19.648,20100
2021-08-03,19.544,19.672,19.655,19600
2021-08-04,19.559,19.655,19.596,16500
2021-08-05,19.485,19.655,19.507,22200
2021-08-06,19.559,19.655,19.655,9800
2021-08-09,19.262,19.655,19.285,47300
2021-08-10,19.032,19.292,19.225,18300
2021-08-11,19.144,19.303,19.188,21700
2021-08-12,19.166,19.409,19.374,15800
2021-08-13,19.234,19.44,19.307,24200
2021-08-16,19.203,19.314,19.285,13600
2021-08-17,19.162,19.374,19.366,23800
