,Low,High,Close,Volume
2010-12-09,15.844,16.094,15.962,421600
2010-12-10,15.823,16.142,16.135,751200
2010-12-13,15.809,16.212,15.83,616900
2010-12-14,15.67,16.003,15.698,728500
2010-12-15,15.434,15.774,15.434,812400
2010-12-16,15.35,15.642,15.6,1527000
2010-12-17,15.385,15.621,15.468,901000
2010-12-20,15.399,15.649,15.635,929600
2010-12-21,15.6,15.885,15.83,344900
2010-12-22,15.649,15.955,15.871,287100
2010-12-23,15.705,15.969,15.83,277000
2010-12-27,15.698,15.85,15.746,257500
2010-12-28,15.635,15.864,15.684,290300
2010-12-29,15.6,15.774,15.635,233200
2010-12-30,15.573,15.816,15.725,249700
2010-12-31,15.635,15.802,15.705,483200
2011-01-03,15.781,16.142,16.017,657900
2011-01-04,15.67,16.108,15.691,684900
2011-01-05,16.01,16.434,16.351,1827100
2011-01-06,16.017,16.434,16.107,728500
2011-01-07,15.884,16.246,16.17,609700
2011-01-10,15.996,16.351,16.239,609900
2011-01-11,16.142,16.685,16.239,900000
2011-01-12,16.191,16.365,16.26,433200
2011-01-13,16.072,16.344,16.344,648200
2011-01-14,16.225,16.713,16.692,1274700
2011-01-18,16.386,16.713,16.511,799400
2011-01-19,15.968,16.588,16.093,667000
2011-01-20,15.822,16.156,15.891,1186800
2011-01-21,15.78,15.989,15.822,615900
2011-01-24,15.801,16.058,15.954,868100
2011-01-25,15.835,16.212,16.079,727700
2011-01-26,16.03,16.532,16.407,1116700
2011-01-27,16.337,17.883,17.778,4488400
2011-01-28,16.824,17.792,16.887,2354900
2011-01-31,16.748,17.214,17.166,1250600
2011-02-01,17.207,17.5,17.312,1000100
2011-02-02,17.026,17.305,17.131,658700
2011-02-03,17.04,17.34,17.207,512100
2011-02-04,16.908,17.319,17.075,499200
2011-02-07,16.769,17.089,16.95,769800
2011-02-08,16.755,16.998,16.901,514100
2011-02-09,16.824,17.012,16.978,597000
2011-02-10,16.706,17.005,16.984,607600
2011-02-11,16.803,17.409,17.409,853500
2011-02-14,17.249,17.479,17.312,678100
2011-02-15,17.166,17.528,17.43,681400
2011-02-16,17.319,17.507,17.507,978700
2011-02-17,17.354,17.569,17.395,805300
2011-02-18,17.235,17.444,17.263,618800
2011-02-22,16.692,17.263,16.748,756600
2011-02-23,15.961,16.81,16.177,1178800
2011-02-24,15.968,16.434,16.288,682900
2011-02-25,16.163,16.657,16.643,698000
2011-02-28,16.358,16.81,16.4,949000
2011-03-01,16.121,16.588,16.163,982900
2011-03-02,16.058,16.727,16.657,1336900
2011-03-03,16.657,17.479,17.416,1296700
2011-03-04,17.2,17.542,17.312,680500
2011-03-07,16.873,17.451,17.249,974000
2011-03-08,17.242,17.98,17.862,859900
2011-03-09,17.73,18.092,17.855,556400
2011-03-10,17.458,17.848,17.486,823100
2011-03-11,17.416,17.709,17.549,666800
2011-03-14,17.298,17.66,17.528,529200
2011-03-15,16.95,17.618,17.521,418600
2011-03-16,17.381,18.043,17.799,1503300
2011-03-17,17.507,18.21,17.549,811400
2011-03-18,17.374,17.744,17.444,697400
2011-03-21,17.611,17.806,17.737,969700
2011-03-22,17.625,17.848,17.751,494700
2011-03-23,17.542,17.751,17.723,822200
2011-03-24,17.723,17.897,17.848,913600
2011-03-25,17.681,18.022,17.98,814400
2011-03-28,17.542,17.973,17.604,739800
2011-03-29,17.416,17.674,17.562,821400
