,Low,High,Close,Volume
2010-12-09,23.617,23.832,23.696,7700
2010-12-10,23.689,23.689,23.689,400
2010-12-13,23.223,24.19,23.56,4200
2010-12-14,22.973,23.646,23.474,9200
2010-12-15,23.567,23.567,23.567,200
2010-12-16,23.402,23.739,23.61,4200
2010-12-17,23.553,24.075,24.075,12500
2010-12-20,23.56,23.939,23.939,2300
2010-12-21,23.51,23.746,23.746,1400
2010-12-22,22.794,23.51,23.173,4800
2010-12-23,22.794,23.009,23.009,1900
2010-12-27,22.773,23.037,23.037,800
2010-12-28,21.871,22.858,22.415,5400
2010-12-29,21.964,22.386,22.243,1400
2010-12-30,22.164,23.989,23.703,33100
2010-12-31,23.746,24.211,24.075,4900
2011-01-03,23.667,24.669,24.104,14300
2011-01-04,23.989,24.211,23.996,7300
2011-01-05,24.082,24.512,24.154,8000
2011-01-06,23.295,24.118,23.646,15400
2011-01-07,23.417,24.326,23.732,4700
2011-01-10,23.66,24.204,24.139,6800
2011-01-11,23.767,24.333,24.24,5400
2011-01-12,23.953,24.333,24.061,1000
2011-01-13,23.81,23.975,23.889,11100
2011-01-14,23.545,24.24,23.839,11900
2011-01-18,23.617,23.839,23.667,5400
2011-01-19,23.266,23.796,23.502,7700
2011-01-20,23.409,23.81,23.624,1200
2011-01-21,23.266,23.739,23.617,3700
2011-01-24,24.018,24.304,24.104,9800
2011-01-25,23.796,24.404,24.147,19200
2011-01-26,23.825,24.254,23.975,6500
2011-01-27,23.903,24.347,24.19,6300
2011-01-28,23.281,23.689,23.281,4600
2011-01-31,23.288,24.404,24.211,4800
2011-02-01,24.032,24.612,24.512,6500
2011-02-02,24.483,24.862,24.676,5500
2011-02-03,24.49,25.041,24.805,2700
2011-02-04,24.419,24.948,24.948,4000
2011-02-07,23.738,24.834,24.254,1100
2011-02-08,24.039,24.776,24.418,2200
2011-02-09,24.254,24.518,24.339,700
2011-02-10,23.738,24.246,24.246,1200
2011-02-11,23.953,24.411,24.01,3700
2011-02-14,23.674,23.996,23.903,2700
2011-02-15,23.731,23.759,23.759,400
2011-02-16,23.774,24.526,24.075,9000
2011-02-17,23.688,24.554,24.518,15300
2011-02-18,24.311,24.991,24.898,8200
2011-02-22,24.189,25.6,24.862,17100
2011-02-23,24.74,25.779,25.564,7600
2011-02-24,24.275,26.137,26.022,20900
2011-02-25,24.719,26.072,26.072,1700
2011-02-28,25.836,26.488,26.488,2600
2011-03-01,26.001,26.488,26.072,3900
2011-03-02,25.858,27.125,26.638,8400
2011-03-03,25.936,26.824,26.538,3700
2011-03-04,25.507,26.645,25.614,4400
2011-03-07,25.421,26.13,25.485,8400
2011-03-08,25.628,26.96,26.796,7200
2011-03-09,26.767,27.24,27.218,6200
2011-03-10,27.204,27.318,27.211,7200
2011-03-11,27.211,27.232,27.232,1300
2011-03-14,27.111,27.347,27.347,2000
2011-03-15,26.853,27.648,26.889,11500
2011-03-16,26.158,27.326,27.068,8400
2011-03-17,26.989,27.247,27.247,1600
2011-03-18,27.068,27.404,27.068,10500
2011-03-21,27.254,28.464,27.87,15200
2011-03-22,27.404,28.536,27.855,26200
2011-03-23,26.674,28.622,28.614,13300
2011-03-24,28.779,29.538,29.538,7300
2011-03-25,29.646,30.791,30.748,6600
2011-03-28,30.362,31.199,31.199,8200
2011-03-29,31.006,33.204,32.582,18700
2011-03-30,32.395,32.918,32.689,14600
2011-03-31,32.46,33.033,33.033,9300
2011-04-01,32.51,34.171,33.598,23500
2011-04-04,33.133,33.792,33.133,10800
2011-04-05,33.147,34.264,33.663,13100
2011-04-06,32.653,33.656,32.653,20400
2011-04-07,31.45,32.889,31.507,4900
2011-04-08,29.624,30.791,29.753,7800
2011-04-11,29.001,31.049,29.617,12800
2011-04-12,27.404,29.502,28.743,4000
2011-04-13,28.242,29.567,29.567,6700
2011-04-14,29.388,29.646,29.581,2100
2011-04-15,29.51,30.061,29.753,10400
2011-04-18,28.657,30.039,29.388,4900
2011-04-19,29.187,29.187,29.187,100
2011-04-20,29.058,30.075,29.767,7900
2011-04-21,29.323,29.617,29.323,11500
2011-04-25,28.822,29.216,29.209,800
2011-04-26,29.209,29.767,29.338,2800
2011-04-27,29.001,29.166,29.152,1800
2011-04-28,29.352,29.961,29.646,2900
2011-04-29,29.481,29.975,29.868,8200
2011-05-02,29.817,30.347,29.817,2700
2011-05-03,29.424,29.782,29.66,2100
2011-05-04,28.958,29.502,28.958,9700
2011-05-05,28.092,29.101,28.486,6700
2011-05-06,29.237,30.612,29.424,2700
2011-05-09,28.499,29.366,28.693,6400
2011-05-10,28.27,29.639,29.639,14400
2011-05-11,28.994,29.553,28.994,2700
2011-05-12,29.044,29.373,29.252,1200
2011-05-13,28.377,29.072,28.377,3100
2011-05-16,27.804,28.42,27.804,3600
2011-05-17,27.503,27.876,27.503,2000
2011-05-18,27.517,27.84,27.775,1100
2011-05-19,27.611,28.506,27.883,3000
2011-05-20,27.589,27.818,27.625,5000
2011-05-23,26.901,27.238,26.901,1900
2011-05-24,27.123,27.582,27.152,3400
2011-05-25,26.729,27.381,26.837,4000
2011-05-26,26.278,27.582,27.302,13700
2011-05-27,26.794,27.338,26.88,5200
2011-05-31,26.335,27.059,27.059,5000
2011-06-01,26.744,27.596,27.095,3400
2011-06-02,25.869,27.274,26.643,11200
2011-06-03,26.041,26.55,26.041,3700
2011-06-06,25.153,25.948,25.317,12400
2011-06-07,25.081,26.306,25.59,16900
2011-06-08,25.719,26.4,25.998,2500
