,Low,High,Close,Volume
2010-12-09,24.59,25.04,24.965,976500
2010-12-10,25.023,26.273,26.248,793900
2010-12-13,26.031,26.489,26.156,614200
2010-12-14,26.048,26.256,26.131,871700
2010-12-15,25.831,26.614,26.048,441200
2010-12-16,26.048,26.656,26.106,454700
2010-12-17,26.098,26.606,26.489,768900
2010-12-20,26.489,27.072,26.814,318600
2010-12-21,26.831,27.222,26.997,472700
2010-12-22,26.664,28.172,27.98,511500
2010-12-23,27.864,28.138,28.113,238400
2010-12-27,27.905,28.272,28.238,127000
2010-12-28,28.022,28.263,28.222,98600
2010-12-29,28.039,28.297,28.28,112600
2010-12-30,27.955,28.297,28.022,203100
2010-12-31,27.514,28.147,27.514,190500
2011-01-03,27.789,28.638,28.48,547600
2011-01-04,26.856,28.738,27.089,859200
2011-01-05,26.889,27.78,27.755,528400
2011-01-06,27.089,27.722,27.414,320200
2011-01-07,26.064,27.614,26.381,426200
2011-01-10,25.931,26.556,26.439,303800
2011-01-11,26.198,26.681,26.439,274600
2011-01-12,26.439,26.981,26.581,219900
2011-01-13,26.248,26.622,26.431,219500
2011-01-14,26.331,27.43,27.33,491200
2011-01-18,26.781,27.622,27.614,203400
2011-01-19,27.039,27.789,27.089,259200
2011-01-20,26.906,27.522,27.139,517100
2011-01-21,27.222,27.997,27.672,661900
2011-01-24,27.372,27.905,27.614,574100
2011-01-25,27.239,27.855,27.73,454700
2011-01-26,27.389,27.822,27.822,447400
2011-01-27,27.547,28.288,28.188,339900
2011-01-28,27.33,28.472,27.347,227400
2011-01-31,27.064,27.764,27.414,550200
2011-02-01,27.464,28.113,27.989,226500
2011-02-02,27.539,28.072,27.572,157800
2011-02-03,27.081,27.772,27.705,151100
2011-02-04,27.206,27.98,27.739,175600
2011-02-07,27.405,28.213,27.972,539600
2011-02-08,27.437,27.93,27.763,341800
2011-02-09,27.404,27.688,27.646,320600
2011-02-10,27.162,27.579,27.513,527800
2011-02-11,27.279,27.822,27.822,312200
2011-02-14,27.571,27.913,27.83,221100
2011-02-15,27.563,27.98,27.671,397900
2011-02-16,27.688,28.339,28.289,206000
2011-02-17,27.771,28.306,28.055,187300
2011-02-18,28.114,28.314,28.281,516700
2011-02-22,27.479,28.139,27.68,413700
2011-02-23,27.504,27.93,27.538,353400
2011-02-24,27.354,27.746,27.629,441400
2011-02-25,27.638,28.197,28.189,184200
2011-02-28,27.847,28.44,28.047,268700
2011-03-01,27.521,28.064,27.638,260400
2011-03-02,27.32,27.788,27.604,166100
2011-03-03,27.805,28.281,28.189,155800
2011-03-04,27.796,28.289,28.122,332000
2011-03-07,27.746,28.673,28.106,293100
2011-03-08,27.997,29.033,28.916,391300
2011-03-09,28.69,29.241,29.241,620700
2011-03-10,28.306,28.891,28.64,449400
2011-03-11,28.264,28.665,28.615,272800
2011-03-14,28.239,28.598,28.49,246500
2011-03-15,27.73,28.59,28.415,361800
2011-03-16,28.055,28.665,28.398,513400
2011-03-17,28.064,29.033,28.573,267700
2011-03-18,28.765,29.108,29.083,412900
2011-03-21,29.108,29.609,29.367,168000
2011-03-22,29.216,29.659,29.5,395200
2011-03-23,28.957,29.509,29.4,763200
2011-03-24,29.124,29.609,29.25,341800
2011-03-25,29.099,29.484,29.233,305500
2011-03-28,29.15,30.027,29.868,259200
2011-03-29,29.709,30.269,29.993,112400
2011-03-30,29.943,30.862,30.795,340300
2011-03-31,30.528,30.878,30.695,173100
2011-04-01,30.645,31.137,30.845,370600
2011-04-04,30.845,31.188,31.162,217900
2011-04-05,30.494,31.188,30.553,168800
