,Low,High,Close,Volume
2010-12-09,65.718,66.454,66.116,204114
2010-12-10,66.116,68.424,67.569,369044
2010-12-13,67.409,68.822,67.529,307851
2010-12-14,67.31,68.146,67.947,194639
2010-12-15,67.608,68.225,67.648,174631
2010-12-16,67.051,67.807,67.509,140656
2010-12-17,67.37,67.927,67.927,169158
2010-12-20,67.529,68.086,67.728,189882
2010-12-21,67.628,68.265,68.166,185201
2010-12-22,68.026,68.603,68.544,168818
2010-12-23,68.186,68.783,68.663,185805
2010-12-27,68.305,68.743,68.424,90940
2010-12-28,68.026,69.061,68.882,121064
2010-12-29,68.842,69.444,69.363,104416
2010-12-30,69.183,69.604,69.504,112080
2010-12-31,69.002,69.604,69.444,138882
2011-01-03,69.403,70.607,70.506,291505
2011-01-04,68.922,70.085,69.323,379085
2011-01-05,68.962,70.286,70.286,226953
2011-01-06,69.504,70.747,70.486,342090
2011-01-07,70.025,70.807,70.366,222687
2011-01-10,69.905,70.767,70.547,281653
2011-01-11,69.805,70.948,70.226,184295
2011-01-12,70.186,71.148,70.506,197281
2011-01-13,70.045,70.787,70.165,322800
2011-01-14,70.105,71.369,71.208,136844
2011-01-18,70.607,71.77,71.288,215250
2011-01-19,70.707,71.69,71.088,212570
2011-01-20,70.767,71.349,71.088,186334
2011-01-21,70.647,71.389,70.647,224235
2011-01-24,70.767,71.97,71.95,163646
2011-01-25,71.69,73.775,73.314,590108
2011-01-26,73.193,75.339,74.858,915135
2011-01-27,74.256,76.141,76.121,502830
2011-01-28,75.64,76.302,75.881,1027140
2011-01-31,74.196,75.861,75.359,713815
2011-02-01,74.898,75.54,75.279,476065
2011-02-02,74.156,75.319,74.196,467760
2011-02-03,74.196,74.818,74.457,332728
2011-02-04,74.497,75.299,75.199,653377
2011-02-07,74.637,75.279,75.239,308304
2011-02-08,74.958,75.62,75.56,219667
2011-02-09,75.058,76.462,76.382,316798
2011-02-10,73.173,76.221,76.201,997430
2011-02-11,75.76,77.465,77.124,476367
2011-02-14,77.004,77.405,77.204,200150
2011-02-15,76.242,77.906,77.806,433257
2011-02-16,78.046,79.209,78.487,391467
2011-02-17,78.046,78.528,78.427,213363
2011-02-18,78.207,79.671,79.57,244431
2011-02-22,77.926,79.169,78.046,303472
2011-02-23,76.542,79.029,76.663,445186
2011-02-24,76.402,77.465,76.803,415212
2011-02-25,77.164,77.986,77.605,515174
2011-02-28,77.605,78.287,77.986,273763
2011-03-01,76.903,78.447,77.505,388561
2011-03-02,76.783,77.685,76.963,314797
2011-03-03,77.304,78.267,77.746,248546
2011-03-04,76.382,77.906,77.204,227066
2011-03-07,76.081,77.505,76.362,249414
2011-03-08,76.181,76.843,76.562,286069
2011-03-09,76.081,76.703,76.262,292223
2011-03-10,75.54,76.422,75.921,445525
2011-03-11,75.399,78.788,77.846,655264
2011-03-14,77.365,79.53,78.628,916796
2011-03-15,77.505,78.868,78.147,1061417
2011-03-16,77.685,78.688,77.966,778858
2011-03-17,77.705,78.648,78.207,509474
2011-03-18,77.766,78.969,77.906,463230
2011-03-21,78.347,79.229,78.889,350546
2011-03-22,78.568,79.189,78.969,274329
2011-03-23,78.467,79.811,79.731,420497
2011-03-24,78.588,79.61,79.029,271649
2011-03-25,78.929,80.352,79.751,312079
2011-03-28,79.189,79.831,79.39,170819
2011-03-29,79.107,79.753,79.612,98905
2011-03-30,79.632,80.944,80.702,192298
2011-03-31,80.439,81.469,81.469,282030
2011-04-01,81.63,82.862,82.034,514268
2011-04-04,81.025,82.175,81.287,401433
