,Low,High,Close,Volume
2010-12-09,5.699,5.699,5.699,0
2010-12-10,5.509,5.706,5.562,6200
2010-12-13,5.562,5.562,5.562,0
2010-12-14,5.562,5.562,5.562,0
2010-12-15,5.562,5.562,5.562,0
2010-12-16,5.562,5.562,5.562,0
2010-12-17,5.562,5.562,5.562,0
2010-12-20,5.562,5.562,5.562,0
2010-12-21,5.562,5.562,5.562,0
2010-12-22,5.562,5.562,5.562,0
2010-12-23,5.501,5.585,5.501,2200
2010-12-27,5.501,5.532,5.532,500
2010-12-28,5.532,5.532,5.532,0
2010-12-29,5.532,5.532,5.532,0
2010-12-30,5.501,5.501,5.501,300
2010-12-31,5.501,5.501,5.501,0
2011-01-03,5.684,5.684,5.684,100
2011-01-04,5.684,5.684,5.684,0
2011-01-05,5.752,5.752,5.752,400
2011-01-06,5.312,5.972,5.63,9500
2011-01-07,5.63,5.63,5.63,0
2011-01-10,5.509,5.699,5.63,1900
2011-01-11,5.509,5.562,5.562,1900
2011-01-12,5.562,5.562,5.562,0
2011-01-13,5.63,5.691,5.691,800
2011-01-14,5.41,5.539,5.524,1900
2011-01-18,5.524,5.524,5.524,0
2011-01-19,5.524,5.524,5.524,0
2011-01-20,5.524,5.524,5.524,0
2011-01-21,5.524,5.524,5.524,0
2011-01-24,5.691,5.691,5.691,300
2011-01-25,5.691,5.691,5.691,0
2011-01-26,5.691,5.691,5.691,0
2011-01-27,5.691,5.691,5.691,1200
2011-01-28,5.38,5.691,5.38,1000
2011-01-31,5.38,5.38,5.38,0
2011-02-01,5.38,5.38,5.38,0
2011-02-02,5.38,5.38,5.38,0
2011-02-03,5.38,5.38,5.38,0
2011-02-04,5.38,5.38,5.38,0
2011-02-07,5.221,5.555,5.555,2600
2011-02-08,5.615,5.615,5.615,100
2011-02-09,5.577,5.577,5.577,200
2011-02-10,5.577,5.577,5.577,0
2011-02-11,5.16,5.577,5.236,2200
2011-02-14,5.221,5.539,5.532,2700
2011-02-15,5.539,5.843,5.691,4100
2011-02-16,5.691,5.699,5.691,300
2011-02-17,5.942,6.078,6.071,41000
2011-02-18,6.048,6.086,6.071,10900
2011-02-22,6.071,6.071,6.071,2300
2011-02-23,6.071,6.071,6.071,100
2011-02-24,6.071,6.071,6.071,0
2011-02-25,6.215,6.427,6.427,600
2011-02-28,6.427,6.784,6.64,600
2011-03-01,6.291,6.761,6.533,2300
2011-03-02,6.245,6.496,6.404,2100
2011-03-03,6.207,6.488,6.389,800
2011-03-04,6.169,6.344,6.275,1200
2011-03-07,6.275,6.275,6.275,0
2011-03-08,6.275,6.275,6.275,0
2011-03-09,6.389,6.526,6.526,1700
2011-03-10,6.526,6.526,6.526,0
2011-03-11,6.526,6.526,6.526,1000
2011-03-14,6.298,6.298,6.298,200
2011-03-15,6.26,6.404,6.26,700
2011-03-16,6.26,6.26,6.26,0
2011-03-17,6.184,6.23,6.184,1100
2011-03-18,6.496,6.617,6.617,700
2011-03-21,6.602,6.64,6.602,200
2011-03-22,6.268,6.784,6.268,400
2011-03-23,6.268,6.268,6.268,0
2011-03-24,6.268,6.268,6.268,0
2011-03-25,6.268,6.268,6.268,0
2011-03-28,6.784,6.784,6.784,200
2011-03-29,6.177,6.458,6.458,200
2011-03-30,6.458,6.458,6.458,0
