,Low,High,Close,Volume
2010-12-09,13.977,14.157,14.103,3126000
2010-12-10,14.079,14.175,14.109,1961700
2010-12-13,14.115,14.242,14.175,1743100
2010-12-14,14.175,14.338,14.272,1957600
2010-12-15,14.133,14.326,14.157,2016900
2010-12-16,14.097,14.278,14.272,2425500
2010-12-17,14.175,14.326,14.296,2878000
2010-12-20,14.254,14.386,14.314,1980000
2010-12-21,14.291,14.431,14.34,2346000
2010-12-22,14.261,14.389,14.298,2540300
2010-12-23,14.267,14.352,14.291,1349100
2010-12-27,14.224,14.413,14.285,1623200
2010-12-28,14.255,14.352,14.322,1258400
2010-12-29,14.304,14.371,14.31,901700
2010-12-30,14.291,14.365,14.34,1375300
2010-12-31,14.304,14.419,14.34,1445700
2011-01-03,14.31,14.419,14.346,2199800
2011-01-04,14.231,14.444,14.407,1874900
2011-01-05,14.273,14.407,14.322,1717000
2011-01-06,14.164,14.31,14.31,2784400
2011-01-07,14.231,14.45,14.438,2731900
2011-01-10,14.212,14.377,14.346,1920000
2011-01-11,14.273,14.383,14.298,2256400
2011-01-12,14.291,14.407,14.334,1710600
2011-01-13,14.261,14.358,14.279,2164800
2011-01-14,14.255,14.352,14.291,2541400
2011-01-18,14.322,14.48,14.48,2038500
2011-01-19,14.401,14.565,14.438,1940300
2011-01-20,14.462,14.651,14.59,2539500
2011-01-21,14.486,14.608,14.559,4589100
2011-01-24,14.559,14.699,14.657,1565800
2011-01-25,14.529,14.669,14.657,1992400
2011-01-26,14.541,14.657,14.584,1858600
2011-01-27,14.486,14.639,14.626,1883800
2011-01-28,14.334,14.699,14.34,1900500
2011-01-31,14.298,14.431,14.352,1830500
2011-02-01,14.358,14.547,14.541,1468800
2011-02-02,14.407,14.529,14.45,1584000
2011-02-03,14.298,14.425,14.413,1912500
2011-02-04,14.249,14.431,14.401,2089500
2011-02-07,14.413,14.523,14.523,1141800
2011-02-08,14.438,14.553,14.48,1309200
2011-02-09,14.401,14.498,14.498,1608500
2011-02-10,14.413,14.511,14.492,1537400
2011-02-11,14.431,14.59,14.572,2309900
2011-02-14,14.328,14.59,14.438,1881500
2011-02-15,14.346,14.48,14.468,1770000
2011-02-16,14.431,14.565,14.498,1325400
2011-02-17,14.425,14.565,14.48,1686100
2011-02-18,14.425,14.505,14.498,1476600
2011-02-22,14.328,14.419,14.383,1611300
2011-02-23,14.316,14.45,14.377,1732400
2011-02-24,14.298,14.413,14.322,1843900
2011-02-25,14.31,14.505,14.505,1205300
2011-02-28,14.425,14.614,14.578,2142200
2011-03-01,14.249,14.669,14.285,5566000
2011-03-02,14.267,14.413,14.395,2293400
2011-03-03,14.444,14.614,14.572,2657400
2011-03-04,14.407,14.614,14.547,3004800
2011-03-07,14.553,14.687,14.614,3026700
2011-03-08,14.639,14.919,14.906,2797300
2011-03-09,14.809,15.022,14.992,2389600
2011-03-10,14.73,14.925,14.73,2586500
2011-03-11,14.699,14.852,14.803,1906300
2011-03-14,14.511,14.724,14.608,2562700
2011-03-15,14.273,14.474,14.389,5126000
2011-03-16,14.109,14.383,14.231,4210100
2011-03-17,14.127,14.395,14.328,3007800
2011-03-18,14.243,14.517,14.279,6092100
2011-03-21,14.334,14.468,14.425,4056600
2011-03-22,14.347,14.538,14.433,2857600
2011-03-23,14.335,14.452,14.403,1967200
2011-03-24,14.39,14.501,14.446,2101300
2011-03-25,14.44,14.532,14.464,1677600
2011-03-28,14.409,14.63,14.409,2079700
2011-03-29,14.384,14.544,14.544,1765900
2011-03-30,14.569,14.84,14.729,3191900
2011-03-31,14.673,14.803,14.704,2971800
2011-04-01,14.772,14.938,14.821,2482700
2011-04-04,14.821,14.913,14.877,1667800
2011-04-05,14.79,14.913,14.809,1125100
2011-04-06,14.827,14.969,14.895,1333800
2011-04-07,14.741,14.895,14.778,1387500
2011-04-08,14.649,14.858,14.704,1465000
2011-04-11,14.421,14.772,14.47,3177800
2011-04-12,14.39,14.532,14.446,2472400
2011-04-13,14.489,14.637,14.513,2271900
2011-04-14,14.415,14.649,14.612,2451100
2011-04-15,14.643,14.889,14.846,2622600
2011-04-18,14.618,14.79,14.747,2436400
2011-04-19,14.643,14.772,14.68,1957400
2011-04-20,14.76,14.889,14.797,2024100
2011-04-21,14.729,14.821,14.803,1439200
2011-04-25,14.698,14.84,14.809,1350100
2011-04-26,14.84,14.907,14.858,1800000
2011-04-27,14.84,14.981,14.92,1738900
2011-04-28,14.803,14.981,14.963,2121400
2011-04-29,14.864,15.0,14.975,1889600
2011-05-02,14.969,15.055,15.018,1543900
2011-05-03,14.926,15.135,15.043,4202400
2011-05-04,14.901,15.08,15.061,2574800
2011-05-05,14.833,15.03,14.926,2227000
2011-05-06,14.907,15.11,14.95,1999700
2011-05-09,14.907,14.975,14.957,1735400
2011-05-10,14.975,15.184,15.154,1649500
2011-05-11,14.957,15.178,15.061,2511300
2011-05-12,15.0,15.289,15.283,2766800
2011-05-13,15.203,15.375,15.357,3098200
2011-05-16,15.283,15.443,15.394,3447700
2011-05-17,15.35,15.554,15.529,3737200
2011-05-18,15.387,15.572,15.498,2246500
2011-05-19,15.467,15.597,15.535,1764300
2011-05-20,15.443,15.627,15.547,2128400
2011-05-23,15.307,15.492,15.332,1811700
2011-05-24,15.24,15.375,15.283,1977300
2011-05-25,15.104,15.283,15.197,1819200
2011-05-26,15.055,15.221,15.197,1983800
2011-05-27,15.117,15.283,15.129,1766800
2011-05-31,15.16,15.27,15.227,3302900
2011-06-01,15.08,15.252,15.104,1981000
2011-06-02,14.95,15.129,15.055,1387700
2011-06-03,14.864,15.067,14.969,1906600
2011-06-06,14.852,14.994,14.895,1247500
2011-06-07,14.913,15.055,14.92,1477100
2011-06-08,14.815,14.969,14.895,1848000
2011-06-09,14.797,14.932,14.877,3256600
2011-06-10,14.753,14.883,14.79,2061000
2011-06-13,14.747,14.932,14.883,1603800
2011-06-14,14.864,15.012,14.92,1689500
2011-06-15,14.778,14.994,14.84,2423000
2011-06-16,14.84,15.037,14.969,2331800
2011-06-17,15.018,15.141,15.117,2646000
2011-06-20,15.006,15.166,15.141,3351100
2011-06-21,15.098,15.259,15.179,1842600
2011-06-22,15.017,15.154,15.035,1658400
2011-06-23,14.768,14.924,14.874,2232200
2011-06-24,14.911,15.042,14.942,2162800
2011-06-27,14.992,15.11,15.06,1412500
2011-06-28,15.048,15.216,15.166,1720100
2011-06-29,15.147,15.216,15.166,2013700
2011-06-30,15.073,15.222,15.116,4290900
2011-07-01,15.129,15.371,15.34,2218300
2011-07-05,15.222,15.371,15.253,1410900
2011-07-06,15.197,15.359,15.309,1570700
2011-07-07,15.266,15.396,15.334,1486600
2011-07-08,15.185,15.278,15.235,1685300
2011-07-11,14.992,15.123,15.042,1782200
2011-07-12,14.998,15.253,15.123,2023900
2011-07-13,15.054,15.228,15.067,1435900
2011-07-14,14.93,15.129,14.948,1995800
2011-07-15,14.892,15.004,14.948,1950500
