Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
11/10/2025,Cash,$0.26,10/30/2025,11/10/2025,11/13/2025,USD
08/11/2025,Cash,$0.26,07/31/2025,08/11/2025,08/14/2025,USD
05/12/2025,Cash,$0.26,05/01/2025,05/12/2025,05/15/2025,USD
02/10/2025,Cash,$0.25,01/30/2025,02/10/2025,02/13/2025,USD
11/08/2024,Cash,$0.25,10/31/2024,11/11/2024,11/14/2024,USD
08/12/2024,Cash,$0.25,08/01/2024,08/12/2024,08/15/2024,USD
05/10/2024,Cash,$0.25,05/02/2024,05/13/2024,05/16/2024,USD
02/09/2024,Cash,$0.24,02/01/2024,02/12/2024,02/15/2024,USD
11/10/2023,Cash,$0.24,11/02/2023,11/13/2023,11/16/2023,USD
08/11/2023,Cash,$0.24,08/03/2023,08/14/2023,08/17/2023,USD
05/12/2023,Cash,$0.24,05/04/2023,05/15/2023,05/18/2023,USD
02/10/2023,Cash,$0.23,02/02/2023,02/13/2023,02/16/2023,USD
11/04/2022,Cash,$0.23,10/27/2022,11/07/2022,11/10/2022,USD
08/05/2022,Cash,$0.23,07/28/2022,08/08/2022,08/11/2022,USD
05/06/2022,Cash,$0.23,04/28/2022,05/09/2022,05/12/2022,USD
02/04/2022,Cash,$0.22,01/27/2022,02/07/2022,02/10/2022,USD
11/05/2021,Cash,$0.22,10/28/2021,11/08/2021,11/11/2021,USD
08/06/2021,Cash,$0.22,07/27/2021,08/09/2021,08/12/2021,USD
05/07/2021,Cash,$0.22,04/28/2021,05/10/2021,05/13/2021,USD
02/05/2021,Cash,$0.205,01/27/2021,02/08/2021,02/11/2021,USD
11/06/2020,Cash,$0.205,10/29/2020,11/09/2020,11/12/2020,USD
08/07/2020,Cash,$0.82,07/30/2020,08/10/2020,08/13/2020,USD
05/08/2020,Cash,$0.82,04/30/2020,05/11/2020,05/14/2020,USD
02/07/2020,Cash,$0.77,01/28/2020,02/10/2020,02/13/2020,USD
11/07/2019,Cash,$0.77,10/30/2019,11/11/2019,11/14/2019,USD
08/09/2019,Cash,$0.77,07/30/2019,08/12/2019,08/15/2019,USD
05/10/2019,Cash,$0.77,04/30/2019,05/13/2019,05/16/2019,USD
02/08/2019,Cash,$0.73,01/29/2019,02/11/2019,02/14/2019,USD
11/08/2018,Cash,$0.73,11/01/2018,11/12/2018,11/15/2018,USD
08/10/2018,Cash,$0.73,07/31/2018,08/13/2018,08/16/2018,USD
05/11/2018,Cash,$0.73,05/01/2018,05/14/2018,05/17/2018,USD
02/09/2018,Cash,$0.63,02/01/2018,02/12/2018,02/15/2018,USD
11/10/2017,Cash,$0.63,11/02/2017,11/13/2017,11/16/2017,USD
08/10/2017,Cash,$0.63,08/01/2017,08/14/2017,08/17/2017,USD
05/11/2017,Cash,$0.63,05/02/2017,05/15/2017,05/18/2017,USD
02/09/2017,Cash,$0.57,01/31/2017,02/13/2017,02/16/2017,USD
11/03/2016,Cash,$0.57,10/25/2016,11/07/2016,11/10/2016,USD
08/04/2016,Cash,$0.57,07/26/2016,08/08/2016,08/11/2016,USD
05/05/2016,Cash,$0.57,04/26/2016,05/09/2016,05/12/2016,USD
02/04/2016,Cash,$0.52,01/26/2016,02/08/2016,02/11/2016,USD
11/05/2015,Cash,$0.52,10/27/2015,11/09/2015,11/12/2015,USD
08/06/2015,Cash,$0.52,07/21/2015,08/10/2015,08/13/2015,USD
05/07/2015,Cash,$0.52,04/27/2015,05/11/2015,05/14/2015,USD
02/05/2015,Cash,$0.47,01/27/2015,02/09/2015,02/12/2015,USD
11/06/2014,Cash,$0.47,10/20/2014,11/10/2014,11/13/2014,USD
08/07/2014,Cash,$0.47,07/22/2014,08/11/2014,08/14/2014,USD
05/08/2014,Cash,$3.29,04/23/2014,05/12/2014,05/15/2014,USD
02/06/2014,Cash,$3.05,01/27/2014,02/10/2014,02/13/2014,USD
11/06/2013,Cash,$3.05,10/28/2013,11/11/2013,11/14/2013,USD
08/08/2013,Cash,$3.05,07/23/2013,08/12/2013,08/15/2013,USD
02/07/2013,Cash,$2.65,01/23/2013,02/11/2013,02/14/2013,USD
11/21/1995,Cash,$0.12,N/A,11/21/1995,N/A,USD
08/16/1995,Cash,$0.12,N/A,08/16/1995,N/A,USD
05/26/1995,Cash,$0.12,N/A,05/26/1995,N/A,USD
02/13/1995,Cash,$0.12,N/A,02/13/1995,N/A,USD
11/18/1994,Cash,$0.12,N/A,11/18/1994,N/A,USD
08/15/1994,Cash,$0.12,N/A,08/15/1994,N/A,USD
05/27/1994,Cash,$0.12,N/A,05/27/1994,N/A,USD
02/07/1994,Cash,$0.12,N/A,02/07/1994,N/A,USD
11/19/1993,Cash,$0.12,N/A,11/19/1993,N/A,USD
08/16/1993,Cash,$0.12,N/A,08/16/1993,N/A,USD
05/28/1993,Cash,$0.12,N/A,05/28/1993,N/A,USD
02/12/1993,Cash,$0.12,N/A,02/12/1993,N/A,USD
11/30/1992,Cash,$0.12,N/A,11/30/1992,N/A,USD
08/17/1992,Cash,$0.12,N/A,08/17/1992,N/A,USD
06/01/1992,Cash,$0.12,N/A,06/01/1992,N/A,USD
02/14/1992,Cash,$0.12,N/A,02/14/1992,N/A,USD
11/18/1991,Cash,$0.12,N/A,11/18/1991,N/A,USD
08/19/1991,Cash,$0.12,N/A,08/19/1991,N/A,USD
05/20/1991,Cash,$0.12,N/A,05/20/1991,N/A,USD
02/15/1991,Cash,$0.12,N/A,02/15/1991,N/A,USD
11/16/1990,Cash,$0.12,N/A,11/16/1990,N/A,USD
08/20/1990,Cash,$0.11,N/A,08/20/1990,N/A,USD
05/21/1990,Cash,$0.11,N/A,05/21/1990,N/A,USD
02/16/1990,Cash,$0.11,N/A,02/16/1990,N/A,USD
11/17/1989,Cash,$0.11,N/A,11/17/1989,N/A,USD
08/21/1989,Cash,$0.10,N/A,08/21/1989,N/A,USD
05/22/1989,Cash,$0.10,N/A,05/22/1989,N/A,USD
02/17/1989,Cash,$0.10,N/A,02/17/1989,N/A,USD
11/21/1988,Cash,$0.10,N/A,11/21/1988,N/A,USD
