Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
12/15/2025,Cash,$0.284375,11/07/2025,12/15/2025,12/31/2025,USD
09/15/2025,Cash,$0.284375,05/07/2025,09/15/2025,09/30/2025,USD
06/13/2025,Cash,$0.284375,05/07/2025,06/15/2025,06/30/2025,USD
03/14/2025,Cash,$0.284375,02/26/2025,03/15/2025,03/31/2025,USD
12/13/2024,Cash,$0.284375,11/07/2024,12/15/2024,12/31/2024,USD
09/13/2024,Cash,$0.284375,05/10/2024,09/15/2024,09/30/2024,USD
06/14/2024,Cash,$0.284375,05/10/2024,06/15/2024,06/30/2024,USD
03/14/2024,Cash,$0.284375,02/23/2024,03/15/2024,03/31/2024,USD
12/14/2023,Cash,$0.284375,11/10/2023,12/15/2023,12/31/2023,USD
09/14/2023,Cash,$0.284375,05/05/2023,09/15/2023,09/30/2023,USD
06/14/2023,Cash,$0.284375,05/05/2023,06/15/2023,06/30/2023,USD
03/14/2023,Cash,$0.284375,02/24/2023,03/15/2023,03/31/2023,USD
12/14/2022,Cash,$0.284375,11/03/2022,12/15/2022,12/31/2022,USD
09/14/2022,Cash,$0.284375,05/05/2022,09/15/2022,09/30/2022,USD
06/14/2022,Cash,$0.284375,05/05/2022,06/15/2022,06/30/2022,USD
03/14/2022,Cash,$0.284375,02/25/2022,03/15/2022,03/31/2022,USD
12/14/2021,Cash,$0.284375,11/07/2021,12/15/2021,12/31/2021,USD
09/14/2021,Cash,$0.34441,07/28/2021,09/15/2021,09/30/2021,USD
