Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
11/21/2025,Cash,$0.21,N/A,11/21/2025,12/11/2025,USD
08/18/2025,Cash,$0.21,07/30/2025,08/18/2025,09/08/2025,USD
05/19/2025,Cash,$0.21,N/A,05/19/2025,06/11/2025,USD
02/21/2025,Cash,$0.185,N/A,02/21/2025,03/14/2025,USD
11/18/2024,Cash,$0.185,N/A,11/18/2024,12/05/2024,USD
08/28/2024,Cash,$0.185,07/31/2024,08/28/2024,09/09/2024,USD
05/29/2024,Cash,$0.185,N/A,05/29/2024,06/13/2024,USD
02/27/2024,Cash,$0.16,N/A,02/28/2024,03/13/2024,USD
11/15/2023,Cash,$0.87,11/01/2023,11/16/2023,12/05/2023,USD
08/30/2023,Cash,$0.16,08/15/2023,08/31/2023,09/13/2023,USD
05/30/2023,Cash,$0.16,05/01/2023,05/31/2023,06/14/2023,USD
02/22/2023,Cash,$0.14,02/09/2023,02/23/2023,03/09/2023,USD
11/17/2022,Cash,$1.26,11/01/2022,11/18/2022,12/06/2022,USD
08/25/2022,Cash,$0.14,N/A,08/26/2022,09/09/2022,USD
05/06/2022,Cash,$0.14,04/28/2022,05/09/2022,05/26/2022,USD
11/24/2021,Cash,$1.23,N/A,11/26/2021,12/15/2021,USD
