Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
12/08/2025,Cash,$0.99,11/24/2025,12/08/2025,12/22/2025,USD
09/02/2025,Cash,$0.99,08/19/2025,09/02/2025,09/16/2025,USD
06/04/2025,Cash,$0.99,05/21/2025,06/04/2025,06/18/2025,USD
03/04/2025,Cash,$0.99,02/18/2025,03/04/2025,03/17/2025,USD
12/09/2024,Cash,$0.92,11/25/2024,12/09/2024,12/20/2024,USD
09/03/2024,Cash,$0.92,08/20/2024,09/03/2024,09/17/2024,USD
06/04/2024,Cash,$0.92,05/21/2024,06/04/2024,06/17/2024,USD
03/04/2024,Cash,$0.92,02/20/2024,03/05/2024,03/15/2024,USD
12/01/2023,Cash,$0.86,11/20/2023,12/04/2023,12/14/2023,USD
09/01/2023,Cash,$0.86,08/22/2023,09/05/2023,09/14/2023,USD
06/02/2023,Cash,$0.86,05/23/2023,06/05/2023,06/14/2023,USD
02/24/2023,Cash,$0.86,02/14/2023,02/27/2023,03/08/2023,USD
12/02/2022,Cash,$0.76,11/21/2022,12/05/2022,12/15/2022,USD
08/29/2022,Cash,$0.76,08/16/2022,08/30/2022,09/08/2022,USD
05/27/2022,Cash,$0.76,05/17/2022,05/31/2022,06/09/2022,USD
02/24/2022,Cash,$0.76,02/15/2022,02/25/2022,03/08/2022,USD
12/02/2021,Cash,$0.69,11/22/2021,12/03/2021,12/14/2021,USD
08/26/2021,Cash,$0.69,08/17/2021,08/27/2021,09/08/2021,USD
05/27/2021,Cash,$0.69,05/18/2021,05/28/2021,06/08/2021,USD
02/25/2021,Cash,$0.69,02/16/2021,02/26/2021,03/09/2021,USD
12/03/2020,Cash,$0.62,11/23/2020,12/04/2020,12/15/2020,USD
08/27/2020,Cash,$0.62,08/18/2020,08/28/2020,09/09/2020,USD
05/28/2020,Cash,$0.62,05/19/2020,05/29/2020,06/09/2020,USD
02/27/2020,Cash,$0.62,02/18/2020,02/28/2020,03/10/2020,USD
12/05/2019,Cash,$0.54,11/25/2019,12/06/2019,12/17/2019,USD
08/29/2019,Cash,$0.54,08/20/2019,08/30/2019,09/11/2019,USD
05/30/2019,Cash,$0.54,05/21/2019,05/31/2019,06/11/2019,USD
02/28/2019,Cash,$0.54,02/19/2019,03/01/2019,03/12/2019,USD
11/28/2018,Cash,$0.48,11/19/2018,11/29/2018,12/10/2018,USD
08/30/2018,Cash,$0.48,08/21/2018,08/31/2018,09/12/2018,USD
06/07/2018,Cash,$0.48,05/29/2018,06/08/2018,06/19/2018,USD
03/08/2018,Cash,$0.48,02/27/2018,03/09/2018,03/20/2018,USD
11/30/2017,Cash,$0.45,11/20/2017,12/01/2017,12/12/2017,USD
09/07/2017,Cash,$0.45,08/28/2017,09/08/2017,09/19/2017,USD
06/07/2017,Cash,$0.45,05/30/2017,06/09/2017,06/20/2017,USD
02/22/2017,Cash,$0.45,02/13/2017,02/24/2017,03/07/2017,USD
11/30/2016,Cash,$0.42,11/21/2016,12/02/2016,12/13/2016,USD
08/24/2016,Cash,$0.42,08/15/2016,08/26/2016,09/07/2016,USD
05/25/2016,Cash,$0.42,05/16/2016,05/27/2016,06/07/2016,USD
02/24/2016,Cash,$0.42,02/15/2016,02/26/2016,03/08/2016,USD
12/02/2015,Cash,$0.40,11/23/2015,12/04/2015,12/15/2015,USD
08/26/2015,Cash,$0.40,08/17/2015,08/28/2015,09/09/2015,USD
05/27/2015,Cash,$0.40,05/18/2015,05/29/2015,06/09/2015,USD
02/25/2015,Cash,$0.40,02/16/2015,02/27/2015,03/10/2015,USD
12/03/2014,Cash,$0.37,11/24/2014,12/05/2014,12/16/2014,USD
09/03/2014,Cash,$0.37,08/25/2014,09/05/2014,09/17/2014,USD
05/28/2014,Cash,$0.37,05/19/2014,05/30/2014,06/10/2014,USD
02/26/2014,Cash,$0.37,02/17/2014,02/28/2014,03/11/2014,USD
12/04/2013,Cash,$0.34,11/25/2013,12/06/2013,12/17/2013,USD
08/28/2013,Cash,$0.34,08/19/2013,08/30/2013,09/11/2013,USD
03/07/2012,Cash,$0.30,02/21/2012,03/09/2012,03/28/2012,USD
11/30/2011,Cash,$0.25,11/18/2011,12/02/2011,12/21/2011,USD
08/24/2011,Cash,$0.25,08/15/2011,08/26/2011,09/14/2011,USD
05/25/2011,Cash,$0.25,05/16/2011,05/27/2011,06/15/2011,USD
03/02/2011,Cash,$0.22,02/14/2011,03/04/2011,03/23/2011,USD
12/01/2010,Cash,$0.22,11/19/2010,12/03/2010,12/22/2010,USD
08/25/2010,Cash,$0.22,08/16/2010,08/27/2010,09/15/2010,USD
05/26/2010,Cash,$0.22,05/17/2010,05/28/2010,06/16/2010,USD
03/03/2010,Cash,$0.20,02/16/2010,03/05/2010,03/24/2010,USD
12/02/2009,Cash,$0.20,11/19/2009,12/04/2009,12/23/2009,USD
08/25/2009,Cash,$0.20,08/17/2009,08/27/2009,09/16/2009,USD
05/27/2009,Cash,$0.20,05/18/2009,05/29/2009,06/17/2009,USD
12/03/2008,Cash,$0.20,11/20/2008,12/05/2008,12/24/2008,USD
08/27/2008,Cash,$0.20,08/18/2008,08/29/2008,09/17/2008,USD
05/28/2008,Cash,$0.20,05/20/2008,05/30/2008,06/18/2008,USD
03/05/2008,Cash,$0.18,02/20/2008,03/07/2008,03/26/2008,USD
12/05/2007,Cash,$0.18,11/27/2007,12/07/2007,12/26/2007,USD
08/29/2007,Cash,$0.18,08/21/2007,08/31/2007,09/19/2007,USD
05/30/2007,Cash,$0.18,05/22/2007,06/01/2007,06/20/2007,USD
03/07/2007,Cash,$0.18,02/21/2007,03/09/2007,03/28/2007,USD
11/21/2006,Cash,$0.16,11/14/2006,11/24/2006,12/13/2006,USD
08/23/2006,Cash,$0.16,08/10/2006,08/25/2006,09/13/2006,USD
05/24/2006,Cash,$0.16,03/14/2006,05/26/2006,06/14/2006,USD
11/22/2005,Cash,$0.12,11/15/2005,11/25/2005,12/14/2005,USD
08/24/2005,Cash,$0.10,08/11/2005,08/26/2005,09/14/2005,USD
05/25/2005,Cash,$0.10,05/12/2005,05/27/2005,06/15/2005,USD
02/23/2005,Cash,$0.06,02/10/2005,02/25/2005,03/16/2005,USD
12/01/2004,Cash,$0.06,11/23/2004,12/03/2004,12/22/2004,USD
08/25/2004,Cash,$0.06,08/12/2004,08/27/2004,09/15/2004,USD
