Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
10/01/2025,Cash,$0.48438,N/A,10/01/2025,10/15/2025,USD
07/01/2025,Cash,$0.48438,06/12/2025,07/01/2025,07/15/2025,USD
04/01/2025,Cash,$0.48438,03/13/2025,04/01/2025,04/15/2025,USD
12/31/2024,Cash,$0.48438,12/11/2024,01/01/2025,01/15/2025,USD
10/01/2024,Cash,$0.48438,09/13/2024,10/01/2024,10/15/2024,USD
07/01/2024,Cash,$0.48438,06/13/2024,07/01/2024,07/15/2024,USD
03/28/2024,Cash,$0.48438,03/13/2024,04/01/2024,04/15/2024,USD
12/28/2023,Cash,$0.48438,12/13/2023,01/01/2024,01/16/2024,USD
09/28/2023,Cash,$0.48438,09/13/2023,10/01/2023,10/16/2023,USD
06/29/2023,Cash,$0.48438,06/12/2023,07/01/2023,07/17/2023,USD
03/30/2023,Cash,$0.48438,03/10/2023,04/01/2023,04/17/2023,USD
12/29/2022,Cash,$0.65122,12/09/2022,01/01/2023,01/17/2023,USD
