Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
10/01/2025,Cash,$0.61911,N/A,10/01/2025,10/15/2025,USD
07/01/2025,Cash,$0.60876,06/12/2025,07/01/2025,07/15/2025,USD
04/01/2025,Cash,$0.60501,03/13/2025,04/01/2025,04/15/2025,USD
12/31/2024,Cash,$0.64016,12/11/2024,01/01/2025,01/15/2025,USD
10/01/2024,Cash,$0.68097,09/13/2024,10/01/2024,10/15/2024,USD
07/01/2024,Cash,$0.6762,06/13/2024,07/01/2024,07/15/2024,USD
03/28/2024,Cash,$0.67549,03/13/2024,04/01/2024,04/15/2024,USD
12/28/2023,Cash,$0.68843,12/13/2023,01/01/2024,01/16/2024,USD
09/28/2023,Cash,$0.68249,09/13/2023,10/01/2023,10/16/2023,USD
06/29/2023,Cash,$0.65541,06/12/2023,07/01/2023,07/17/2023,USD
03/30/2023,Cash,$0.62129,03/10/2023,04/01/2023,04/17/2023,USD
12/29/2022,Cash,$0.58715,12/09/2022,01/01/2023,01/17/2023,USD
09/29/2022,Cash,$0.4375,09/14/2022,10/01/2022,10/17/2022,USD
06/30/2022,Cash,$0.4375,06/09/2022,07/01/2022,07/15/2022,USD
03/31/2022,Cash,$0.4375,03/10/2022,04/01/2022,04/15/2022,USD
12/30/2021,Cash,$0.4375,12/10/2021,01/01/2022,01/18/2022,USD
09/30/2021,Cash,$0.4375,09/13/2021,10/01/2021,10/15/2021,USD
06/30/2021,Cash,$0.4375,06/10/2021,07/01/2021,07/15/2021,USD
03/31/2021,Cash,$0.4375,03/11/2021,04/01/2021,04/15/2021,USD
12/30/2020,Cash,$0.4375,12/10/2020,01/01/2021,01/15/2021,USD
09/30/2020,Cash,$0.4375,09/11/2020,10/01/2020,10/15/2020,USD
06/30/2020,Cash,$0.4375,06/12/2020,07/01/2020,07/15/2020,USD
03/31/2020,Cash,$0.4375,03/13/2020,04/01/2020,04/15/2020,USD
12/30/2019,Cash,$0.4375,12/10/2019,01/01/2020,01/15/2020,USD
09/30/2019,Cash,$0.4375,09/11/2019,10/01/2019,10/15/2019,USD
06/28/2019,Cash,$0.4375,06/12/2019,07/01/2019,07/15/2019,USD
03/29/2019,Cash,$0.4375,03/12/2019,04/01/2019,04/15/2019,USD
12/28/2018,Cash,$0.4375,12/11/2018,01/01/2019,01/15/2019,USD
09/28/2018,Cash,$0.4375,09/14/2018,10/01/2018,10/15/2018,USD
06/28/2018,Cash,$0.4375,06/13/2018,07/01/2018,07/16/2018,USD
03/28/2018,Cash,$0.4375,03/13/2018,04/01/2018,04/16/2018,USD
12/28/2017,Cash,$0.4375,12/12/2017,01/01/2018,01/16/2018,USD
09/28/2017,Cash,$0.25764,09/14/2017,10/01/2017,10/16/2017,USD
