Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
04/03/2003,Cash,$0.03,N/A,04/03/2003,N/A,USD
01/02/2003,Cash,$0.03,N/A,01/02/2003,N/A,USD
10/02/2002,Cash,$0.03,N/A,10/02/2002,N/A,USD
07/02/2002,Cash,$0.03,N/A,07/02/2002,N/A,USD
04/03/2002,Cash,$0.03,N/A,04/03/2002,N/A,USD
01/02/2002,Cash,$0.03,N/A,01/02/2002,N/A,USD
10/03/2001,Cash,$0.03,N/A,10/03/2001,N/A,USD
07/05/2001,Cash,$0.03,N/A,07/05/2001,N/A,USD
04/03/2001,Cash,$0.03,N/A,04/03/2001,N/A,USD
01/16/2001,Cash,$0.03,N/A,01/16/2001,N/A,USD
10/05/2000,Cash,$0.03,N/A,10/05/2000,N/A,USD
07/03/2000,Cash,$0.03,N/A,07/03/2000,N/A,USD
04/03/2000,Cash,$0.03,N/A,04/03/2000,N/A,USD
01/04/2000,Cash,$0.03,N/A,01/04/2000,N/A,USD
10/04/1999,Cash,$0.03,N/A,10/04/1999,N/A,USD
07/06/1999,Cash,$0.03,N/A,07/06/1999,N/A,USD
04/06/1999,Cash,$0.03,N/A,04/06/1999,N/A,USD
01/04/1999,Cash,$0.03,N/A,01/04/1999,N/A,USD
10/05/1998,Cash,$0.03,N/A,10/05/1998,N/A,USD
07/06/1998,Cash,$0.03,N/A,07/06/1998,N/A,USD
04/06/1998,Cash,$0.03,N/A,04/06/1998,N/A,USD
01/05/1998,Cash,$0.03,N/A,01/05/1998,N/A,USD
10/06/1997,Cash,$0.03,N/A,10/06/1997,N/A,USD
07/07/1997,Cash,$0.03,N/A,07/07/1997,N/A,USD
04/07/1997,Cash,$0.03,N/A,04/07/1997,N/A,USD
01/03/1997,Cash,$0.03,N/A,01/03/1997,N/A,USD
10/07/1996,Cash,$0.03,N/A,10/07/1996,N/A,USD
07/08/1996,Cash,$0.03,N/A,07/08/1996,N/A,USD
04/08/1996,Cash,$0.03,N/A,04/08/1996,N/A,USD
12/29/1995,Cash,$0.03,N/A,12/29/1995,N/A,USD
10/02/1995,Cash,$0.03,N/A,10/02/1995,N/A,USD
06/30/1995,Cash,$0.035,N/A,06/30/1995,N/A,USD
03/30/1995,Cash,$0.035,N/A,03/30/1995,N/A,USD
12/28/1994,Cash,$0.03,N/A,12/28/1994,N/A,USD
09/29/1994,Cash,$0.03,N/A,09/29/1994,N/A,USD
06/29/1994,Cash,$0.03,N/A,06/29/1994,N/A,USD
03/30/1994,Cash,$0.035,N/A,03/30/1994,N/A,USD
12/30/1993,Cash,$0.035,N/A,12/30/1993,N/A,USD
09/30/1993,Cash,$0.035,N/A,09/30/1993,N/A,USD
06/30/1993,Cash,$0.03,N/A,06/30/1993,N/A,USD
04/01/1993,Cash,$0.03,N/A,04/01/1993,N/A,USD
12/23/1992,Cash,$0.045,N/A,12/23/1992,N/A,USD
10/01/1992,Cash,$0.04,N/A,10/01/1992,N/A,USD
07/01/1992,Cash,$0.04,N/A,07/01/1992,N/A,USD
04/02/1992,Cash,$0.04,N/A,04/02/1992,N/A,USD
01/02/1992,Cash,$0.04,N/A,01/02/1992,N/A,USD
10/03/1991,Cash,$0.04,N/A,10/03/1991,N/A,USD
07/03/1991,Cash,$0.04,N/A,07/03/1991,N/A,USD
04/04/1991,Cash,$0.04,N/A,04/04/1991,N/A,USD
01/03/1991,Cash,$0.04,N/A,01/03/1991,N/A,USD
10/03/1990,Cash,$0.04,N/A,10/03/1990,N/A,USD
07/05/1990,Cash,$0.035,N/A,07/05/1990,N/A,USD
04/06/1990,Cash,$0.035,N/A,04/06/1990,N/A,USD
01/04/1990,Cash,$0.035,N/A,01/04/1990,N/A,USD
10/04/1989,Cash,$0.035,N/A,10/04/1989,N/A,USD
07/06/1989,Cash,$0.035,N/A,07/06/1989,N/A,USD
04/06/1989,Cash,$0.035,N/A,04/06/1989,N/A,USD
01/05/1989,Cash,$0.035,N/A,01/05/1989,N/A,USD
10/05/1988,Cash,$0.035,N/A,10/05/1988,N/A,USD
