Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
12/03/2025,Cash,$0.08352,11/12/2025,12/03/2025,12/23/2025,USD
09/03/2025,Cash,$0.08269,08/13/2025,09/03/2025,09/23/2025,USD
06/05/2025,Cash,$0.08269,05/15/2025,06/05/2025,06/25/2025,USD
03/13/2025,Cash,$0.08269,02/20/2025,03/13/2025,04/02/2025,USD
12/04/2024,Cash,$0.48815,11/13/2024,12/04/2024,12/23/2024,USD
09/03/2024,Cash,$0.07875,08/13/2024,09/03/2024,09/23/2024,USD
06/04/2024,Cash,$0.07875,05/14/2024,06/04/2024,06/24/2024,USD
03/11/2024,Cash,$0.07875,02/20/2024,03/12/2024,04/01/2024,USD
12/04/2023,Cash,$0.07875,11/14/2023,12/05/2023,12/26/2023,USD
09/01/2023,Cash,$0.075,08/15/2023,09/05/2023,09/25/2023,USD
06/05/2023,Cash,$0.075,05/16/2023,06/06/2023,06/26/2023,USD
02/27/2023,Cash,$0.075,02/07/2023,02/28/2023,03/20/2023,USD
12/05/2022,Cash,$0.075,11/15/2022,12/06/2022,12/27/2022,USD
09/02/2022,Cash,$0.05,08/16/2022,09/06/2022,09/26/2022,USD
06/06/2022,Cash,$0.05,05/17/2022,06/07/2022,06/27/2022,USD
02/28/2022,Cash,$0.05,02/08/2022,03/01/2022,03/21/2022,USD
12/06/2021,Cash,$0.05,11/16/2021,12/07/2021,12/28/2021,USD
09/03/2021,Cash,$0.04,08/17/2021,09/07/2021,09/30/2021,USD
06/04/2021,Cash,$0.04,05/18/2021,06/07/2021,06/28/2021,USD
02/22/2021,Cash,$0.04,02/02/2021,02/23/2021,03/15/2021,USD
12/17/2020,Cash,$0.04,10/21/2020,12/18/2020,01/07/2021,USD
