Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
10/22/2025,Cash,$0.25,09/09/2025,10/22/2025,11/21/2025,USD
07/22/2025,Cash,$0.25,05/21/2025,07/22/2025,08/22/2025,USD
04/22/2025,Cash,$0.25,02/06/2025,04/22/2025,05/22/2025,USD
01/22/2025,Cash,$0.25,12/11/2024,01/22/2025,02/21/2025,USD
10/22/2024,Cash,$0.25,09/10/2024,10/22/2024,11/22/2024,USD
07/22/2024,Cash,$0.25,05/22/2024,07/22/2024,08/22/2024,USD
04/19/2024,Cash,$0.25,02/08/2024,04/22/2024,05/22/2024,USD
01/19/2024,Cash,$0.25,12/12/2023,01/22/2024,02/22/2024,USD
10/20/2023,Cash,$0.25,09/12/2023,10/23/2023,11/22/2023,USD
07/20/2023,Cash,$0.25,05/22/2023,07/21/2023,08/22/2023,USD
04/20/2023,Cash,$0.25,02/02/2023,04/21/2023,05/22/2023,USD
01/20/2023,Cash,$0.25,12/13/2022,01/23/2023,02/22/2023,USD
10/20/2022,Cash,$0.25,09/14/2022,10/21/2022,11/22/2022,USD
07/21/2022,Cash,$0.125,05/12/2022,07/22/2022,08/22/2022,USD
04/21/2022,Cash,$0.125,02/04/2022,04/22/2022,05/23/2022,USD
01/20/2022,Cash,$0.125,11/03/2021,01/21/2022,02/22/2022,USD
10/21/2021,Cash,$0.0625,09/14/2021,10/22/2021,11/22/2021,USD
07/21/2021,Cash,$0.025,05/26/2021,07/22/2021,08/23/2021,USD
04/21/2021,Cash,$0.025,02/04/2021,04/22/2021,05/21/2021,USD
01/21/2021,Cash,$0.025,12/07/2020,01/22/2021,02/22/2021,USD
10/21/2020,Cash,$0.025,09/16/2020,10/22/2020,11/23/2020,USD
07/21/2020,Cash,$0.025,05/14/2020,07/22/2020,08/21/2020,USD
04/21/2020,Cash,$0.025,02/06/2020,04/22/2020,05/22/2020,USD
01/21/2020,Cash,$0.25,12/19/2019,01/22/2020,02/21/2020,USD
10/21/2019,Cash,$0.25,09/12/2019,10/22/2019,11/22/2019,USD
07/19/2019,Cash,$0.25,05/22/2019,07/22/2019,08/22/2019,USD
04/18/2019,Cash,$0.25,02/08/2019,04/22/2019,05/22/2019,USD
01/18/2019,Cash,$0.25,12/13/2018,01/22/2019,02/22/2019,USD
10/19/2018,Cash,$0.25,09/13/2018,10/22/2018,11/21/2018,USD
07/20/2018,Cash,$0.25,05/24/2018,07/23/2018,08/22/2018,USD
04/20/2018,Cash,$0.25,02/12/2018,04/23/2018,05/22/2018,USD
01/19/2018,Cash,$0.25,12/14/2017,01/22/2018,02/22/2018,USD
10/20/2017,Cash,$0.25,09/13/2017,10/23/2017,11/22/2017,USD
07/19/2017,Cash,$0.25,05/12/2017,07/21/2017,08/22/2017,USD
04/19/2017,Cash,$0.25,02/13/2017,04/21/2017,05/22/2017,USD
01/18/2017,Cash,$0.25,12/14/2016,01/22/2017,02/22/2017,USD
10/19/2016,Cash,$0.25,09/14/2016,10/21/2016,11/22/2016,USD
07/20/2016,Cash,$0.25,05/12/2016,07/22/2016,08/22/2016,USD
04/20/2016,Cash,$0.25,02/04/2016,04/22/2016,05/23/2016,USD
01/20/2016,Cash,$0.25,12/17/2015,01/22/2016,02/22/2016,USD
10/20/2015,Cash,$0.25,09/17/2015,10/22/2015,11/23/2015,USD
07/20/2015,Cash,$0.25,05/21/2015,07/22/2015,08/21/2015,USD
04/20/2015,Cash,$0.25,02/19/2015,04/22/2015,05/22/2015,USD
01/20/2015,Cash,$0.25,12/17/2014,01/22/2015,02/23/2015,USD
10/20/2014,Cash,$0.25,09/18/2014,10/22/2014,11/21/2014,USD
07/18/2014,Cash,$0.25,05/14/2014,07/22/2014,08/22/2014,USD
04/17/2014,Cash,$0.25,02/06/2014,04/22/2014,05/22/2014,USD
01/17/2014,Cash,$0.20,11/18/2013,01/22/2014,02/21/2014,USD
10/18/2013,Cash,$0.20,09/17/2013,10/22/2013,11/22/2013,USD
07/18/2013,Cash,$0.20,05/16/2013,07/22/2013,08/22/2013,USD
04/18/2013,Cash,$0.20,02/06/2013,04/22/2013,05/22/2013,USD
10/19/2011,Cash,$0.15,09/20/2011,10/21/2011,11/22/2011,USD
01/17/2008,Cash,$0.15,12/18/2007,01/22/2008,02/22/2008,USD
07/19/2007,Cash,$0.15,05/16/2007,07/23/2007,08/22/2007,USD
04/19/2007,Cash,$0.15,02/14/2007,04/23/2007,05/22/2007,USD
04/19/2006,Cash,$0.10,02/16/2006,04/21/2006,05/22/2006,USD
01/19/2006,Cash,$0.10,12/29/2005,01/23/2006,02/22/2006,USD
10/20/2004,Cash,$0.08,09/16/2004,10/22/2004,11/22/2004,USD
11/13/2000,Cash,$0.14,09/22/2000,11/15/2000,12/15/2000,USD
